outer_cycle,time_sec,p9_spikes_left,p9_spikes_right,p9_rate_hz,cmd_signal,n_ground_contacts,pos_x_mm,pos_y_mm
0,0.0,2,3,166.7,1.0,0,0.0,0.0
1,0.015,3,6,300.0,1.0,2,0.0,0.0
2,0.03,0,7,233.3,1.0,2,0.0,0.0
3,0.045,0,6,200.0,1.0,2,0.0,0.0
4,0.06,0,7,233.3,1.0,2,0.0,0.0
5,0.075,0,6,200.0,1.0,2,0.0,0.0
6,0.09,0,6,200.0,1.0,2,0.0,0.0
7,0.105,0,7,233.3,1.0,2,0.0,0.0
8,0.12,0,6,200.0,1.0,2,0.0,0.0
9,0.135,0,7,233.3,1.0,2,0.0,0.0
10,0.15,0,7,233.3,1.0,2,0.0,0.0
11,0.165,0,6,200.0,1.0,2,0.0,0.0
12,0.18,0,7,233.3,1.0,2,0.0,0.0
13,0.195,0,6,200.0,1.0,2,0.0,0.0
14,0.21,0,7,233.3,1.0,2,0.0,0.0
15,0.225,0,6,200.0,1.0,2,0.0,0.0
16,0.24,0,7,233.3,1.0,4,0.0,0.0
17,0.255,0,6,200.0,1.0,4,0.0,0.0
18,0.27,0,7,233.3,1.0,4,0.0,0.0
19,0.285,0,6,200.0,1.0,4,0.0,0.0
20,0.3,0,7,233.3,1.0,4,0.0,0.0
21,0.315,0,6,200.0,1.0,4,0.0,0.0
22,0.33,0,7,233.3,1.0,4,0.0,0.0
23,0.345,0,6,200.0,1.0,2,0.0,0.0
24,0.36,0,7,233.3,1.0,2,0.0,0.0
25,0.375,0,6,200.0,1.0,2,0.0,0.0
26,0.39,0,7,233.3,1.0,2,0.0,0.0
27,0.405,0,6,200.0,1.0,2,0.0,0.0
28,0.42,0,7,233.3,1.0,2,0.0,0.0
29,0.435,0,6,200.0,1.0,3,0.0,0.0
30,0.45,0,7,233.3,1.0,2,0.0,0.0
31,0.465,0,6,200.0,1.0,2,0.0,0.0
32,0.48,0,7,233.3,1.0,2,0.0,0.0
33,0.495,0,6,200.0,1.0,2,0.0,0.0
34,0.51,0,7,233.3,1.0,2,0.0,0.0
35,0.525,0,6,200.0,1.0,2,0.0,0.0
36,0.54,0,7,233.3,1.0,2,0.0,0.0
37,0.555,0,7,233.3,1.0,2,0.0,0.0
38,0.57,0,6,200.0,1.0,2,0.0,0.0
39,0.585,0,7,233.3,1.0,2,0.0,0.0
40,0.6,0,6,200.0,1.0,2,0.0,0.0
41,0.615,0,7,233.3,1.0,2,0.0,0.0
42,0.63,0,6,200.0,1.0,2,0.0,0.0
43,0.645,0,7,233.3,1.0,2,0.0,0.0
44,0.66,0,6,200.0,1.0,2,0.0,0.0
45,0.675,0,7,233.3,1.0,3,0.0,0.0
46,0.69,0,6,200.0,1.0,2,0.0,0.0
47,0.705,0,7,233.3,1.0,2,0.0,0.0
48,0.72,0,6,200.0,1.0,2,0.0,0.0
49,0.735,0,7,233.3,1.0,2,0.0,0.0
50,0.75,0,6,200.0,1.0,2,0.0,0.0
51,0.765,0,7,233.3,1.0,4,0.0,0.0
52,0.78,0,6,200.0,1.0,4,0.0,0.0
53,0.795,0,7,233.3,1.0,3,0.0,0.0
54,0.81,0,6,200.0,1.0,2,0.0,0.0
55,0.825,0,7,233.3,1.0,2,0.0,0.0
56,0.84,0,6,200.0,1.0,2,0.0,0.0
57,0.855,0,7,233.3,1.0,4,0.0,0.0
58,0.87,0,6,200.0,1.0,2,0.0,0.0
59,0.885,0,7,233.3,1.0,2,0.0,0.0
60,0.9,0,7,233.3,1.0,2,0.0,0.0
61,0.915,0,6,200.0,1.0,2,0.0,0.0
62,0.93,0,7,233.3,1.0,2,0.0,0.0
63,0.945,0,6,200.0,1.0,3,0.0,0.0
64,0.96,0,7,233.3,1.0,3,0.0,0.0
65,0.975,0,6,200.0,1.0,2,0.0,0.0
66,0.99,0,7,233.3,1.0,2,0.0,0.0
67,1.005,0,6,200.0,1.0,3,0.0,0.0
68,1.02,0,7,233.3,1.0,4,0.0,0.0
69,1.035,0,6,200.0,1.0,4,0.0,0.0
70,1.05,0,7,233.3,1.0,3,0.0,0.0
71,1.065,0,6,200.0,1.0,3,0.0,0.0
72,1.08,0,7,233.3,1.0,3,0.0,0.0
73,1.095,0,6,200.0,1.0,3,0.0,0.0
74,1.11,0,7,233.3,1.0,3,0.0,0.0
75,1.125,0,6,200.0,1.0,3,0.0,0.0
76,1.14,0,7,233.3,1.0,3,0.0,0.0
77,1.155,0,6,200.0,1.0,3,0.0,0.0
78,1.17,0,7,233.3,1.0,2,0.0,0.0
79,1.185,0,6,200.0,1.0,3,0.0,0.0
80,1.2,0,7,233.3,1.0,4,0.0,0.0
