root_id,flow,super_class,cell_class,cell_sub_class,cell_type,hemibrain_type,side,nerve,top_nt
720575940628857210,intrinsic,central,,,PS180,PS180,left,,acetylcholine
720575940626838909,intrinsic,central,,,CB0924,,right,,acetylcholine
720575940626046919,intrinsic,central,,,AVLP429,AVLP429,right,,acetylcholine
720575940630311383,intrinsic,central,,,AVLP151,AVLP151,right,,acetylcholine
720575940633370649,intrinsic,visual_projection,,,LC27,LC27,right,,acetylcholine
720575940638709326,intrinsic,visual_projection,,,LTe07,hb1313879738,right,,glutamate
720575940614754797,intrinsic,visual_projection,,,MTe12,,right,,acetylcholine
720575940622660490,intrinsic,visual_projection,,,MTe04,,right,,glutamate
720575940659799937,intrinsic,visual_projection,,,VS4,VS,right,,acetylcholine
720575940626729349,intrinsic,visual_projection,,,LPC1,LPC1,right,,acetylcholine
720575940643249608,intrinsic,central,,,CB0925,,right,,acetylcholine
720575940619414918,intrinsic,visual_projection,,,LC18,LC18,right,,acetylcholine
720575940629394885,intrinsic,central,,,CB0926,"AVLP386,AVLP388",right,,acetylcholine
720575940619380485,intrinsic,central,,,AVLP293,AVLP293,right,,acetylcholine
720575940627895056,intrinsic,visual_projection,,,LLPC2,"LLPC2a,LLPC2b,LLPC2c,LLPC2d",right,,acetylcholine
720575940617252445,intrinsic,visual_projection,,,LLPC2,"LLPC2a,LLPC2b,LLPC2c,LLPC2d",right,,acetylcholine
720575940621276585,intrinsic,visual_projection,,,LLPC3,LLPC3,right,,acetylcholine
720575940630700348,intrinsic,visual_projection,,,VST1,VS,right,,acetylcholine
720575940619061317,intrinsic,visual_projection,,,MTe10,,right,,glutamate
720575940618864833,intrinsic,central,,,CB0927,,right,,acetylcholine
720575940611576050,intrinsic,central,,,AVLP288,AVLP288,right,,acetylcholine
720575940644053540,intrinsic,central,,,AVLP305,AVLP305,right,,acetylcholine
720575940626812433,intrinsic,central,,,CB0929,,right,,acetylcholine
720575940621761263,intrinsic,central,,,LHAD2c3c,LHAD2c3,right,,acetylcholine
720575940615111087,intrinsic,central,,,LAL007,LAL007,left,,acetylcholine
720575940631815993,intrinsic,central,,,SMP096,SMP096,left,,glutamate
720575940618183765,intrinsic,central,,,CB0930,,right,,acetylcholine
720575940647207044,intrinsic,central,,,CL064,CL064,right,,gaba
720575940639598909,intrinsic,central,,,CB0931,SIP021,left,,glutamate
720575940623294647,intrinsic,central,,,SMP106,SMP106,right,,glutamate
720575940614623455,efferent,endocrine,pars_intercerebralis,medial_NSC,IPC,PI1,left,NCC,acetylcholine
720575940624185095,intrinsic,central,MBON,,MBON02,MBON02,left,,glutamate
720575940603765280,efferent,endocrine,pars_intercerebralis,medial_NSC,IPC,PI1,left,NCC,acetylcholine
720575940618152256,intrinsic,central,,,"SMP472,SMP473","SMP472,SMP473",left,,acetylcholine
720575940629701484,intrinsic,central,,,PS126,PS126,left,,acetylcholine
720575940622318085,intrinsic,visual_projection,ocellar,ocellar_interneuron,OCG01e,OCG01,right,,acetylcholine
720575940622825608,intrinsic,central,,,"SMP472,SMP473","SMP472,SMP473",left,,acetylcholine
720575940630692143,intrinsic,central,CX,columnar,hDeltaJ,hDeltaJ,left,,acetylcholine
720575940631780812,intrinsic,central,,,SMP106,SMP106,right,,glutamate
720575940612707811,intrinsic,central,,,SMP087,SMP087,right,,glutamate
720575940624117245,intrinsic,central,MBON,,MBON01,MBON01,right,,glutamate
720575940643174048,intrinsic,central,,,CRE027,CRE027,right,,glutamate
720575940630210375,intrinsic,central,,,PS005_f,PS005_f,left,,glutamate
720575940615763573,intrinsic,central,,,SMP116,SMP116,left,,glutamate
720575940627951619,intrinsic,central,,,CB0932,,left,,glutamate
720575940625157680,intrinsic,central,,,SMP119,SMP119,left,,glutamate
720575940604565350,intrinsic,central,,,CRE027,CRE027,left,,glutamate
720575940611980207,intrinsic,central,,,CB2507,,right,,glutamate
720575940624402173,efferent,descending,,,DNpe053,SMP454,left,CV,acetylcholine
720575940617073876,intrinsic,central,CX,columnar,hDeltaJ,hDeltaJ,left,,serotonin
720575940620390848,intrinsic,central,,,LHAD1a4a,LHAD1a4,right,,acetylcholine
720575940646609716,intrinsic,central,,,CB0933,,left,,glutamate
720575940621202670,intrinsic,visual_projection,ocellar,ocellar_interneuron,OCG01e,OCG01,left,,acetylcholine
720575940639181365,intrinsic,central,,,CB0934,LHAV3b1,right,,acetylcholine
720575940630288697,intrinsic,central,,,"WED034,WED035","WED034,WED035",right,,glutamate
720575940609641284,intrinsic,central,,,SLP064,SLP064,right,,glutamate
720575940635545848,intrinsic,central,,,LHAV6a1,,right,,acetylcholine
720575940631724077,intrinsic,central,,,CB0937,,right,,glutamate
720575940628023882,intrinsic,central,,,LHAV6a1,,right,,acetylcholine
720575940629248374,intrinsic,central,,,AOTU065,AOTU065,right,,acetylcholine
720575940630233047,intrinsic,central,,,CB0938,LHAD1i2_b,right,,acetylcholine
720575940608166748,intrinsic,central,DAN,,PAM06,PAM06,left,,dopamine
720575940617466395,intrinsic,central,DAN,,PAM05,PAM05,left,,dopamine
720575940613475498,intrinsic,central,,,CL094,CL094,right,,acetylcholine
720575940608027915,intrinsic,central,,,"PLP084,PLP085","PLP084,PLP085",right,,gaba
720575940607012482,intrinsic,central,LHLN,,CB0939,,right,,acetylcholine
720575940630147127,intrinsic,central,,,LHPV4b9,LHPV4b9,right,,glutamate
720575940622812493,intrinsic,central,,,PLP087b,PLP087,right,,gaba
720575940617650722,intrinsic,central,Kenyon_Cell,KCab,KCab,KCab-s,right,,dopamine
720575940633791571,intrinsic,central,CX,columnar,"FC1A,FC1B,FC1F","FC1A,FC1B,FC1F",left,,acetylcholine
720575940627055303,efferent,descending,,,DNp53,PS169,left,CV,acetylcholine
720575940637451497,intrinsic,central,,,CB0942,CRE099,left,,acetylcholine
720575940621268651,intrinsic,visual_projection,,DN3,LMTe01,CL125,right,,glutamate
720575940606597724,intrinsic,central,CX,,,,left,,acetylcholine
720575940615376863,intrinsic,central,,,SMP604,SMP604,left,,glutamate
720575940651601910,intrinsic,central,,,SMP746,DNd01,left,,glutamate
720575940635696023,intrinsic,central,,,SMP092,SMP092,left,,glutamate
720575940619293622,intrinsic,central,CX,columnar,hDeltaJ,hDeltaJ,left,,acetylcholine
720575940628278654,intrinsic,central,,,CB0943,,left,,acetylcholine
720575940630006267,intrinsic,central,,,CL208,CL208,left,,acetylcholine
720575940634647732,intrinsic,central,CX,columnar,FC2A,FC2A,left,,serotonin
720575940622156148,intrinsic,central,CX,,PFR,PFR,left,,serotonin
720575940631082808,efferent,descending,,,MDN,MDN,left,CV,acetylcholine
720575940637274852,intrinsic,central,,,VES046,VES046,left,,glutamate
720575940617091890,intrinsic,central,,,PPM1203,PPM1203,left,,dopamine
720575940633618380,intrinsic,central,,,CB0944,,left,,gaba
720575940628732471,intrinsic,central,Kenyon_Cell,KCg,KCg-m,KCg-m,left,,dopamine
720575940616299348,intrinsic,central,CX,,PFNp,PFNp,left,,acetylcholine
720575940637303415,intrinsic,central,CX,columnar,hDeltaE,hDeltaE,left,,acetylcholine
720575940624879678,intrinsic,central,CX,,PEN_a(PEN1),PEN_a(PEN1),left,,acetylcholine
720575940611897837,intrinsic,central,,,CB4237,PLP122,right,,acetylcholine
720575940657919873,intrinsic,central,,,CB0946,SLP324,right,,acetylcholine
720575940623280457,intrinsic,central,CX,columnar,hDeltaA,hDeltaA,left,,acetylcholine
720575940633500084,intrinsic,central,,,LHAV2b2a,LHAV2b2,right,,acetylcholine
720575940646427012,intrinsic,central,,,AVLP267,AVLP267,right,,acetylcholine
720575940619251182,intrinsic,optic,bilateral,,LC14a1,LC14,right,,acetylcholine
720575940622037139,intrinsic,optic,bilateral,,LC14a1,LC14,right,,acetylcholine
720575940620532400,intrinsic,visual_projection,,,LC10c-2,LC10,right,,acetylcholine
720575940645607203,intrinsic,central,,,CL098,CL098,right,,acetylcholine
720575940635013311,intrinsic,central,,,CB0947,,right,,acetylcholine
720575940644623396,intrinsic,central,,,LHAV2b11,LHAV2b11,right,,acetylcholine
720575940636646392,intrinsic,visual_projection,,,LC28c,"LC28a,LC28b",right,,acetylcholine
720575940620707750,intrinsic,central,,,CB0948,,right,,acetylcholine
720575940619511345,intrinsic,central,,,LHAV6a3,,right,,acetylcholine
720575940625703114,intrinsic,central,,,LHAV6a3,,right,,acetylcholine
720575940619434432,intrinsic,visual_projection,,,LC9,LC9,right,,acetylcholine
720575940616153371,efferent,endocrine,pars_intercerebralis,medial_NSC,DH44,PI1,left,NCC,serotonin
720575940636351118,intrinsic,central,,,CRE027,CRE027,left,,glutamate
720575940624019992,intrinsic,visual_projection,,,LTe09,,right,,acetylcholine
720575940655628705,intrinsic,central,,,SMP068,SMP068,left,,glutamate
720575940624860599,intrinsic,central,,,CB0950,,left,,glutamate
720575940622107928,intrinsic,central,,,CB0951,,left,,glutamate
720575940612779237,intrinsic,visual_projection,,,LC18,LC18,right,,acetylcholine
720575940629549049,intrinsic,visual_projection,,,LC9,LC9,right,,acetylcholine
720575940624540967,intrinsic,central,,,CB0952,LHPV3a3_b,right,,acetylcholine
720575940625752451,intrinsic,visual_projection,,,LC6,LC6,right,,acetylcholine
720575940631394519,intrinsic,central,,,PLP037b,PLP037,right,,glutamate
720575940604624998,intrinsic,central,,,PVLP113,PVLP113,right,,gaba
720575940626745392,intrinsic,visual_projection,,,LPLC2,LPLC2,right,,acetylcholine
720575940609058628,intrinsic,visual_projection,,,LC21,LC21,right,,acetylcholine
720575940628337103,intrinsic,visual_projection,,,LC9,LC9,right,,acetylcholine
720575940627623467,intrinsic,visual_projection,,,LC18,LC18,right,,acetylcholine
720575940634721272,intrinsic,visual_projection,,,LC21,LC21,right,,acetylcholine
720575940624911548,intrinsic,central,LHCENT,,LHCENT4,LHCENT4,right,,glutamate
720575940626322746,intrinsic,central,,,"AVLP420_a,AVLP427","AVLP420_a,AVLP427",right,,gaba
720575940627084905,intrinsic,central,,,AVLP244,AVLP244,right,,acetylcholine
720575940620625646,intrinsic,central,,,CB0930,,right,,acetylcholine
720575940623037720,efferent,descending,,,DNge104,,left,CV,gaba
720575940615011782,intrinsic,central,,,CB0955,AVLP377,right,,acetylcholine
720575940638364750,intrinsic,central,,,CB0956,,right,,acetylcholine
720575940627099322,intrinsic,visual_projection,,,MTe27,,right,,acetylcholine
720575940640550563,intrinsic,visual_projection,,,LTe22,hb1159944202,right,,glutamate
