stim,n_stim,stim_rate_hz,target,target_hz
восходящие слева,838,0.0,DNg108 left,0.0
восходящие слева,838,0.0,DNg108 right,0.0
восходящие слева,838,0.0,DNge129 left,0.0
восходящие слева,838,0.0,DNge129 right,0.0
восходящие слева,838,0.0,DNg74_b left,0.0
восходящие слева,838,0.0,DNg74_b right,0.0
восходящие слева,838,0.0,DNge141 left,0.0
восходящие слева,838,0.0,DNge141 right,0.0
восходящие слева,838,0.0,DNp06 left,0.0
восходящие слева,838,0.0,DNp06 right,0.0
восходящие слева,838,0.0,DNp09 left,0.0
восходящие слева,838,0.0,DNp09 right,0.0
восходящие слева,838,50.0,DNg108 left,0.0
восходящие слева,838,50.0,DNg108 right,0.0
восходящие слева,838,50.0,DNge129 left,45.0
восходящие слева,838,50.0,DNge129 right,12.0
восходящие слева,838,50.0,DNg74_b left,21.0
восходящие слева,838,50.0,DNg74_b right,5.0
восходящие слева,838,50.0,DNge141 left,80.0
восходящие слева,838,50.0,DNge141 right,0.0
восходящие слева,838,50.0,DNp06 left,0.0
восходящие слева,838,50.0,DNp06 right,0.0
восходящие слева,838,50.0,DNp09 left,0.0
восходящие слева,838,50.0,DNp09 right,0.0
восходящие слева,838,100.0,DNg108 left,0.0
восходящие слева,838,100.0,DNg108 right,0.0
восходящие слева,838,100.0,DNge129 left,86.0
восходящие слева,838,100.0,DNge129 right,26.0
восходящие слева,838,100.0,DNg74_b left,28.0
восходящие слева,838,100.0,DNg74_b right,5.0
восходящие слева,838,100.0,DNge141 left,121.0
восходящие слева,838,100.0,DNge141 right,0.0
восходящие слева,838,100.0,DNp06 left,0.0
восходящие слева,838,100.0,DNp06 right,0.0
восходящие слева,838,100.0,DNp09 left,0.0
восходящие слева,838,100.0,DNp09 right,0.0
восходящие слева,838,200.0,DNg108 left,0.0
восходящие слева,838,200.0,DNg108 right,0.0
восходящие слева,838,200.0,DNge129 left,130.0
восходящие слева,838,200.0,DNge129 right,67.0
восходящие слева,838,200.0,DNg74_b left,61.0
восходящие слева,838,200.0,DNg74_b right,10.0
восходящие слева,838,200.0,DNge141 left,165.0
восходящие слева,838,200.0,DNge141 right,6.0
восходящие слева,838,200.0,DNp06 left,9.0
восходящие слева,838,200.0,DNp06 right,0.0
восходящие слева,838,200.0,DNp09 left,0.0
восходящие слева,838,200.0,DNp09 right,0.0
восходящие справа,898,0.0,DNg108 left,0.0
восходящие справа,898,0.0,DNg108 right,0.0
восходящие справа,898,0.0,DNge129 left,0.0
восходящие справа,898,0.0,DNge129 right,0.0
восходящие справа,898,0.0,DNg74_b left,0.0
восходящие справа,898,0.0,DNg74_b right,0.0
восходящие справа,898,0.0,DNge141 left,0.0
восходящие справа,898,0.0,DNge141 right,0.0
восходящие справа,898,0.0,DNp06 left,0.0
восходящие справа,898,0.0,DNp06 right,0.0
восходящие справа,898,0.0,DNp09 left,0.0
восходящие справа,898,0.0,DNp09 right,0.0
восходящие справа,898,50.0,DNg108 left,0.0
восходящие справа,898,50.0,DNg108 right,0.0
восходящие справа,898,50.0,DNge129 left,45.0
восходящие справа,898,50.0,DNge129 right,47.0
восходящие справа,898,50.0,DNg74_b left,15.0
восходящие справа,898,50.0,DNg74_b right,18.0
восходящие справа,898,50.0,DNge141 left,0.0
восходящие справа,898,50.0,DNge141 right,97.0
восходящие справа,898,50.0,DNp06 left,0.0
восходящие справа,898,50.0,DNp06 right,0.0
восходящие справа,898,50.0,DNp09 left,0.0
восходящие справа,898,50.0,DNp09 right,0.0
восходящие справа,898,100.0,DNg108 left,0.0
восходящие справа,898,100.0,DNg108 right,0.0
восходящие справа,898,100.0,DNge129 left,77.0
восходящие справа,898,100.0,DNge129 right,79.0
восходящие справа,898,100.0,DNg74_b left,22.0
восходящие справа,898,100.0,DNg74_b right,29.0
восходящие справа,898,100.0,DNge141 left,4.0
восходящие справа,898,100.0,DNge141 right,140.0
восходящие справа,898,100.0,DNp06 left,0.0
восходящие справа,898,100.0,DNp06 right,0.0
восходящие справа,898,100.0,DNp09 left,0.0
восходящие справа,898,100.0,DNp09 right,0.0
восходящие справа,898,200.0,DNg108 left,0.0
восходящие справа,898,200.0,DNg108 right,0.0
восходящие справа,898,200.0,DNge129 left,130.0
восходящие справа,898,200.0,DNge129 right,128.0
восходящие справа,898,200.0,DNg74_b left,73.0
восходящие справа,898,200.0,DNg74_b right,79.0
восходящие справа,898,200.0,DNge141 left,14.0
восходящие справа,898,200.0,DNge141 right,185.0
восходящие справа,898,200.0,DNp06 left,0.0
восходящие справа,898,200.0,DNp06 right,7.0
восходящие справа,898,200.0,DNp09 left,0.0
восходящие справа,898,200.0,DNp09 right,0.0
