cycle,t_sec,contact_l0,contact_l1,contact_l2,contact_r0,contact_r1,contact_r2,n_contacts,fb_rate_left_hz,fb_rate_right_hz,p9_spikes_left,p9_spikes_right,p9_left_hz,p9_right_hz,p9_left_hz_ema,p9_right_hz_ema,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,thorax_z_mm,cpg_phase_0,cpg_phase_3,perturbed,heading_deg
0,0.0,1,0,1,0,1,0,3,206.7,113.3,1,3,66.7,200.0,66.67,200.0,0.8696,1.0,6.7474,0.6688,1.0915,4.4623,1.3207,0,2.98
1,0.015,1,0,1,0,1,1,4,206.7,206.7,1,0,66.7,0.0,66.67,172.14,0.8696,1.0,6.8514,0.8336,1.1738,5.5933,2.4517,0,8.52
2,0.03,1,1,1,0,1,1,5,300.0,206.7,2,1,133.3,66.7,75.95,157.45,0.9907,1.0,7.0228,0.9689,1.0793,0.4411,3.5827,0,10.59
3,0.045,0,1,0,1,0,1,3,113.3,206.7,0,1,0.0,66.7,65.37,144.8,0.8527,1.0,7.315,1.1141,1.0994,1.5721,4.7136,0,8.35
4,0.06,0,1,1,1,0,1,4,206.7,206.7,1,2,66.7,133.3,65.55,143.21,0.855,1.0,7.4353,0.9751,1.1453,2.703,5.8446,0,3.62
5,0.075,0,1,1,1,0,1,4,206.7,206.7,1,2,66.7,133.3,65.71,141.83,0.8571,1.0,7.6651,0.8567,1.0961,3.834,0.6924,0,3.67
6,0.09,1,0,1,0,1,1,4,206.7,206.7,1,2,66.7,133.3,65.84,140.65,0.8588,1.0,7.9154,0.8939,1.1438,4.965,1.8234,0,6.8
7,0.105,1,0,1,0,1,1,4,206.7,206.7,0,1,0.0,66.7,56.67,130.34,0.7392,1.0,7.9807,1.0489,1.1481,6.0959,2.9544,0,11.88
8,0.12,1,1,1,0,1,1,5,300.0,206.7,2,1,133.3,66.7,67.35,121.47,0.8785,1.0,8.2074,1.2696,1.1213,0.9437,4.0853,0,11.36
9,0.135,0,1,1,1,0,1,4,206.7,206.7,0,1,0.0,66.7,57.97,113.84,0.7561,0.9487,8.4324,1.2193,1.1612,2.0747,5.2163,0,8.11
10,0.15,0,1,1,1,0,1,4,206.7,206.7,0,1,0.0,66.7,49.89,107.27,0.6508,0.8939,8.5419,1.0911,1.1079,3.2057,0.0641,0,3.43
11,0.165,1,1,1,0,1,0,4,300.0,113.3,1,2,66.7,133.3,52.23,110.9,0.6813,0.9242,8.8363,0.9404,1.0795,4.3367,1.1951,0,5.78
12,0.18,1,0,1,0,1,0,3,206.7,113.3,2,0,133.3,0.0,63.53,95.45,0.8286,0.7954,8.9359,1.1216,1.1832,5.4676,2.326,0,10.9
13,0.195,1,1,1,0,1,1,5,300.0,206.7,1,2,66.7,133.3,63.96,100.73,0.8343,0.8394,9.0723,1.2506,1.0933,0.3154,3.457,0,13.95
14,0.21,0,1,0,1,0,1,3,113.3,206.7,1,1,66.7,66.7,64.34,95.98,0.8392,0.7999,9.3359,1.432,1.1028,1.4464,4.588,0,12.21
15,0.225,0,1,1,1,0,1,4,206.7,206.7,1,2,66.7,133.3,64.66,101.19,0.8435,0.8432,9.4627,1.3057,1.1674,2.5774,5.719,0,7.32
16,0.24,0,1,1,1,0,1,4,206.7,206.7,0,2,0.0,133.3,55.66,105.66,0.726,0.8805,9.6666,1.2158,1.0847,3.7083,0.5667,0,6.4
17,0.255,1,0,1,0,1,0,3,206.7,113.3,0,2,0.0,133.3,47.9,109.52,0.6248,0.9127,9.9101,1.215,1.1288,4.8393,1.6977,0,9.26
18,0.27,1,0,1,0,1,1,4,206.7,206.7,2,1,133.3,66.7,59.8,103.55,0.7801,0.8629,9.9772,1.3543,1.1619,5.9703,2.8287,0,13.62
19,0.285,1,1,1,0,1,1,5,300.0,206.7,0,3,0.0,200.0,51.47,116.98,0.6714,0.9749,10.1567,1.543,1.1141,0.8181,3.9597,0,13.9
20,0.3,0,1,0,1,0,1,3,113.3,206.7,1,1,66.7,66.7,53.59,109.98,0.699,0.9165,10.3942,1.5601,1.1436,1.949,5.0906,0,11.51
21,0.315,0,1,1,1,0,1,4,206.7,206.7,0,1,0.0,66.7,46.13,103.94,0.6016,0.8662,10.5083,1.4549,1.1129,3.08,6.2216,0,7.7
22,0.33,1,1,1,1,1,1,6,300.0,300.0,1,3,66.7,200.0,48.99,117.32,0.639,0.9777,10.7443,1.3291,1.0805,4.211,1.0694,0,9.45
23,0.345,1,0,1,0,1,1,4,206.7,206.7,1,1,66.7,66.7,51.45,110.27,0.6711,0.9189,10.8391,1.498,1.1798,5.342,2.2004,0,14.2
24,0.36,1,1,1,0,1,1,5,300.0,206.7,0,3,0.0,200.0,44.28,122.77,0.5776,1.0,10.9167,1.6307,1.1334,0.1898,3.3313,0,17.89
25,0.375,0,1,1,1,0,1,4,206.7,206.7,1,2,66.7,133.3,47.4,124.24,0.6183,1.0,11.1884,1.855,1.112,1.3207,4.4623,0,16.89
26,0.39,0,1,1,1,0,1,4,206.7,206.7,0,1,0.0,66.7,40.8,116.22,0.5322,0.9685,11.337,1.774,1.1526,2.4517,5.5933,0,13.29
27,0.405,0,1,1,1,0,1,4,206.7,206.7,1,1,66.7,66.7,44.4,109.32,0.5792,0.911,11.4946,1.7156,1.0584,3.5827,0.4411,0,12.78
28,0.42,1,0,1,0,1,0,3,206.7,113.3,1,1,66.7,66.7,47.5,103.38,0.6196,0.8615,11.7187,1.7041,1.0977,4.7136,1.5721,0,15.41
29,0.435,1,0,1,0,1,1,4,206.7,206.7,1,1,66.7,66.7,50.17,98.26,0.6544,0.8189,11.7641,1.8518,1.1663,5.8446,2.703,0,20.57
30,0.45,1,1,1,0,1,1,5,300.0,206.7,1,1,66.7,66.7,52.47,93.86,0.6844,0.7822,11.9139,2.023,1.105,0.6924,3.834,0,20.17
31,0.465,0,1,1,1,0,1,4,206.7,206.7,1,2,66.7,133.3,54.45,99.36,0.7102,0.828,12.1416,2.1045,1.1291,1.8234,4.965,0,18.69
32,0.48,0,1,0,1,0,1,3,113.3,206.7,0,1,0.0,66.7,46.86,94.81,0.6113,0.79,12.2608,2.0238,1.1271,2.9544,6.0959,0,15.36
33,0.495,1,1,1,1,0,1,5,300.0,206.7,0,1,0.0,66.7,40.34,90.89,0.5261,0.7574,12.4603,1.9278,1.0803,4.0853,0.9437,0,16.08
