cycle,t_sec,contact_l0,contact_l1,contact_l2,contact_r0,contact_r1,contact_r2,n_contacts,fb_rate_left_hz,fb_rate_right_hz,p9_spikes_left,p9_spikes_right,p9_left_hz,p9_right_hz,p9_left_hz_ema,p9_right_hz_ema,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,thorax_z_mm,cpg_phase_0,cpg_phase_3,perturbed,heading_deg
0,0.0,1,1,1,1,1,1,6,300.0,300.0,2,1,133.3,66.7,133.33,66.67,1.0,0.6061,0.6233,-0.0383,1.0822,4.5542,4.5559,0,-3.56
1,0.015,1,1,1,1,1,1,6,300.0,300.0,1,3,66.7,200.0,124.05,85.24,1.0,0.7749,0.6943,-0.0176,1.0461,5.6086,5.6995,0,-1.57
2,0.03,1,0,1,1,1,0,4,206.7,206.7,1,1,66.7,66.7,116.05,82.65,1.0,0.7514,0.6936,0.0521,0.9084,0.3218,0.5908,0,0.54
3,0.045,1,1,1,0,1,1,5,300.0,206.7,1,2,66.7,133.3,109.18,89.71,0.9925,0.8156,0.7714,0.1337,0.8253,1.2613,1.8241,0,0.5
4,0.06,0,1,1,1,1,1,5,206.7,300.0,0,3,0.0,200.0,93.97,105.07,0.8543,0.9552,0.9149,0.2032,0.9303,2.1639,3.1455,0,1.81
5,0.075,1,1,1,1,0,1,5,300.0,206.7,2,2,133.3,133.3,99.45,109.01,0.9041,0.991,1.0453,0.1665,0.9936,3.0665,4.556,0,-1.13
6,0.09,1,1,1,1,1,1,6,300.0,300.0,1,2,66.7,133.3,94.88,112.4,0.8626,1.0,1.1641,0.1209,0.9647,4.0093,6.0024,0,-0.33
7,0.105,1,0,1,1,1,1,5,206.7,300.0,0,3,0.0,200.0,81.67,124.6,0.7424,1.0,1.3233,0.0812,0.8751,5.0117,1.1217,0,3.87
8,0.12,1,1,1,0,1,1,5,300.0,206.7,0,2,0.0,133.3,70.29,125.82,0.639,1.0,1.3275,0.2766,0.977,6.0657,2.445,0,8.27
9,0.135,1,1,1,0,1,1,5,300.0,206.7,2,2,133.3,133.3,79.07,126.86,0.7188,1.0,1.5937,0.4156,0.874,0.87,3.703,0,9.54
10,0.15,0,1,1,1,0,1,4,206.7,206.7,0,1,0.0,66.7,68.06,118.48,0.6187,1.0,1.7886,0.3757,1.0045,1.9769,4.9165,0,7.45
11,0.165,0,1,1,1,1,1,5,206.7,300.0,1,1,66.7,66.7,67.87,111.26,0.617,1.0,1.8752,0.2641,0.981,3.0943,6.1009,0,2.9
12,0.18,0,1,1,1,1,1,5,206.7,300.0,1,3,66.7,200.0,67.7,123.62,0.6154,1.0,2.0998,0.1539,0.9677,4.2173,0.984,0,4.85
13,0.195,1,0,1,0,1,1,4,206.7,206.7,0,2,0.0,133.3,58.27,124.97,0.5297,1.0,2.1824,0.3112,1.105,5.3434,2.1385,0,10.94
14,0.21,1,1,1,0,1,1,5,300.0,206.7,1,2,66.7,133.3,59.44,126.14,0.5403,1.0,2.2648,0.4529,1.0834,0.1881,3.2853,0,14.29
15,0.225,0,1,1,1,0,1,4,206.7,206.7,2,2,133.3,133.3,69.73,127.14,0.6339,1.0,2.5355,0.6526,1.0795,1.3171,4.4274,0,13.97
16,0.24,0,1,1,1,0,1,4,206.7,206.7,0,2,0.0,133.3,60.02,128.0,0.5456,1.0,2.6805,0.5681,1.1207,2.4468,5.5662,0,10.28
17,0.255,0,1,1,1,0,1,4,206.7,206.7,2,0,133.3,0.0,70.23,110.17,0.6385,1.0,2.8327,0.5087,1.0428,3.577,0.4196,0,10.26
18,0.27,1,0,1,0,1,1,4,206.7,206.7,1,2,66.7,133.3,69.73,113.4,0.6339,1.0,3.0515,0.4932,1.0805,4.7074,1.5546,0,13.13
19,0.285,1,0,1,0,1,0,3,206.7,113.3,1,1,66.7,66.7,69.31,106.89,0.6301,0.9717,3.0984,0.6557,1.157,5.838,2.6885,0,19.24
20,0.3,1,0,1,0,1,0,3,206.7,113.3,1,1,66.7,66.7,68.94,101.29,0.6267,0.9208,3.2748,0.8336,1.095,0.6856,3.8215,0,18.53
