cycle,t_sec,contact_l0,contact_l1,contact_l2,contact_r0,contact_r1,contact_r2,n_contacts,fb_rate_left_hz,fb_rate_right_hz,p9_spikes_left,p9_spikes_right,p9_left_hz,p9_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,thorax_z_mm,cpg_phase_0,cpg_phase_3
0,0.0,1,1,1,1,1,1,6,200.0,200.0,2,2,133.3,133.3,0.7407,0.7407,0.6185,-0.0313,1.0776,4.5573,4.5598
1,0.015,1,1,1,1,1,1,6,200.0,200.0,3,3,200.0,200.0,1.0,1.0,0.6972,-0.0233,1.0513,5.6135,5.7133
2,0.03,1,0,1,1,1,0,4,150.0,150.0,2,2,133.3,133.3,0.7407,0.7407,0.6878,0.059,0.9197,0.3273,0.6169
3,0.045,1,1,1,0,1,1,5,200.0,150.0,3,3,200.0,200.0,1.0,1.0,0.7511,0.1757,0.8214,1.2613,1.8607
4,0.06,0,1,1,1,1,1,5,150.0,200.0,1,2,66.7,133.3,0.3704,0.7407,0.8905,0.2595,0.9269,2.1597,3.1729
5,0.075,1,1,1,1,1,1,6,200.0,200.0,3,3,200.0,200.0,1.0,1.0,1.0238,0.2625,0.9732,3.0579,4.5469
6,0.09,1,1,1,1,1,1,6,200.0,200.0,3,3,200.0,200.0,1.0,1.0,1.1248,0.2177,0.9381,3.9861,5.9679
7,0.105,1,0,1,1,1,1,5,150.0,200.0,2,3,133.3,200.0,0.7407,1.0,1.276,0.1881,0.8402,4.976,1.0771
8,0.12,1,0,1,0,1,1,4,150.0,150.0,2,3,133.3,200.0,0.7407,1.0,1.277,0.3819,0.9561,6.0224,2.3988
9,0.135,1,1,1,0,1,1,5,200.0,150.0,3,2,200.0,133.3,1.0,0.7407,1.5176,0.5292,0.8588,0.8257,3.6615
10,0.15,0,1,1,1,0,1,4,150.0,150.0,2,3,133.3,200.0,0.7407,1.0,1.7137,0.505,0.9983,1.9343,4.8802
11,0.165,1,1,1,1,1,1,6,200.0,200.0,2,2,133.3,133.3,0.7407,0.7407,1.7969,0.3857,0.9997,3.0539,6.0674
12,0.18,1,1,1,1,1,1,6,200.0,200.0,3,3,200.0,200.0,1.0,1.0,2.0533,0.2718,1.0021,4.1792,0.9531
13,0.195,1,0,1,0,1,1,4,150.0,150.0,3,2,200.0,133.3,1.0,0.7407,2.2053,0.4042,1.0744,5.3076,2.1104
14,0.21,1,0,1,1,1,1,5,150.0,200.0,2,2,133.3,133.3,0.7407,0.7407,2.2648,0.5473,1.0566,0.1543,3.2588
15,0.225,0,1,0,1,1,1,4,100.0,200.0,2,3,133.3,200.0,0.7407,1.0,2.5171,0.738,1.0558,1.2846,4.4011
16,0.24,0,1,1,1,0,1,4,150.0,150.0,3,2,200.0,133.3,1.0,0.7407,2.6565,0.6054,1.1409,2.4152,5.5399
