cycle,t_sec,contact_l0,contact_l1,contact_l2,contact_r0,contact_r1,contact_r2,n_contacts,fb_rate_left_hz,fb_rate_right_hz,p9_spikes_left,p9_spikes_right,p9_left_hz,p9_right_hz,p9_left_hz_ema,p9_right_hz_ema,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,thorax_z_mm,cpg_phase_0,cpg_phase_3
0,0.0,1,1,1,1,1,1,6,200.0,200.0,2,2,133.3,133.3,133.33,133.33,0.7407,0.7407,0.6185,-0.0313,1.0776,4.5573,4.5598
1,0.015,1,1,1,1,1,1,6,200.0,200.0,3,3,200.0,200.0,142.62,142.62,0.7923,0.7923,0.6782,-0.0212,1.0504,5.6211,5.7108
2,0.03,1,0,1,1,1,1,5,150.0,200.0,2,2,133.3,133.3,141.33,141.33,0.7851,0.7851,0.6748,0.0543,0.925,0.3495,0.6065
3,0.045,0,1,1,0,1,1,4,150.0,150.0,2,3,133.3,200.0,140.21,149.5,0.779,0.8305,0.73,0.1594,0.8314,1.3051,1.8326
4,0.06,0,1,1,1,1,1,5,150.0,200.0,2,2,133.3,133.3,139.25,147.25,0.7736,0.818,0.8465,0.2438,0.9413,2.2171,3.1245
5,0.075,1,1,1,1,1,1,6,200.0,200.0,3,3,200.0,200.0,147.72,154.6,0.8206,0.8589,0.9729,0.2369,0.9974,3.1178,4.4868
6,0.09,1,1,1,1,1,1,6,200.0,200.0,3,3,200.0,200.0,155.0,160.92,0.8611,0.894,1.0671,0.1964,0.9572,4.0457,5.8948
7,0.105,1,0,1,1,1,1,5,150.0,200.0,2,2,133.3,133.3,151.98,157.08,0.8443,0.8727,1.2051,0.1715,0.8638,5.0279,1.0097
8,0.12,1,1,1,0,1,1,5,200.0,150.0,3,3,200.0,200.0,158.67,163.06,0.8815,0.9059,1.231,0.3511,0.9539,6.0656,2.3551
9,0.135,1,1,1,0,1,1,5,200.0,150.0,3,3,200.0,200.0,164.43,168.2,0.9135,0.9345,1.4699,0.4845,0.8548,0.8607,3.6404
10,0.15,0,1,1,1,0,1,4,150.0,150.0,2,3,133.3,200.0,160.1,172.63,0.8894,0.9591,1.6601,0.4449,0.9992,1.9637,4.8759
11,0.165,1,1,1,1,1,1,6,200.0,200.0,3,2,200.0,133.3,165.65,167.16,0.9203,0.9287,1.752,0.3184,0.9942,3.0805,6.0758
12,0.18,0,1,1,1,1,1,5,150.0,200.0,3,2,200.0,133.3,170.44,162.45,0.9469,0.9025,2.0158,0.191,0.9962,4.2046,0.969
13,0.195,1,0,1,0,1,1,4,150.0,150.0,2,3,133.3,200.0,165.27,167.68,0.9182,0.9315,2.1603,0.3261,1.0721,5.3323,2.1299
14,0.21,1,1,1,0,1,1,5,200.0,150.0,3,2,200.0,133.3,170.11,162.89,0.945,0.905,2.2484,0.4761,1.0516,0.1785,3.2805
15,0.225,0,1,1,1,1,1,5,150.0,200.0,2,2,133.3,133.3,164.98,158.78,0.9166,0.8821,2.5175,0.6641,1.0512,1.3088,4.4244
16,0.24,0,1,1,1,0,1,4,150.0,150.0,3,2,200.0,133.3,169.86,155.23,0.9437,0.8624,2.6582,0.512,1.1402,2.4394,5.5639
17,0.255,0,1,1,1,1,1,5,150.0,200.0,2,3,133.3,200.0,164.77,161.47,0.9154,0.897,2.8591,0.4139,1.0772,3.5702,0.4174
18,0.27,1,0,1,0,1,0,3,150.0,100.0,2,2,133.3,133.3,160.39,157.55,0.8911,0.8753,3.1584,0.3464,1.0954,4.7011,1.552
19,0.285,1,0,1,0,1,1,4,150.0,150.0,3,2,200.0,133.3,165.91,154.18,0.9217,0.8565,3.2431,0.5085,1.1481,5.832,2.6855
20,0.3,1,1,1,0,1,1,5,200.0,150.0,3,3,200.0,200.0,170.66,160.56,0.9481,0.892,3.4343,0.6693,1.0939,0.6798,3.8181
21,0.315,0,1,0,1,0,1,3,100.0,150.0,2,2,133.3,133.3,165.46,156.77,0.9192,0.8709,3.6841,0.6947,1.1405,1.8107,4.9501
22,0.33,0,1,1,1,0,1,4,150.0,150.0,1,3,66.7,200.0,151.7,162.79,0.8428,0.9044,3.8031,0.5669,1.1383,2.9417,6.0818
23,0.345,0,1,1,1,0,1,4,150.0,150.0,3,3,200.0,200.0,158.43,167.97,0.8802,0.9332,4.0625,0.4034,1.1118,4.0727,0.9301
