cycle,t_sec,contact_l0,contact_l1,contact_l2,contact_r0,contact_r1,contact_r2,n_contacts,fb_rate_left_hz,fb_rate_right_hz,p9_spikes_left,p9_spikes_right,p9_left_hz,p9_right_hz,p9_left_hz_ema,p9_right_hz_ema,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,thorax_z_mm,cpg_phase_0,cpg_phase_3
0,0.0,1,1,1,1,1,1,6,200.0,200.0,2,2,133.3,133.3,133.33,133.33,0.7407,0.7407,0.6185,-0.0313,1.0776,4.5573,4.5598
1,0.015,1,1,1,1,1,1,6,200.0,200.0,3,3,200.0,200.0,142.62,142.62,0.7923,0.7923,0.6782,-0.0212,1.0504,5.6211,5.7108
2,0.03,1,0,1,1,1,1,5,135.0,200.0,2,2,133.3,133.3,141.33,141.33,0.7851,0.7851,0.6748,0.0543,0.925,0.3495,0.6065
3,0.045,0,1,1,0,1,1,4,135.0,135.0,1,2,66.7,133.3,130.93,140.21,0.7274,0.779,0.7304,0.1597,0.8379,1.3077,1.831
4,0.06,0,1,1,1,1,0,4,135.0,135.0,2,2,133.3,133.3,131.26,139.25,0.7292,0.7736,0.8435,0.2394,0.9422,2.2263,3.1167
5,0.075,1,1,1,1,1,1,6,200.0,200.0,2,3,133.3,200.0,131.55,147.72,0.7308,0.8206,0.9664,0.2355,0.9958,3.1343,4.4664
6,0.09,1,1,1,1,1,1,6,200.0,200.0,3,3,200.0,200.0,141.08,155.0,0.7838,0.8611,1.0544,0.1976,0.958,4.065,5.8588
7,0.105,1,0,1,1,1,0,4,135.0,135.0,2,2,133.3,133.3,140.01,151.98,0.7778,0.8443,1.1791,0.1762,0.8701,5.0438,0.9637
8,0.12,1,1,1,0,1,0,4,200.0,70.0,2,1,133.3,66.7,139.08,140.1,0.7726,0.7783,1.2033,0.3442,0.958,6.0762,2.3061
9,0.135,1,1,1,1,1,1,6,200.0,200.0,4,3,266.7,200.0,156.85,148.44,0.8714,0.8247,1.427,0.4661,0.8565,0.8664,3.5945
10,0.15,0,1,1,1,0,1,4,135.0,135.0,0,2,0.0,133.3,135.0,146.34,0.75,0.813,1.5962,0.4304,1.0003,1.9657,4.8356
11,0.165,1,1,1,1,0,1,5,200.0,135.0,3,2,200.0,133.3,144.05,144.53,0.8003,0.8029,1.6786,0.3184,1.0022,3.0797,6.0409
12,0.18,0,0,1,1,1,1,4,70.0,200.0,1,3,66.7,200.0,133.27,152.25,0.7404,0.8458,1.913,0.2054,0.9873,4.2016,0.9389
13,0.195,1,0,1,0,1,1,4,135.0,135.0,2,2,133.3,133.3,133.28,149.62,0.7405,0.8312,2.0308,0.3274,1.0681,5.3277,2.1037
14,0.21,1,0,1,1,1,1,5,135.0,200.0,2,2,133.3,133.3,133.29,147.35,0.7405,0.8186,2.1112,0.4592,1.058,0.1727,3.2578
15,0.225,0,1,1,1,0,1,4,135.0,135.0,2,2,133.3,133.3,133.3,145.4,0.7405,0.8078,2.3478,0.6267,1.0553,1.3022,4.4046
16,0.24,0,1,1,1,0,1,4,135.0,135.0,2,2,133.3,133.3,133.3,143.72,0.7406,0.7984,2.4777,0.5096,1.1245,2.4322,5.5465
17,0.255,0,1,1,1,0,1,4,135.0,135.0,2,2,133.3,133.3,133.31,142.27,0.7406,0.7904,2.6445,0.4313,1.0581,3.5627,0.402
18,0.27,1,0,1,0,1,0,3,135.0,70.0,3,2,200.0,133.3,142.6,141.03,0.7922,0.7835,2.8919,0.3799,1.0886,4.6934,1.5383
19,0.285,1,0,1,0,1,1,4,135.0,135.0,3,2,200.0,133.3,150.59,139.95,0.8366,0.7775,2.9742,0.5224,1.1412,5.8242,2.6732
20,0.3,1,1,1,0,1,0,4,200.0,70.0,3,1,200.0,66.7,157.47,129.75,0.8749,0.7208,3.1449,0.6631,1.0841,0.6719,3.8069
21,0.315,0,1,0,1,0,1,3,70.0,135.0,1,2,66.7,133.3,144.83,130.25,0.8046,0.7236,3.3567,0.6848,1.1374,1.8029,4.9399
22,0.33,0,1,1,1,0,1,4,135.0,135.0,2,3,133.3,200.0,143.22,139.96,0.7957,0.7776,3.4706,0.5818,1.1431,2.9338,6.0722
23,0.345,0,1,1,1,1,1,5,135.0,200.0,3,3,200.0,200.0,151.13,148.32,0.8396,0.824,3.6982,0.4466,1.1066,4.0648,0.921
