cycle,t_sec,contact_l0,contact_l1,contact_l2,contact_r0,contact_r1,contact_r2,n_contacts,fb_rate_left_hz,fb_rate_right_hz,p9_spikes_left,p9_spikes_right,p9_left_hz,p9_right_hz,p9_left_hz_ema,p9_right_hz_ema,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,thorax_z_mm,cpg_phase_0,cpg_phase_3
0,0.0,1,1,1,1,1,1,6,125.0,125.0,2,2,133.3,133.3,133.33,133.33,0.7407,0.7407,0.6185,-0.0313,1.0776,4.5573,4.5598
1,0.015,1,1,1,1,1,1,6,125.0,125.0,2,2,133.3,133.3,133.33,133.33,0.7407,0.7407,0.6735,-0.0208,1.0501,5.6229,5.7101
2,0.03,1,0,1,1,1,1,5,125.0,125.0,1,2,66.7,133.3,124.05,133.33,0.6892,0.7407,0.6663,0.0492,0.9307,0.3584,0.6029
3,0.045,1,0,1,0,1,1,4,125.0,125.0,2,2,133.3,133.3,125.34,133.33,0.6963,0.7407,0.7174,0.1513,0.8434,1.3281,1.8196
4,0.06,1,1,1,1,1,1,6,125.0,125.0,3,3,200.0,200.0,135.74,142.62,0.7541,0.7923,0.822,0.2275,0.9442,2.2555,3.0935
5,0.075,1,1,1,1,0,1,5,125.0,125.0,1,2,66.7,133.3,126.12,141.33,0.7007,0.7851,0.9436,0.226,0.9995,3.1663,4.4306
6,0.09,1,1,1,1,1,1,6,125.0,125.0,3,2,200.0,133.3,136.41,140.21,0.7578,0.779,1.0266,0.1894,0.9616,4.0966,5.8119
7,0.105,1,0,1,1,1,1,5,125.0,125.0,2,2,133.3,133.3,135.98,139.25,0.7555,0.7736,1.1407,0.1698,0.8762,5.0719,0.9136
8,0.12,1,0,1,0,1,1,4,125.0,125.0,2,2,133.3,133.3,135.61,138.43,0.7534,0.7691,1.1733,0.3299,0.9579,6.0979,2.2615
9,0.135,1,1,1,1,1,1,6,125.0,125.0,2,3,133.3,200.0,135.29,147.01,0.7516,0.8167,1.3906,0.4406,0.8516,0.8813,3.5574
10,0.15,0,1,1,1,0,1,4,125.0,125.0,2,2,133.3,133.3,135.02,145.1,0.7501,0.8061,1.5552,0.4102,0.993,1.9749,4.8059
11,0.165,1,1,1,1,1,1,6,125.0,125.0,2,3,133.3,200.0,134.79,152.75,0.7488,0.8486,1.6377,0.3056,0.9918,3.0849,6.0182
12,0.18,1,1,1,1,1,1,6,125.0,125.0,2,2,133.3,133.3,134.58,150.04,0.7477,0.8336,1.8645,0.1959,0.9685,4.2042,0.9218
13,0.195,1,0,1,0,1,0,3,125.0,125.0,2,2,133.3,133.3,134.41,147.72,0.7467,0.8206,1.9764,0.3129,1.0568,5.3288,2.0911
14,0.21,1,1,1,0,1,1,5,125.0,125.0,2,2,133.3,133.3,134.26,145.71,0.7459,0.8095,2.0582,0.444,1.0493,0.1731,3.2485
15,0.225,0,1,0,1,0,1,3,125.0,125.0,3,2,200.0,133.3,143.42,143.99,0.7968,0.7999,2.289,0.6105,1.0481,1.3021,4.3979
16,0.24,0,1,1,1,0,1,4,125.0,125.0,2,1,133.3,66.7,142.01,133.22,0.789,0.7401,2.4162,0.4927,1.1196,2.4321,5.5418
17,0.255,0,1,1,1,0,1,4,125.0,125.0,2,2,133.3,133.3,140.8,133.23,0.7822,0.7402,2.5827,0.4105,1.0592,3.5626,0.3987
18,0.27,1,0,1,0,1,1,4,125.0,125.0,3,2,200.0,133.3,149.05,133.25,0.8281,0.7403,2.8369,0.3571,1.0864,4.6933,1.5361
19,0.285,1,0,1,0,1,0,3,125.0,125.0,2,2,133.3,133.3,146.86,133.26,0.8159,0.7403,2.9171,0.4965,1.1359,5.8241,2.6717
20,0.3,1,0,1,0,1,1,4,125.0,125.0,1,2,66.7,133.3,135.69,133.27,0.7538,0.7404,3.0809,0.6348,1.0803,0.6719,3.8058
21,0.315,0,1,0,1,0,1,3,125.0,125.0,3,3,200.0,200.0,144.65,142.57,0.8036,0.792,3.2937,0.6595,1.1331,1.8028,4.939
22,0.33,0,1,0,1,0,1,3,125.0,125.0,2,2,133.3,133.3,143.07,141.28,0.7948,0.7849,3.4073,0.5592,1.1372,2.9337,6.0716
23,0.345,0,1,1,1,1,1,5,125.0,125.0,2,2,133.3,133.3,141.72,140.17,0.7873,0.7787,3.6274,0.4263,1.1014,4.0647,0.9205
24,0.36,1,0,1,0,1,1,4,125.0,125.0,3,2,200.0,133.3,149.83,139.22,0.8324,0.7734,3.8005,0.526,1.1581,5.1957,2.0522
25,0.375,1,0,1,0,1,1,4,125.0,125.0,2,2,133.3,133.3,147.54,138.4,0.8196,0.7689,3.8818,0.6528,1.1168,0.0435,3.1837
26,0.39,0,1,0,1,1,1,4,125.0,125.0,3,2,200.0,133.3,154.84,137.69,0.8602,0.765,4.1096,0.8438,1.0914,1.1744,4.3151
27,0.405,0,1,1,1,0,1,4,125.0,125.0,2,2,133.3,133.3,151.85,137.09,0.8436,0.7616,4.2496,0.7199,1.1738,2.3054,5.4464
28,0.42,0,1,1,1,1,1,5,125.0,125.0,3,2,200.0,133.3,158.55,136.56,0.8809,0.7587,4.406,0.628,1.0945,3.4364,0.2943
29,0.435,1,0,1,0,1,1,4,125.0,125.0,2,1,133.3,66.7,155.04,126.83,0.8613,0.7046,4.7022,0.5219,1.102,4.5673,1.4254
30,0.45,1,0,1,0,1,1,4,125.0,125.0,3,2,200.0,133.3,161.3,127.73,0.8961,0.7096,4.7965,0.6668,1.1603,5.6983,2.5565
31,0.465,1,0,1,0,1,1,4,125.0,125.0,1,2,66.7,133.3,148.12,128.51,0.8229,0.714,4.9556,0.7898,1.0788,0.5461,3.6876
32,0.48,0,1,1,1,0,1,4,125.0,125.0,3,3,200.0,200.0,155.35,138.47,0.863,0.7693,5.1863,0.8577,1.1258,1.6771,4.8186
33,0.495,0,1,1,1,0,1,4,125.0,125.0,2,1,133.3,66.7,152.28,128.47,0.846,0.7137,5.2892,0.7377,1.1655,2.8081,5.9496
34,0.51,0,1,1,1,1,1,5,125.0,125.0,2,2,133.3,133.3,149.64,129.15,0.8313,0.7175,5.5102,0.6049,1.1192,3.939,0.7974
35,0.525,1,0,1,0,1,1,4,125.0,125.0,3,2,200.0,133.3,156.66,129.73,0.8703,0.7207,5.7348,0.6512,1.1533,5.07,1.9284
36,0.54,1,0,1,0,1,1,4,125.0,125.0,2,2,133.3,133.3,153.41,130.23,0.8523,0.7235,5.8238,0.778,1.1255,6.201,3.0594
37,0.555,1,1,1,1,1,1,6,125.0,125.0,2,2,133.3,133.3,150.61,130.66,0.8367,0.7259,6.0176,0.9641,1.093,1.0488,4.1903
38,0.57,0,1,1,1,0,1,4,125.0,125.0,3,3,200.0,200.0,157.49,140.32,0.8749,0.7796,6.1716,0.8518,1.1706,2.1797,5.3213
39,0.585,0,1,1,1,1,1,5,125.0,125.0,2,2,133.3,133.3,154.13,139.35,0.8563,0.7742,6.2952,0.7482,1.1134,3.3107,0.1691
