cycle,t_sec,contact_l0,contact_l1,contact_l2,contact_r0,contact_r1,contact_r2,n_contacts,fb_rate_left_hz,fb_rate_right_hz,p9_spikes_left,p9_spikes_right,p9_left_hz,p9_right_hz,p9_left_hz_ema,p9_right_hz_ema,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,thorax_z_mm,cpg_phase_0,cpg_phase_3,perturbed,heading_deg
0,0.0,1,1,1,1,1,1,6,200.0,200.0,2,2,133.3,133.3,133.33,133.33,0.7407,0.7407,0.6185,-0.0313,1.0776,4.5573,4.5598,0,-3.01
1,0.015,1,1,1,1,1,1,6,200.0,200.0,3,3,200.0,200.0,142.62,142.62,0.7923,0.7923,0.6782,-0.0212,1.0504,5.6211,5.7108,0,-1.2
2,0.03,1,0,1,1,1,1,5,140.0,200.0,2,2,133.3,133.3,141.33,141.33,0.7851,0.7851,0.6748,0.0543,0.925,0.3495,0.6065,0,1.38
3,0.045,0,1,1,0,1,1,4,140.0,140.0,1,2,66.7,133.3,130.93,140.21,0.7274,0.779,0.7304,0.1597,0.8379,1.3077,1.831,0,2.54
4,0.06,0,1,1,1,1,0,4,140.0,140.0,2,3,133.3,200.0,131.26,148.54,0.7292,0.8252,0.8446,0.2398,0.9424,2.2245,3.1178,0,3.72
5,0.075,1,1,1,1,0,1,5,200.0,140.0,3,2,200.0,133.3,140.84,146.42,0.7824,0.8135,0.9694,0.2359,0.9945,3.1294,4.4712,0,1.78
6,0.09,1,1,1,1,1,1,6,200.0,200.0,3,2,200.0,133.3,149.08,144.6,0.8282,0.8033,1.0581,0.1994,0.9576,4.0607,5.8684,0,1.76
7,0.105,1,0,1,1,1,1,5,140.0,200.0,2,3,133.3,200.0,146.88,152.32,0.816,0.8462,1.1893,0.1751,0.8667,5.0427,0.9777,0,5.13
8,0.12,1,1,1,0,1,1,5,200.0,140.0,2,3,133.3,200.0,145.0,158.96,0.8055,0.8831,1.2144,0.3478,0.9556,6.0766,2.3234,0,9.07
9,0.135,1,0,1,1,1,1,5,140.0,200.0,3,2,200.0,133.3,152.66,155.39,0.8481,0.8633,1.4447,0.4739,0.8545,0.8675,3.6118,0,10.01
10,0.15,0,1,1,1,0,1,4,140.0,140.0,2,2,133.3,133.3,149.97,152.32,0.8331,0.8462,1.6201,0.4354,0.998,1.9677,4.8514,0,7.6
11,0.165,1,1,1,1,1,1,6,200.0,200.0,2,3,133.3,200.0,147.65,158.96,0.8203,0.8831,1.7076,0.3193,0.9964,3.0825,6.0554,0,2.67
12,0.18,1,0,1,1,1,1,5,140.0,200.0,3,2,200.0,133.3,154.94,155.39,0.8608,0.8633,1.953,0.2013,0.9882,4.2051,0.9523,0,3.55
13,0.195,1,0,1,0,1,0,3,140.0,80.0,2,2,133.3,133.3,151.93,152.32,0.8441,0.8462,2.0837,0.3266,1.0668,5.3318,2.1163,0,8.5
14,0.21,1,1,1,0,1,1,5,200.0,140.0,3,2,200.0,133.3,158.63,149.67,0.8813,0.8315,2.1717,0.4654,1.0492,0.1775,3.2696,0,12.13
15,0.225,0,1,0,1,1,1,4,80.0,200.0,3,2,200.0,133.3,164.39,147.4,0.9133,0.8189,2.4188,0.6401,1.0481,1.3074,4.4158,0,10.02
16,0.24,0,1,1,1,0,1,4,140.0,140.0,2,3,133.3,200.0,160.06,154.72,0.8892,0.8596,2.5563,0.5032,1.1308,2.4379,5.5572,0,4.26
17,0.255,0,1,1,1,0,1,4,140.0,140.0,2,2,133.3,133.3,156.34,151.74,0.8686,0.843,2.7466,0.4116,1.0694,3.5687,0.412,0,3.0
18,0.27,1,0,1,0,1,0,3,140.0,80.0,2,2,133.3,133.3,153.14,149.18,0.8508,0.8288,3.0256,0.3502,1.0926,4.6995,1.5478,0,4.63
19,0.285,1,0,1,0,1,1,4,140.0,140.0,3,2,200.0,133.3,159.66,146.97,0.887,0.8165,3.1101,0.5029,1.1428,5.8304,2.6819,0,9.7
20,0.3,1,0,1,0,1,1,4,140.0,140.0,2,2,133.3,133.3,156.0,145.07,0.8666,0.806,3.2914,0.6537,1.0898,0.6782,3.8151,0,9.27
21,0.315,0,1,0,1,0,1,3,80.0,140.0,2,3,133.3,200.0,152.84,152.72,0.8491,0.8485,3.5253,0.6753,1.1399,1.8091,4.9475,0,7.05
22,0.33,0,1,1,1,0,1,4,140.0,140.0,1,2,66.7,133.3,140.84,150.02,0.7824,0.8335,3.6408,0.56,1.1395,2.9401,6.0795,0,2.43
23,0.345,0,1,1,1,0,1,4,140.0,140.0,2,2,133.3,133.3,139.79,147.7,0.7766,0.8205,3.8808,0.4103,1.11,4.071,0.928,0,3.31
24,0.36,1,0,1,0,1,1,4,140.0,140.0,3,2,200.0,133.3,148.18,145.7,0.8232,0.8094,4.0572,0.5175,1.1681,5.202,2.0594,0,6.51
25,0.375,1,0,1,0,1,1,4,140.0,140.0,2,2,133.3,133.3,146.11,143.97,0.8117,0.7999,4.1379,0.6523,1.1222,0.0498,3.1907,0,11.12
26,0.39,0,1,1,1,0,1,4,140.0,140.0,3,2,200.0,133.3,153.62,142.49,0.8534,0.7916,4.3806,0.8584,1.0933,1.1808,4.3219,0,9.63
27,0.405,0,1,1,1,0,1,4,140.0,140.0,2,2,133.3,133.3,150.79,141.22,0.8377,0.7845,4.5252,0.7348,1.1719,2.3117,5.453,0,4.79
28,0.42,0,1,1,1,0,1,4,140.0,140.0,2,2,133.3,133.3,148.36,140.12,0.8242,0.7784,4.6777,0.639,1.0935,3.4427,0.3009,0,1.77
29,0.435,1,0,1,0,1,1,4,140.0,140.0,3,2,200.0,133.3,155.55,139.17,0.8642,0.7732,4.9807,0.5286,1.1003,4.5737,1.4319,0,3.63
30,0.45,1,0,1,0,1,1,4,140.0,140.0,3,1,200.0,66.7,161.74,129.07,0.8986,0.7171,5.0729,0.6793,1.1643,5.7046,2.5629,0,8.3
31,0.465,1,0,1,0,1,1,4,140.0,140.0,2,2,133.3,133.3,157.79,129.67,0.8766,0.7204,5.2376,0.8067,1.0814,0.5524,3.6939,0,8.89
32,0.48,0,1,0,1,0,1,3,80.0,140.0,1,3,66.7,200.0,145.09,139.46,0.8061,0.7748,5.4738,0.8759,1.1255,1.6834,4.8249,0,6.46
33,0.495,0,1,1,1,0,1,4,140.0,140.0,3,3,200.0,200.0,152.74,147.9,0.8486,0.8216,5.5843,0.7592,1.1583,2.8144,5.9559,0,2.0
34,0.51,0,1,1,1,0,1,4,140.0,140.0,1,2,66.7,133.3,140.75,145.87,0.782,0.8104,5.804,0.628,1.1117,3.9454,0.8037,0,2.26
35,0.525,1,0,1,0,1,1,4,140.0,140.0,2,2,133.3,133.3,139.72,144.12,0.7762,0.8007,6.0145,0.6894,1.158,5.0763,1.9347,0,4.91
36,0.54,1,0,1,0,1,1,4,140.0,140.0,3,1,200.0,66.7,148.12,133.33,0.8229,0.7407,6.1008,0.8175,1.1313,6.2073,3.0657,0,9.08
37,0.555,1,1,1,1,1,1,6,200.0,200.0,2,3,133.3,200.0,146.06,142.62,0.8114,0.7923,6.3072,1.012,1.0995,1.0551,4.1967,0,8.12
38,0.57,0,1,1,1,0,1,4,140.0,140.0,2,3,133.3,200.0,144.28,150.61,0.8016,0.8367,6.4735,0.9116,1.1688,2.1861,5.3276,0,4.02
39,0.585,0,1,1,1,1,1,5,140.0,200.0,3,3,200.0,200.0,152.05,157.49,0.8447,0.875,6.6042,0.808,1.1043,3.317,0.1754,0,0.15
40,0.6,1,0,1,0,1,1,4,140.0,140.0,3,1,200.0,66.7,158.72,144.84,0.8818,0.8047,6.901,0.6683,1.0935,4.448,1.3064,0,1.91
41,0.615,1,0,1,0,1,0,3,140.0,80.0,2,2,133.3,133.3,155.19,143.24,0.8622,0.7958,7.0083,0.8248,1.1705,5.579,2.4374,0,6.96
42,0.63,1,1,1,0,1,1,5,200.0,140.0,3,2,200.0,133.3,161.43,141.86,0.8968,0.7881,7.1669,0.9462,1.0767,0.4268,3.5684,0,8.84
43,0.645,0,1,0,1,0,1,3,80.0,140.0,1,2,66.7,133.3,148.23,140.67,0.8235,0.7815,7.4221,1.0652,1.1048,1.5577,4.6993,0,6.44
44,0.66,0,1,0,1,0,1,3,80.0,140.0,1,3,66.7,200.0,136.87,148.93,0.7604,0.8274,7.5296,0.9348,1.1615,2.6887,5.8303,0,1.79
45,0.675,0,1,1,1,1,1,5,140.0,200.0,2,3,133.3,200.0,136.38,156.05,0.7576,0.8669,7.7407,0.8219,1.1003,3.8197,0.6781,0,1.64
46,0.69,1,0,1,0,1,0,3,140.0,80.0,2,2,133.3,133.3,135.95,152.88,0.7553,0.8494,7.9735,0.8418,1.1447,4.9507,1.8091,0,4.2
47,0.705,1,0,1,0,1,1,4,140.0,140.0,2,2,133.3,133.3,135.59,150.16,0.7533,0.8342,8.0545,0.9717,1.15,6.0816,2.94,0,8.47
48,0.72,1,0,1,0,1,1,4,140.0,140.0,3,3,200.0,200.0,144.56,157.1,0.8031,0.8728,8.2528,1.1604,1.1129,0.9294,4.071,0,8.1
49,0.735,0,1,1,1,0,1,4,140.0,140.0,2,3,133.3,200.0,143.0,163.08,0.7944,0.906,8.4584,1.1047,1.1606,2.0604,5.202,0,4.88
50,0.75,0,1,1,1,0,1,4,140.0,140.0,2,2,133.3,133.3,141.65,158.93,0.7869,0.883,8.5687,0.9882,1.1147,3.1914,0.0498,0,0.51
51,0.765,1,1,1,1,1,0,5,200.0,140.0,2,2,133.3,133.3,140.49,155.37,0.7805,0.8632,8.8423,0.835,1.0901,4.3223,1.1808,0,2.46
52,0.78,1,0,1,0,1,1,4,140.0,140.0,3,1,200.0,66.7,148.78,143.01,0.8266,0.7945,8.9583,0.9939,1.1773,5.4533,2.3117,0,7.28
53,0.795,1,1,1,0,1,1,5,200.0,140.0,2,3,133.3,200.0,146.63,150.95,0.8146,0.8386,9.0934,1.1151,1.0933,0.3011,3.4427,0,10.24
54,0.81,0,1,0,1,0,1,3,80.0,140.0,3,2,200.0,133.3,154.06,148.5,0.8559,0.825,9.3627,1.2782,1.1026,1.4321,4.5737,0,8.3
55,0.825,0,1,0,1,0,1,3,80.0,140.0,0,2,0.0,133.3,132.6,146.38,0.7367,0.8132,9.4793,1.142,1.1718,2.5631,5.7046,0,3.42
56,0.84,0,1,1,1,0,1,4,140.0,140.0,2,3,133.3,200.0,132.71,153.85,0.7373,0.8547,9.6771,1.0455,1.0914,3.694,0.5524,0,2.68
57,0.855,1,0,1,0,1,0,3,140.0,80.0,3,1,200.0,66.7,142.08,141.71,0.7893,0.7873,9.9297,1.0247,1.132,4.825,1.6834,0,5.02
58,0.87,1,0,1,0,1,1,4,140.0,140.0,2,3,133.3,200.0,140.86,149.83,0.7826,0.8324,10.0087,1.158,1.1616,5.956,2.8144,0,9.36
59,0.885,1,1,1,0,1,1,5,200.0,140.0,2,2,133.3,133.3,139.81,147.53,0.7767,0.8196,10.1893,1.3301,1.1079,0.8038,3.9454,0,9.48
60,0.9,0,1,0,1,0,1,3,80.0,140.0,1,3,66.7,200.0,129.62,154.84,0.7201,0.8602,10.4145,1.3219,1.1491,1.9347,5.0763,0,6.87
61,0.915,0,1,1,1,0,1,4,140.0,140.0,3,2,200.0,133.3,139.43,151.84,0.7746,0.8436,10.527,1.2125,1.1246,3.0657,6.2073,0,2.75
62,0.93,1,1,1,1,1,1,6,200.0,200.0,2,3,133.3,200.0,138.58,158.55,0.7699,0.8808,10.7654,1.0652,1.0951,4.1967,1.0551,0,4.02
63,0.945,1,0,1,0,1,0,3,140.0,80.0,3,2,200.0,133.3,147.13,155.04,0.8174,0.8613,10.904,1.2061,1.1731,5.3277,2.1861,0,8.24
64,0.96,1,1,1,0,1,1,5,200.0,140.0,1,2,66.7,133.3,135.92,152.02,0.7551,0.8445,10.9997,1.335,1.1118,0.1754,3.317,0,12.19
65,0.975,0,1,0,1,0,1,3,80.0,140.0,2,2,133.3,133.3,135.56,149.41,0.7531,0.8301,11.2629,1.5294,1.0999,1.3064,4.448,0,10.52
66,0.99,0,1,1,1,0,1,4,140.0,140.0,2,2,133.3,133.3,135.25,147.17,0.7514,0.8176,11.3958,1.4063,1.17,2.4374,5.579,0,5.8
67,1.005,0,1,1,1,0,1,4,140.0,140.0,3,2,200.0,133.3,144.27,145.25,0.8015,0.8069,11.571,1.3206,1.082,3.5684,0.4268,0,4.08
68,1.02,1,0,1,0,1,1,4,140.0,140.0,2,3,133.3,200.0,142.75,152.87,0.793,0.8493,11.8427,1.2616,1.1115,4.6993,1.5577,0,6.29
69,1.035,1,0,1,0,1,1,4,140.0,140.0,1,2,66.7,133.3,132.15,150.15,0.7342,0.8342,11.9111,1.4108,1.1706,5.8303,2.6887,0,11.11
70,1.05,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,113.74,147.81,0.6319,0.8212,12.0795,1.5627,1.1045,0.6781,3.8197,1,11.47
71,1.065,0,1,1,1,0,1,4,20.0,140.0,0,2,0.0,133.3,97.9,145.79,0.5439,0.81,12.3136,1.609,1.1395,1.8091,4.9507,1,9.66
72,1.08,0,1,1,1,0,1,4,20.0,140.0,0,2,0.0,133.3,84.26,144.06,0.4681,0.8003,12.4187,1.5201,1.1314,2.94,6.0816,1,6.44
73,1.095,1,1,1,1,0,1,5,20.0,140.0,0,2,0.0,133.3,72.53,142.56,0.4029,0.792,12.6008,1.4023,1.089,4.071,0.9294,1,7.43
74,1.11,1,0,1,0,1,1,4,20.0,140.0,0,3,0.0,200.0,62.42,150.56,0.3468,0.8365,12.6908,1.5322,1.1763,5.202,2.0604,1,11.16
75,1.125,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,53.73,148.16,0.2985,0.8231,12.7342,1.6391,1.1782,0.0498,3.1914,1,15.0
76,1.14,0,1,0,0,0,1,2,20.0,80.0,0,3,0.0,200.0,46.24,155.38,0.2569,0.8632,12.9729,1.8118,1.1239,1.1808,4.3223,1,14.1
77,1.155,0,1,1,1,0,1,4,20.0,140.0,0,2,0.0,133.3,39.8,152.31,0.2211,0.8462,13.1065,1.772,1.1453,2.3117,5.4533,1,12.79
78,1.17,0,1,1,1,0,1,4,20.0,140.0,0,3,0.0,200.0,34.26,158.95,0.1903,0.8831,13.1996,1.7205,1.0559,3.4427,0.3011,1,12.59
79,1.185,1,0,1,0,1,1,4,20.0,140.0,0,2,0.0,133.3,29.49,155.39,0.1638,0.8633,13.3307,1.6893,1.0532,4.5737,1.4321,1,15.1
80,1.2,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,25.38,152.31,0.141,0.8462,13.3364,1.8306,1.1652,5.7046,2.5631,1,20.86
81,1.215,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,21.84,149.67,0.1214,0.8315,13.4507,1.955,1.0886,0.5524,3.694,1,21.48
82,1.23,1,1,1,1,0,1,5,20.0,140.0,0,2,0.0,133.3,18.8,147.39,0.1045,0.8189,13.6356,2.0823,1.1157,1.6834,4.825,1,23.17
83,1.245,1,1,1,1,0,1,5,20.0,140.0,0,2,0.0,133.3,16.18,145.44,0.0899,0.808,13.7109,2.057,1.0809,2.8144,5.956,1,22.17
84,1.26,1,1,1,1,0,1,5,20.0,140.0,0,3,0.0,200.0,13.93,153.04,0.0774,0.8502,13.7807,2.0003,0.9955,3.9454,0.8038,1,25.51
85,1.275,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,11.99,150.29,0.0666,0.835,13.7832,2.1055,1.1057,5.0763,1.9347,1,28.76
86,1.29,1,1,1,0,1,1,5,20.0,140.0,0,3,0.0,200.0,10.32,157.22,0.0573,0.8734,13.7659,2.2032,1.165,6.2073,3.0657,1,32.2
87,1.305,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,8.88,153.89,0.0493,0.8549,13.9004,2.3828,1.1373,1.0551,4.1967,1,33.76
88,1.32,0,1,0,1,0,1,3,20.0,140.0,0,2,0.0,133.3,7.64,151.03,0.0425,0.839,14.0173,2.4483,1.1046,2.1861,5.3277,1,34.01
89,1.335,1,1,1,1,0,1,5,20.0,140.0,0,3,0.0,200.0,6.58,157.85,0.0366,0.8769,14.0872,2.4119,1.0125,3.317,0.1754,1,33.93
90,1.35,1,1,1,0,1,0,4,20.0,80.0,0,2,0.0,133.3,5.66,154.43,0.0315,0.858,14.1493,2.393,0.9643,4.448,1.3064,1,36.67
91,1.365,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,4.87,151.49,0.0271,0.8416,14.0859,2.5168,1.1181,5.579,2.4374,1,42.35
92,1.38,1,1,1,0,1,1,5,20.0,140.0,0,3,0.0,200.0,4.2,158.25,0.0233,0.8792,14.1259,2.6288,1.0913,0.4268,3.5684,1,43.39
93,1.395,1,1,1,1,0,1,5,20.0,140.0,0,2,0.0,133.3,3.61,154.78,0.0201,0.8599,14.2327,2.8316,1.1119,1.5577,4.6993,1,46.16
94,1.41,1,1,1,1,0,1,5,20.0,140.0,0,3,0.0,200.0,3.11,161.08,0.0173,0.8949,14.301,2.8365,1.0656,2.6887,5.8303,1,45.38
95,1.425,1,1,1,1,0,1,5,20.0,140.0,0,2,0.0,133.3,2.67,157.21,0.0149,0.8734,14.3579,2.8104,0.9742,3.8197,0.6781,1,49.05
