cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm,dark_l0,dark_l1,dark_l2,dark_l3,dark_r0,dark_r1,dark_r2,dark_r3,rate_l0,rate_l1,rate_l2,rate_l3,rate_r0,rate_r1,rate_r2,rate_r3
0,0.0,0.013,0.0205,0.0079,0.002,3.0234,2.0131,13.7931,11.6959,0.2833,0.2333,2.4888,0.632,9.8441,7.6348,0.0,0.0148,0.0131,0.0037,0.0,0.0,0.0079,0.0,1.677,4.1966,3.9105,2.3095,1.677,1.677,3.0214,1.677
1,0.015,0.0148,0.021,0.0064,0.0026,2.8771,2.2238,0.5747,0.5848,0.2575,0.2122,2.5635,0.5125,5.5728,7.5838,0.0,0.011,0.0103,0.0044,0.0,0.0,0.0096,0.0007,1.7866,3.6506,3.5359,2.5353,1.7866,1.7866,3.4177,1.9044
2,0.03,0.0151,0.0199,0.0048,0.0028,2.5588,2.2314,0.0,1.1696,0.233,0.1943,2.6831,0.4435,4.8794,7.4806,0.0,0.0071,0.0087,0.0033,0.0,0.0,0.0097,0.0017,1.7479,2.9579,3.2238,2.3056,1.7479,1.7479,3.3928,2.037
3,0.045,0.016,0.0203,0.0043,0.0034,2.5488,2.3928,1.1494,1.1696,0.213,0.178,2.8138,0.4204,5.5771,7.3577,0.0,0.0042,0.0097,0.0034,0.0,0.0,0.0097,0.0038,1.8153,2.5363,3.4583,2.3854,1.8153,1.8153,3.4708,2.4697
4,0.06,0.0168,0.0199,0.0038,0.0035,2.4807,2.4322,0.0,0.5848,0.1928,0.1622,2.8438,0.4805,7.6883,7.3157,0.0,0.0018,0.0104,0.003,0.0,0.0,0.0087,0.0053,1.835,2.1388,3.6048,2.3443,1.835,1.835,3.3208,2.7379
5,0.075,0.0172,0.0193,0.0035,0.0036,2.4287,2.4386,1.1494,0.5848,0.1767,0.1478,2.9064,0.5516,7.2286,7.24,0.0,0.0008,0.011,0.0023,0.0,0.0,0.0084,0.0059,1.828,1.9621,3.6972,2.2273,1.828,1.828,3.2644,2.8342
6,0.09,0.0185,0.0194,0.0032,0.0041,2.4427,2.5867,1.7241,2.3392,0.1632,0.1382,2.9681,0.5413,6.6921,7.1816,0.0,0.0,0.0106,0.0024,0.0,0.0,0.0093,0.0071,1.8913,1.8913,3.6861,2.3021,1.8913,1.8913,3.4707,3.0936
7,0.105,0.0186,0.0193,0.0029,0.0043,2.3914,2.6333,2.2989,5.2632,0.1522,0.1351,2.9988,0.51,5.3475,7.158,0.0,0.0,0.0098,0.0019,0.0,0.0,0.0097,0.0076,1.8939,1.8939,3.5577,2.2202,1.8939,1.8939,3.5511,3.1943
8,0.12,0.0188,0.0191,0.0028,0.0046,2.3799,2.683,0.5747,1.7544,0.1388,0.1255,3.0446,0.4677,4.8397,7.1222,0.0,0.0,0.0099,0.0015,0.0,0.0,0.0101,0.0084,1.8959,1.8959,3.575,2.1525,1.8959,1.8959,3.6203,3.3196
9,0.135,0.0192,0.0192,0.003,0.0048,2.4245,2.7424,0.5747,1.7544,0.1267,0.1169,3.0847,0.4913,5.7066,7.078,0.0,0.0,0.0104,0.0014,0.0,0.0,0.0099,0.0094,1.922,1.922,3.6883,2.1658,1.922,1.922,3.6029,3.5227
10,0.15,0.0196,0.0188,0.003,0.0049,2.4206,2.7549,0.5747,1.7544,0.1158,0.1091,3.1042,0.518,6.337,7.0532,0.0,0.0,0.0108,0.0011,0.0,0.0,0.0098,0.0099,1.9176,1.9176,3.751,2.0962,1.9176,1.9176,3.5815,3.603
11,0.165,0.0201,0.0186,0.003,0.0051,2.4515,2.8094,1.1494,5.2632,0.107,0.1087,3.132,0.5435,6.2493,7.0207,0.0,0.0,0.0113,0.0009,0.0,0.0,0.0101,0.0104,1.9347,1.9347,3.8491,2.0875,1.9347,1.9347,3.6601,3.7079
12,0.18,0.0205,0.0187,0.0029,0.0054,2.4559,2.871,1.1494,0.5848,0.0991,0.0995,3.1596,0.5307,5.2141,6.9964,0.0,0.0,0.0109,0.0008,0.0,0.0,0.0105,0.0109,1.9582,1.9582,3.8068,2.1003,1.9582,1.9582,3.7496,3.8181
13,0.195,0.0204,0.0187,0.0028,0.0055,2.4335,2.8911,0.5747,1.7544,0.0908,0.0934,3.1802,0.5094,4.8616,6.9808,0.0,0.0,0.0107,0.0006,0.0,0.0,0.0107,0.0113,1.9568,1.9568,3.7695,2.0507,1.9568,1.9568,3.7751,3.8758
14,0.21,0.0207,0.0188,0.0028,0.0057,2.4565,2.9434,1.1494,7.0175,0.0844,0.0978,3.2008,0.506,4.7823,6.9614,0.0,0.0,0.0108,0.0005,0.0,0.0,0.0109,0.0119,1.9742,1.9742,3.8167,2.061,1.9742,1.9742,3.8335,3.9917
15,0.225,0.021,0.0187,0.0029,0.0058,2.4707,2.9748,3.4483,6.4327,0.0831,0.1007,3.2198,0.5175,5.4904,6.9404,0.0,0.0,0.011,0.0004,0.0,0.0,0.0109,0.0124,1.9848,1.9848,3.855,2.0583,1.9848,1.9848,3.8446,4.0849
16,0.24,0.0213,0.0185,0.0029,0.0059,2.4779,2.9994,1.7241,8.1871,0.0786,0.1067,3.2276,0.54,5.82,6.928,0.0,0.0,0.0112,0.0003,0.0,0.0,0.0111,0.0126,1.9892,1.9892,3.894,2.0392,1.9892,1.9892,3.8838,4.1356
17,0.255,0.0216,0.0185,0.0029,0.0061,2.4982,3.0456,0.5747,1.1696,0.0722,0.0987,3.2523,0.5357,5.458,6.9047,0.0,0.0,0.0112,0.0003,0.0,0.0,0.0115,0.0129,2.008,2.008,3.9155,2.0613,2.008,2.008,3.9581,4.2082
18,0.27,0.0217,0.0186,0.0028,0.0062,2.4916,3.0706,1.1494,2.3392,0.0676,0.0938,3.2685,0.5273,5.0392,6.8907,0.0,0.0,0.011,0.0002,0.0,0.0,0.0117,0.0132,2.0143,2.0143,3.8864,2.0513,2.0143,2.0143,4.0021,4.2516
19,0.285,0.0217,0.0187,0.0028,0.0063,2.4994,3.0994,2.2989,0.5848,0.0656,0.086,3.2712,0.5112,4.4592,6.8915,0.0,0.0,0.0111,0.0002,0.0,0.0,0.0119,0.0134,2.0218,2.0218,3.9063,2.0476,2.0218,2.0218,4.0498,4.3041
20,0.3,0.0218,0.0189,0.0029,0.0064,2.5255,3.1318,0.5747,1.7544,0.0605,0.0811,3.2883,0.5224,4.9763,6.8724,0.0,0.0,0.0113,0.0002,0.0,0.0,0.0119,0.0138,2.0376,2.0376,3.9534,2.0733,2.0376,2.0376,4.0602,4.3918
21,0.315,0.022,0.0187,0.0028,0.0064,2.5204,3.133,1.1494,0.5848,0.057,0.0745,3.3016,0.5342,5.3367,6.8569,0.0,0.0,0.0113,0.0001,0.0,0.0,0.0118,0.014,2.0369,2.0369,3.9542,2.0539,2.0369,2.0369,4.0407,4.4178
22,0.33,0.0222,0.0187,0.0029,0.0065,2.5353,3.1557,0.5747,4.6784,0.0527,0.0763,3.3063,0.5432,5.6644,6.8504,0.0,0.0,0.0114,0.0001,0.0,0.0,0.012,0.0142,2.0455,2.0455,3.9899,2.0602,2.0455,2.0455,4.0772,4.4549
23,0.345,0.0225,0.0188,0.0029,0.0066,2.5488,3.1882,0.5747,2.3392,0.0488,0.0735,3.3226,0.5383,5.1908,6.8355,0.0,0.0,0.0113,0.0002,0.0,0.0,0.0121,0.0144,2.0621,2.0621,3.9806,2.0905,2.0621,2.0621,4.1223,4.5063
24,0.36,0.0225,0.0188,0.0028,0.0067,2.547,3.2009,0.0,2.3392,0.0442,0.0709,3.3321,0.5284,5.0087,6.8284,0.0,0.0,0.0112,0.0001,0.0,0.0,0.0122,0.0145,2.0656,2.0656,3.9711,2.0855,2.0656,2.0656,4.1427,4.5298
