cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.6025,0.6009,0.0271,0.0197,108.1,105.9,66.7,0.0,0.8864,0.0,2.4807,0.6312,9.33,704.908
1,0.015,0.6013,0.602,0.0392,0.0084,111.8,102.5,66.7,0.0,0.8864,0.0,2.5421,0.471,3.47,704.978
2,0.03,0.6017,0.6025,0.0343,0.0031,110.3,100.9,0.0,0.0,0.802,0.0,2.6785,0.3889,3.14,704.94
3,0.045,0.6031,0.6014,0.0213,0.0146,106.4,104.4,66.7,0.0,0.81,0.0,2.9431,0.3505,1.96,704.78
4,0.06,0.6059,0.5985,0.0,0.0431,100.0,112.9,66.7,0.0,0.8173,0.0,3.0153,0.4016,2.8,704.693
5,0.075,0.6072,0.5972,0.0,0.0566,100.0,117.0,66.7,133.3,0.8239,0.4316,3.0692,0.4707,-0.63,704.606
6,0.09,0.6062,0.5993,0.0,0.0358,100.0,110.7,0.0,133.3,0.7455,0.822,3.2005,0.4362,-2.52,704.538
7,0.105,0.6045,0.6008,0.007,0.0207,102.1,106.2,66.7,200.0,0.7589,1.0,3.3289,0.354,-6.23,704.506
8,0.12,0.6039,0.6019,0.0133,0.0094,104.0,102.8,0.0,0.0,0.6867,1.0,3.5053,0.205,-6.38,704.487
9,0.135,0.6052,0.6015,0.0,0.0138,100.0,104.1,66.7,0.0,0.7057,1.0,3.6816,0.2596,-2.57,704.324
10,0.15,0.6072,0.5995,0.0,0.0334,100.0,110.0,0.0,66.7,0.6385,1.0,3.7669,0.3814,1.55,704.178
11,0.165,0.6076,0.5994,0.0,0.0347,100.0,110.4,66.7,0.0,0.6621,1.0,4.0402,0.5279,0.12,703.881
12,0.18,0.6057,0.6014,0.0,0.0147,100.0,104.4,66.7,0.0,0.6834,1.0,4.179,0.4054,-4.06,703.87
13,0.195,0.6037,0.6034,0.0153,0.0,104.6,100.0,66.7,0.0,0.7028,0.9233,4.31,0.3007,-5.99,703.852
14,0.21,0.6033,0.6027,0.0188,0.0012,105.6,100.4,0.0,0.0,0.6359,0.8355,4.5426,0.185,-3.44,703.771
15,0.225,0.6045,0.6011,0.0067,0.0174,102.0,105.2,66.7,0.0,0.6597,0.756,4.6368,0.3348,2.17,703.598
16,0.24,0.6049,0.6013,0.0034,0.0157,101.0,104.7,66.7,0.0,0.6813,0.684,4.8221,0.4421,2.32,703.391
17,0.255,0.6035,0.6027,0.017,0.0012,105.1,100.4,0.0,66.7,0.6165,0.8347,5.0694,0.4797,1.16,703.19
18,0.27,0.6004,0.6057,0.0478,0.0,114.3,100.0,66.7,66.7,0.6421,0.971,5.1762,0.3759,-2.3,703.189
19,0.285,0.5992,0.607,0.0597,0.0,117.9,100.0,66.7,66.7,0.6654,1.0,5.3373,0.2394,-1.49,703.173
20,0.3,0.6007,0.6073,0.045,0.0,113.5,100.0,0.0,0.0,0.6021,0.9903,5.5059,0.3137,2.22,703.001
21,0.315,0.602,0.6056,0.0314,0.0,109.4,100.0,66.7,0.0,0.6291,0.896,5.5921,0.4335,6.69,702.855
22,0.33,0.6022,0.6059,0.03,0.0,109.0,100.0,66.7,0.0,0.6536,0.8108,5.8459,0.6052,5.49,702.555
23,0.345,0.6006,0.6081,0.0456,0.0,113.7,100.0,66.7,66.7,0.6757,0.9494,6.0184,0.5278,2.59,702.489
24,0.36,0.5981,0.6104,0.0701,0.0,121.0,100.0,0.0,0.0,0.6114,0.859,6.1227,0.4105,-1.08,702.499
25,0.375,0.5977,0.6097,0.074,0.0,122.2,100.0,133.3,66.7,0.722,0.9931,6.3673,0.2719,1.38,702.425
26,0.39,0.5995,0.6076,0.0564,0.0,116.9,100.0,0.0,66.7,0.6532,1.0,6.4533,0.4399,7.42,702.245
27,0.405,0.6008,0.6065,0.0432,0.0,113.0,100.0,133.3,0.0,0.7598,1.0,6.6229,0.5555,9.0,702.044
28,0.42,0.6004,0.6063,0.0479,0.0,114.4,100.0,66.7,0.0,0.7718,0.9123,6.9109,0.6834,7.83,701.751
29,0.435,0.5976,0.6085,0.0754,0.0,122.6,100.0,0.0,0.0,0.6984,0.8255,7.0123,0.5614,3.72,701.766
30,0.45,0.5969,0.609,0.0823,0.0,124.7,100.0,66.7,0.0,0.7163,0.747,7.2006,0.4557,4.39,701.709
31,0.465,0.5984,0.6078,0.0673,0.0,120.2,100.0,66.7,0.0,0.7325,0.6759,7.4016,0.4977,6.86,701.538
32,0.48,0.6004,0.6052,0.048,0.0,114.4,100.0,66.7,66.7,0.7471,0.8273,7.4839,0.6164,11.13,701.396
33,0.495,0.6011,0.6046,0.0408,0.0,112.2,100.0,66.7,66.7,0.7604,0.9644,7.6786,0.8028,10.76,701.126
34,0.51,0.6005,0.6063,0.0465,0.0,113.9,100.0,66.7,133.3,0.7723,1.0,7.8919,0.7645,7.75,701.004
35,0.525,0.5982,0.6086,0.069,0.0,120.7,100.0,66.7,0.0,0.7832,1.0,8.0106,0.65,3.58,701.002
36,0.54,0.5979,0.6087,0.0722,0.0,121.7,100.0,66.7,133.3,0.793,1.0,8.2817,0.5147,5.67,700.908
37,0.555,0.6002,0.6075,0.0494,0.0,114.8,100.0,66.7,0.0,0.8019,1.0,8.3828,0.6955,11.52,700.709
38,0.57,0.6019,0.6061,0.0325,0.0,109.8,100.0,66.7,133.3,0.8099,1.0,8.5178,0.8311,14.23,700.517
39,0.585,0.6017,0.6057,0.0345,0.0,110.4,100.0,66.7,0.0,0.8172,1.0,8.8082,1.024,12.85,700.176
40,0.6,0.5993,0.6081,0.059,0.0,117.7,100.0,66.7,133.3,0.8238,1.0,8.9488,0.8997,7.93,700.166
41,0.615,0.5983,0.6092,0.0682,0.0,120.4,100.0,66.7,0.0,0.8297,1.0,9.1599,0.8137,7.84,700.079
42,0.63,0.5992,0.6077,0.0591,0.0,117.7,100.0,66.7,66.7,0.8351,1.0,9.4214,0.8246,10.79,699.888
