cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.5604,0.557,0.1452,0.2724,143.6,181.7,66.7,66.7,0.8864,1.0,2.5303,0.6608,10.15,9.754
1,0.015,0.5465,0.5676,0.2906,0.1629,187.2,148.9,133.3,0.0,0.9707,1.0,2.6802,0.5248,4.32,9.643
2,0.03,0.5559,0.5906,0.1923,0.0,157.7,100.0,0.0,0.0,0.8783,1.0,2.8827,0.4331,3.19,9.472
3,0.045,0.5646,0.5855,0.1023,0.0,130.7,100.0,133.3,0.0,0.9634,1.0,3.1769,0.3734,5.3,9.206
4,0.06,0.5799,0.577,0.0,0.0665,100.0,119.9,66.7,0.0,0.9561,1.0,3.2602,0.5465,11.09,9.078
5,0.075,0.5633,0.5603,0.1156,0.2385,134.7,171.5,66.7,66.7,0.9495,1.0,3.4683,0.7212,10.83,8.831
6,0.09,0.5452,0.5664,0.305,0.176,191.5,152.8,66.7,133.3,0.9435,1.0,3.7415,0.7582,8.59,8.557
7,0.105,0.53,0.5798,0.4634,0.0382,239.0,111.4,133.3,0.0,1.0,1.0,3.8673,0.6154,3.24,8.475
8,0.12,0.5515,0.5964,0.2385,0.0,171.6,100.0,133.3,66.7,1.0,1.0,4.1474,0.4442,4.26,8.258
9,0.135,0.5706,0.5971,0.0394,0.0,111.8,100.0,66.7,0.0,1.0,1.0,4.3495,0.5756,8.2,8.025
10,0.15,0.5672,0.5635,0.0749,0.2057,122.5,161.7,66.7,0.0,1.0,1.0,4.4299,0.7429,13.68,7.899
11,0.165,0.5434,0.5457,0.3232,0.3882,197.0,216.4,133.3,66.7,1.0,1.0,4.7213,0.9921,11.71,7.551
12,0.18,0.5309,0.5579,0.4535,0.2627,236.1,178.8,66.7,133.3,1.0,1.0,4.9004,0.8466,6.0,7.419
13,0.195,0.5284,0.5838,0.4799,0.0,244.0,100.0,133.3,66.7,1.0,1.0,5.0841,0.7301,2.29,7.279
14,0.21,0.54,0.5906,0.359,0.0,207.7,100.0,133.3,0.0,1.0,1.0,5.4533,0.6042,4.95,6.971
15,0.225,0.5607,0.5808,0.1427,0.0273,142.8,108.2,66.7,0.0,1.0,1.0,5.5414,0.8012,10.78,6.823
16,0.24,0.5385,0.5582,0.374,0.2603,212.2,178.1,133.3,0.0,1.0,1.0,5.7378,0.9715,12.07,6.583
17,0.255,0.516,0.5574,0.6097,0.2685,282.9,180.5,200.0,200.0,1.0,1.0,6.038,1.0787,9.33,6.264
18,0.27,0.5051,0.5755,0.7237,0.0824,317.1,124.7,133.3,66.7,1.0,1.0,6.1605,0.9232,4.02,6.198
19,0.285,0.5221,0.5983,0.546,0.0,263.8,100.0,200.0,0.0,1.0,1.0,6.434,0.763,3.98,5.999
20,0.3,0.5393,0.6003,0.3661,0.0,209.8,100.0,66.7,0.0,1.0,1.0,6.6878,0.8437,7.44,5.733
21,0.315,0.5383,0.5753,0.3762,0.0842,212.9,125.3,133.3,0.0,1.0,1.0,6.7633,1.0177,12.85,5.599
22,0.33,0.5122,0.5546,0.649,0.2971,294.7,189.1,133.3,66.7,1.0,1.0,7.0162,1.2689,11.53,5.276
23,0.345,0.5087,0.5614,0.6859,0.2275,305.8,168.2,133.3,66.7,1.0,1.0,7.2195,1.1519,6.47,5.125
24,0.36,0.4888,0.5894,0.8942,0.0,368.2,100.0,133.3,0.0,1.0,1.0,7.3678,1.0176,1.58,5.039
25,0.375,0.4984,0.601,0.793,0.0,337.9,100.0,200.0,0.0,1.0,1.0,7.7432,0.8594,4.02,4.765
26,0.39,0.5142,0.5871,0.6285,0.0,288.6,100.0,133.3,0.0,1.0,1.0,7.8517,1.0618,10.07,4.579
27,0.405,0.4946,0.5697,0.8331,0.1414,349.9,142.4,133.3,0.0,1.0,1.0,8.0272,1.222,12.51,4.353
28,0.42,0.4717,0.5604,1.0,0.2379,400.0,171.4,133.3,0.0,1.0,0.9554,8.3332,1.3828,9.77,4.008
29,0.435,0.4618,0.5777,1.0,0.0591,400.0,117.7,200.0,0.0,1.0,0.8645,8.45,1.2154,4.1,3.973
30,0.45,0.468,0.6068,1.0,0.0,400.0,100.0,133.3,0.0,1.0,0.7822,8.7069,1.0791,3.39,3.812
31,0.465,0.476,0.5967,1.0,0.0,400.0,100.0,133.3,0.0,1.0,0.7078,8.9989,1.1022,5.99,3.551
32,0.48,0.47,0.5819,1.0,0.0161,400.0,104.8,200.0,0.0,1.0,0.6404,9.0774,1.2474,9.95,3.408
33,0.495,0.4425,0.5858,1.0,0.0,400.0,100.0,133.3,0.0,1.0,0.5795,9.2608,1.4542,9.13,3.145
34,0.51,0.4341,0.5902,1.0,0.0,400.0,100.0,200.0,0.0,1.0,0.5243,9.4203,1.3407,4.46,3.067
35,0.525,0.4122,0.612,1.0,0.0,400.0,100.0,133.3,0.0,1.0,0.4744,9.5095,1.2137,-0.7,3.065
36,0.54,0.4287,0.6051,1.0,0.0,400.0,100.0,200.0,0.0,1.0,0.4293,9.8612,1.0637,0.62,2.885
37,0.555,0.4305,0.5849,1.0,0.0,400.0,100.0,133.3,0.0,1.0,0.3884,9.9986,1.1731,2.79,2.71
38,0.57,0.4095,0.5843,1.0,0.0,400.0,100.0,200.0,0.0,1.0,0.3515,10.098,1.2722,4.35,2.57
39,0.585,0.3671,0.5977,1.0,0.0,400.0,100.0,133.3,0.0,1.0,0.318,10.2791,1.3711,0.79,2.37
40,0.6,0.339,0.6055,1.0,0.0,400.0,100.0,200.0,0.0,1.0,0.2878,10.3378,1.2075,-5.6,2.445
41,0.615,0.3725,0.6043,1.0,0.0,400.0,100.0,133.3,0.0,1.0,0.2604,10.5357,1.1022,-6.23,2.397
42,0.63,0.3698,0.5908,1.0,0.0,400.0,100.0,133.3,0.0,1.0,0.2356,10.8025,1.0203,-7.4,2.314
43,0.645,0.3693,0.5775,1.0,0.062,400.0,118.6,200.0,0.0,1.0,0.2132,10.8903,1.0844,-6.09,2.214
44,0.66,0.3332,0.5887,1.0,0.0,400.0,100.0,200.0,0.0,1.0,0.1929,10.9854,1.1672,-10.08,2.095
45,0.675,0.2991,0.6112,1.0,0.0,400.0,100.0,133.3,0.0,1.0,0.1745,11.0401,1.0494,-14.23,2.174
46,0.69,0.3061,0.6056,1.0,0.0,400.0,100.0,200.0,0.0,1.0,0.1579,11.0531,0.9234,-18.44,2.282
47,0.705,0.3422,0.6012,1.0,0.0,400.0,100.0,133.3,0.0,1.0,0.1429,11.2691,0.7273,-20.26,2.387
48,0.72,0.3597,0.5865,1.0,0.0,400.0,100.0,200.0,0.0,1.0,0.1293,11.4271,0.7092,-20.34,2.361
49,0.735,0.3607,0.5844,1.0,0.0,400.0,100.0,200.0,0.0,1.0,0.117,11.505,0.764,-19.8,2.29
50,0.75,0.3476,0.5942,1.0,0.0,400.0,100.0,133.3,0.0,1.0,0.1059,11.6119,0.7908,-23.64,2.243
51,0.765,0.3787,0.6022,1.0,0.0,400.0,100.0,200.0,0.0,1.0,0.0958,11.5697,0.6266,-30.41,2.412
52,0.78,0.402,0.6034,1.0,0.0,400.0,100.0,133.3,0.0,1.0,0.0867,11.6359,0.4848,-32.53,2.541
53,0.795,0.4306,0.5986,1.0,0.0,400.0,100.0,200.0,0.0,1.0,0.0784,11.8181,0.2763,-35.19,2.73
54,0.81,0.4739,0.5848,1.0,0.0,400.0,100.0,200.0,0.0,1.0,0.071,11.9031,0.2877,-34.35,2.714
55,0.825,0.4754,0.5895,1.0,0.0,400.0,100.0,133.3,0.0,1.0,0.0642,11.9727,0.3204,-38.71,2.68
56,0.84,0.4872,0.6156,0.9107,0.0,373.2,100.0,200.0,0.0,1.0,0.0581,11.9696,0.2286,-41.87,2.772
57,0.855,0.5024,0.6042,0.7514,0.0,325.4,100.0,133.3,0.0,1.0,0.0526,11.9169,0.1268,-46.27,2.874
58,0.87,0.5271,0.6016,0.4939,0.0,248.2,100.0,66.7,0.0,1.0,0.0476,12.0073,-0.0954,-48.23,3.095
59,0.885,0.5494,0.5912,0.2606,0.0,178.2,100.0,133.3,0.0,1.0,0.043,12.1248,-0.2275,-48.97,3.23
60,0.9,0.5676,0.5856,0.0708,0.0,121.2,100.0,66.7,0.0,1.0,0.0389,12.212,-0.2036,-48.34,3.211
61,0.915,0.5633,0.5937,0.1154,0.0,134.6,100.0,66.7,0.0,1.0,0.0352,12.2929,-0.1848,-51.35,3.198
62,0.93,0.5848,0.6092,0.0,0.0,100.0,100.0,66.7,0.0,1.0,0.0319,12.1713,-0.3045,-57.88,3.309
63,0.945,0.6043,0.6036,0.0,0.0,100.0,100.0,0.0,0.0,1.0,0.0288,12.1496,-0.43,-60.31,3.433
64,0.96,0.6042,0.6028,0.0,0.0,100.0,100.0,66.7,0.0,1.0,0.0261,12.2183,-0.7165,-63.43,3.723
65,0.975,0.6181,0.5851,0.0,0.0,100.0,100.0,0.0,0.0,1.0,0.0236,12.2888,-0.7553,-62.89,3.766
66,0.99,0.6119,0.5876,0.0,0.0,100.0,100.0,0.0,0.0,1.0,0.0214,12.3429,-0.7554,-67.42,3.771
67,1.005,0.5871,0.6129,0.0,0.0,100.0,100.0,133.3,0.0,1.0,0.0193,12.3334,-0.8165,-70.15,3.831
68,1.02,0.5957,0.6011,0.0,0.0,100.0,100.0,66.7,0.0,1.0,0.0175,12.2259,-0.8874,-75.53,3.894
69,1.035,0.614,0.5999,0.0,0.0,100.0,100.0,66.7,0.0,1.0,0.0158,12.1953,-1.1355,-77.63,4.14
70,1.05,0.606,0.5878,0.0,0.0,100.0,100.0,0.0,0.0,1.0,0.0143,12.2185,-1.311,-80.33,4.317
71,1.065,0.6125,0.5859,0.0,0.0,100.0,100.0,66.7,66.7,1.0,0.2287,12.3007,-1.3452,-79.09,4.356
72,1.08,0.6012,0.5896,0.0,0.0,100.0,100.0,0.0,133.3,0.9807,0.6385,12.3869,-1.3863,-83.29,4.403
73,1.095,0.601,0.6107,0.0,0.0,100.0,100.0,0.0,66.7,0.8874,0.7935,12.2553,-1.4975,-88.92,4.505
74,1.11,0.5937,0.6121,0.0,0.0,100.0,100.0,133.3,0.0,0.9716,0.718,12.1669,-1.6339,-91.62,4.637
75,1.125,0.5988,0.6081,0.0,0.0,100.0,100.0,0.0,66.7,0.8792,0.8655,12.0221,-1.9185,-92.43,4.919
