cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm,dark_l0,dark_l1,dark_l2,dark_l3,dark_r0,dark_r1,dark_r2,dark_r3,rate_l0,rate_l1,rate_l2,rate_l3,rate_r0,rate_r1,rate_r2,rate_r3
0,0.0,0.5645,0.6074,0.0379,0.0,65.0417,58.5971,30.4598,36.8421,0.6326,0.7247,3.0943,-0.3816,-4.1383,7.3048,0.0,0.0,0.059,0.0927,0.0,0.0,0.0,0.0,58.5971,58.5971,68.6228,74.3497,58.5971,58.5971,58.5971,58.5971
1,0.015,0.5643,0.6052,0.0375,0.0,64.8488,58.4769,35.6322,29.8246,0.6428,0.7116,3.1814,-0.2642,0.2751,7.1847,0.0,0.0,0.0543,0.0956,0.0,0.0,0.0,0.0,58.4769,58.4769,67.7124,74.7291,58.4769,58.4769,58.4769,58.4769
2,0.03,0.5618,0.6048,0.038,0.0,64.7871,58.3269,35.0575,34.5029,0.6509,0.7084,3.4291,-0.1247,-1.2403,6.9059,0.0,0.0,0.0441,0.1079,0.0,0.0,0.0,0.0,58.3269,58.3269,65.8265,76.668,58.3269,58.3269,58.3269,58.3269
3,0.045,0.5569,0.606,0.0401,0.0,64.9582,58.1449,32.7586,30.9942,0.6537,0.699,3.554,-0.2453,-4.7838,6.8259,0.0,0.0,0.0347,0.1256,0.0,0.0,0.0,0.0,58.1449,58.1449,64.0524,79.4906,58.1449,58.1449,58.1449,58.1449
4,0.06,0.553,0.6072,0.0405,0.0,64.8911,58.0111,37.3563,34.5029,0.6653,0.6971,3.6579,-0.3561,-7.6338,6.7656,0.0,0.0,0.0326,0.1293,0.0,0.0,0.0,0.0,58.0111,58.0111,63.5451,79.9971,58.0111,58.0111,58.0111,58.0111
5,0.075,0.5515,0.6063,0.0407,0.0,64.8061,57.888,35.6322,29.2398,0.6724,0.6855,3.8845,-0.4944,-5.9006,6.6046,0.0,0.0,0.039,0.1238,0.0,0.0,0.0,0.0,57.888,57.888,64.5223,78.9263,57.888,57.888,57.888,57.888
6,0.09,0.552,0.6043,0.0416,0.0,64.8773,57.8119,36.2069,33.3333,0.68,0.6827,3.9852,-0.3707,-1.2661,6.4652,0.0,0.0,0.0485,0.1178,0.0,0.0,0.0,0.0,57.8119,57.8119,66.0534,77.8319,57.8119,57.8119,57.8119,57.8119
7,0.105,0.5513,0.6031,0.0415,0.0,64.7719,57.7229,30.4598,34.5029,0.6755,0.6823,4.1484,-0.2897,-0.3177,6.2836,0.0,0.0,0.0445,0.1214,0.0,0.0,0.0,0.0,57.7229,57.7229,65.2821,78.3596,57.7229,57.7229,57.7229,57.7229
8,0.12,0.5482,0.6034,0.0433,0.0,64.943,57.5809,32.7586,29.8246,0.6759,0.6732,4.3705,-0.2409,-1.8116,6.0592,0.0,0.0,0.0411,0.1321,0.0,0.0,0.0,0.0,57.5809,57.5809,64.5717,80.0383,57.5809,57.5809,57.5809,57.5809
9,0.135,0.5433,0.6052,0.0455,0.0,65.1544,57.4245,44.8276,33.9181,0.7002,0.6726,4.4485,-0.3544,-5.8423,6.0301,0.0,0.0,0.0396,0.1423,0.0,0.0,0.0,0.0,57.4245,57.4245,64.1558,81.6129,57.4245,57.4245,57.4245,57.4245
