cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.6025,0.6009,0.0271,0.0197,108.1,105.9,66.7,0.0,0.8864,0.0,2.4807,0.6312,9.33,704.908
1,0.015,0.5937,0.609,0.1139,0.0,134.2,100.0,66.7,0.0,0.8864,0.0,2.5421,0.471,3.47,704.978
2,0.03,0.6048,0.6058,0.0042,0.0,101.3,100.0,0.0,0.0,0.802,0.0,2.6785,0.3889,3.14,704.94
3,0.045,0.6112,0.5943,0.0,0.0857,100.0,125.7,66.7,0.0,0.81,0.0,2.9431,0.3505,1.96,704.78
4,0.06,0.6234,0.5809,0.0,0.2188,100.0,165.6,133.3,66.7,0.9017,0.2158,3.019,0.4058,2.87,704.688
5,0.075,0.6162,0.5889,0.0,0.1387,100.0,141.6,0.0,133.3,0.8158,0.6268,3.0852,0.4762,-0.38,704.591
6,0.09,0.6001,0.6114,0.0511,0.0,115.3,100.0,0.0,133.3,0.7382,0.9987,3.2474,0.449,-2.21,704.496
7,0.105,0.5918,0.6119,0.1331,0.0,139.9,100.0,66.7,0.0,0.7523,0.9037,3.3658,0.3593,-6.05,704.476
8,0.12,0.5996,0.6096,0.0555,0.0,116.6,100.0,66.7,0.0,0.7651,0.8177,3.5558,0.2055,-5.69,704.451
9,0.135,0.6149,0.5979,0.0,0.0494,100.0,114.8,66.7,0.0,0.7766,0.7399,3.733,0.2613,-2.64,704.287
10,0.15,0.6193,0.5878,0.0,0.1496,100.0,144.9,66.7,66.7,0.7871,0.8852,3.8259,0.3737,1.24,704.141
11,0.165,0.6102,0.5979,0.0,0.0491,100.0,114.7,0.0,66.7,0.7122,1.0,4.0784,0.5127,-0.35,703.865
12,0.18,0.5958,0.6126,0.0932,0.0,128.0,100.0,66.7,0.0,0.7287,0.92,4.2094,0.3778,-4.99,703.868
13,0.195,0.5932,0.6138,0.119,0.0,135.7,100.0,66.7,0.0,0.7437,0.8325,4.3434,0.2697,-7.18,703.851
14,0.21,0.6022,0.5985,0.0296,0.0434,108.9,113.0,133.3,66.7,0.8417,0.969,4.597,0.1399,-5.01,703.764
15,0.225,0.6157,0.5885,0.0,0.1425,100.0,142.7,0.0,66.7,0.7616,1.0,4.7057,0.2904,0.73,703.581
16,0.24,0.61,0.5987,0.0,0.0419,100.0,112.6,0.0,66.7,0.6891,1.0,4.91,0.4072,1.67,703.354
17,0.255,0.5974,0.6076,0.0776,0.0,123.3,100.0,66.7,66.7,0.7079,1.0,5.2012,0.4602,0.13,703.112
18,0.27,0.5797,0.6247,0.2524,0.0,175.7,100.0,66.7,0.0,0.7248,1.0,5.2993,0.3313,-3.75,703.134
