cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.5604,0.557,0.1452,0.2724,80.3326,98.1417,41.954,46.7836,0.8359,0.9136,2.5257,0.6577,10.1077,9.7595
1,0.015,0.5585,0.5585,0.1651,0.2574,83.1202,96.0329,48.2759,47.9532,0.8479,0.9157,2.6668,0.5237,4.4738,9.6562
2,0.03,0.5582,0.5628,0.1691,0.213,83.6685,89.8244,49.4253,46.1988,0.8609,0.9144,2.8596,0.4351,3.2835,9.4935
3,0.045,0.5592,0.5658,0.1587,0.1814,82.2202,85.397,39.6552,46.7836,0.8542,0.9144,3.1359,0.3797,5.2626,9.2433
4,0.06,0.562,0.5674,0.1289,0.1658,78.0501,83.219,40.8046,44.4444,0.8502,0.9099,3.2141,0.5402,10.6729,9.1237
5,0.075,0.5623,0.5664,0.1259,0.1752,77.6301,84.5286,39.0805,54.9708,0.8434,0.9255,3.4079,0.7026,10.4214,8.8939
6,0.09,0.5604,0.5666,0.1458,0.1734,80.4126,84.2791,41.3793,46.7836,0.8416,0.9244,3.6604,0.7343,8.3763,8.6419
7,0.105,0.5565,0.5685,0.1866,0.1545,86.1251,81.6324,47.1264,47.3684,0.8509,0.9244,3.7806,0.6124,3.6758,8.5591
8,0.12,0.5557,0.5721,0.1943,0.117,87.2054,76.3758,45.977,44.4444,0.8571,0.919,4.0279,0.4616,4.8202,8.3665
9,0.135,0.5577,0.5752,0.1736,0.0854,84.3001,71.9572,45.4023,37.4269,0.8616,0.9011,4.2029,0.5897,8.4897,8.1612
10,0.15,0.5586,0.5736,0.1644,0.102,83.0147,74.2763,51.1494,40.9357,0.8766,0.8914,4.2847,0.7345,13.3159,8.041
11,0.165,0.5567,0.57,0.1848,0.139,85.8712,79.4643,43.6782,41.5205,0.876,0.8838,4.5499,0.957,11.6074,7.7251
12,0.18,0.5532,0.5684,0.2215,0.1548,91.0063,81.677,47.1264,40.3509,0.882,0.8747,4.7111,0.8303,6.5763,7.605
13,0.195,0.55,0.57,0.2546,0.1383,95.6481,79.3628,58.6207,47.9532,0.9092,0.8805,4.8806,0.728,3.232,7.4731
14,0.21,0.5486,0.5723,0.2695,0.1153,97.724,76.1467,45.977,43.2749,0.9098,0.8772,5.2085,0.62,5.5719,7.1965
15,0.225,0.55,0.573,0.2548,0.1078,95.6673,75.0917,54.023,37.4269,0.9257,0.8632,5.2935,0.7926,10.7786,7.0605
16,0.24,0.5486,0.5707,0.2685,0.1315,97.5954,78.4069,43.1034,36.2573,0.9193,0.8485,5.4717,0.9407,11.6448,6.8454
17,0.255,0.5447,0.5689,0.3096,0.1499,103.3505,80.9803,50.0,46.7836,0.9266,0.8547,5.7335,1.0293,9.0276,6.569
18,0.27,0.54,0.5697,0.3586,0.1419,110.2091,79.8598,58.6207,39.7661,0.9496,0.8472,5.8498,0.8967,4.1616,6.4999
19,0.285,0.5382,0.5733,0.3774,0.1051,112.8315,74.7095,56.8966,41.5205,0.9671,0.8438,6.1004,0.7527,4.1077,6.3131
20,0.3,0.5391,0.5772,0.3681,0.0642,111.5338,68.9817,52.8736,40.3509,0.9753,0.8384,6.3432,0.8204,6.9959,6.0622
21,0.315,0.54,0.5769,0.3593,0.0677,110.2988,69.4752,58.6207,35.6725,0.9936,0.8249,6.4268,0.9722,11.5595,5.9307
22,0.33,0.5373,0.5743,0.3874,0.0945,114.2368,73.2284,52.8736,30.4094,0.9993,0.8029,6.6421,1.1982,10.4192,5.6527
23,0.345,0.5338,0.5732,0.4233,0.1057,119.2561,74.793,63.2184,39.1813,1.0,0.7993,6.8129,1.0746,5.2242,5.5329
24,0.36,0.5293,0.576,0.4711,0.0769,125.9497,70.7715,61.4943,40.9357,1.0,0.7993,6.9521,0.9591,0.8993,5.4449
25,0.375,0.5264,0.5796,0.5004,0.04,130.0627,65.6003,64.3678,33.9181,1.0,0.7863,7.3072,0.8083,2.3749,5.1794
26,0.39,0.5266,0.5805,0.4986,0.0304,129.8042,64.257,63.7931,34.5029,1.0,0.7756,7.4266,0.9681,7.3449,5.0044
27,0.405,0.5246,0.5803,0.5195,0.0325,132.734,64.55,74.7126,29.2398,1.0,0.7561,7.5847,1.1002,8.7245,4.8067
28,0.42,0.5192,0.5799,0.5762,0.0367,140.664,65.141,68.9655,31.5789,1.0,0.7429,7.8389,1.2154,5.7054,4.5277
29,0.435,0.5133,0.582,0.6374,0.0149,149.2345,62.08,71.8391,31.5789,1.0,0.7308,7.9409,1.0587,-0.0226,4.4995
30,0.45,0.5108,0.5855,0.664,0.0,152.966,60.0,74.1379,30.9942,1.0,0.7189,8.1761,0.9267,-0.2114,4.3498
31,0.465,0.51,0.587,0.6727,0.0,154.1748,60.0,78.1609,28.0702,1.0,0.7026,8.464,0.9285,1.6442,4.098
32,0.48,0.5098,0.5857,0.6746,0.0,154.4505,60.0,72.4138,25.731,1.0,0.6836,8.5604,1.0614,5.3655,3.9482
33,0.495,0.5055,0.5868,0.719,0.0,160.6631,60.0,86.2069,25.731,1.0,0.6664,8.7426,1.2546,4.6528,3.6956
34,0.51,0.4999,0.5899,0.778,0.0,168.9156,60.0,73.5632,27.4854,1.0,0.654,8.9032,1.1403,-0.1262,3.6123
35,0.525,0.4931,0.5928,0.8485,0.0,178.7884,60.0,77.5862,31.5789,1.0,0.6505,8.9973,1.0174,-4.8891,3.5982
36,0.54,0.4889,0.5944,0.8931,0.0,185.0276,60.0,79.3103,28.655,1.0,0.6418,9.3175,0.8327,-3.9252,3.4486
37,0.555,0.487,0.5933,0.9128,0.0,187.7965,60.0,90.2299,25.731,1.0,0.6286,9.473,0.9384,-0.6202,3.2613
38,0.57,0.4835,0.5924,0.949,0.0,192.8665,60.0,82.7586,30.9942,1.0,0.6263,9.6018,1.0487,1.5789,3.0917
39,0.585,0.475,0.5933,1.0,0.0,200.0,60.0,85.6322,28.655,1.0,0.62,9.8457,1.161,-1.6568,2.8325
40,0.6,0.4644,0.5956,1.0,0.0,200.0,60.0,90.2299,35.0877,1.0,0.6262,9.9225,0.9867,-7.9326,2.893
41,0.615,0.459,0.5972,1.0,0.0,200.0,60.0,91.3793,28.0702,1.0,0.6188,10.1167,0.8621,-8.0646,2.8491
42,0.63,0.4551,0.5966,1.0,0.0,200.0,60.0,85.0575,23.3918,1.0,0.6033,10.4106,0.7717,-7.3696,2.7371
43,0.645,0.4534,0.5938,1.0,0.0,200.0,60.0,85.6322,26.3158,1.0,0.5948,10.5153,0.8775,-4.4416,2.5902
44,0.66,0.4465,0.5935,1.0,0.0,200.0,60.0,85.6322,32.1637,1.0,0.598,10.6909,0.9932,-6.3482,2.396
45,0.675,0.4348,0.5959,1.0,0.0,200.0,60.0,94.8276,24.5614,1.0,0.5867,10.8353,0.8837,-10.2333,2.4156
46,0.69,0.4233,0.5979,1.0,0.0,200.0,60.0,85.0575,24.5614,1.0,0.5765,10.9002,0.7493,-15.0387,2.5051
47,0.705,0.4168,0.5988,1.0,0.0,200.0,60.0,87.3563,25.1462,1.0,0.5684,11.1529,0.5359,-14.1992,2.6056
48,0.72,0.4152,0.5974,1.0,0.0,200.0,60.0,82.1839,28.0702,1.0,0.5665,11.3433,0.5765,-12.1081,2.5109
49,0.735,0.4115,0.5953,1.0,0.0,200.0,60.0,85.6322,29.2398,1.0,0.5669,11.4614,0.6715,-9.1153,2.3899
50,0.75,0.4028,0.5952,1.0,0.0,200.0,60.0,94.8276,28.0702,1.0,0.5651,11.6989,0.7522,-12.3182,2.2679
51,0.765,0.3943,0.5969,1.0,0.0,200.0,60.0,90.2299,25.1462,1.0,0.5581,11.7417,0.5603,-19.1847,2.4533
52,0.78,0.3918,0.5983,1.0,0.0,200.0,60.0,91.954,24.5614,1.0,0.5506,11.8743,0.4199,-19.9735,2.5831
53,0.795,0.3941,0.5981,1.0,0.0,200.0,60.0,83.3333,26.3158,1.0,0.5471,12.1437,0.2342,-19.7739,2.7695
54,0.81,0.4011,0.5953,1.0,0.0,200.0,60.0,89.0805,24.5614,1.0,0.5407,12.2652,0.309,-17.0035,2.704
55,0.825,0.4057,0.5946,1.0,0.0,200.0,60.0,86.2069,33.3333,1.0,0.5512,12.4319,0.3625,-18.764,2.6726
56,0.84,0.4109,0.5963,1.0,0.0,200.0,60.0,89.6552,23.9766,1.0,0.5433,12.5748,0.2669,-22.2253,2.7929
57,0.855,0.4192,0.598,1.0,0.0,200.0,60.0,79.3103,28.0702,1.0,0.5437,12.6043,0.1301,-26.9992,2.9328
58,0.87,0.4303,0.5988,1.0,0.0,200.0,60.0,87.931,28.655,1.0,0.5452,12.7732,-0.1118,-26.6839,3.2064
59,0.885,0.4427,0.5976,1.0,0.0,200.0,60.0,80.4598,33.9181,1.0,0.5564,12.9826,-0.156,-25.1325,3.3054
60,0.9,0.4548,0.5953,1.0,0.0,200.0,60.0,89.0805,32.7485,1.0,0.5643,13.11,-0.0803,-21.8244,3.2742
61,0.915,0.4638,0.595,1.0,0.0,200.0,60.0,89.0805,25.1462,1.0,0.5573,13.3399,-0.0328,-24.4998,3.3156
62,0.93,0.4761,0.5971,1.0,0.0,200.0,60.0,94.8276,28.655,1.0,0.5575,13.3503,-0.231,-31.3472,3.5018
63,0.945,0.4898,0.5987,0.8832,0.0,183.6496,60.0,81.0345,29.2398,1.0,0.5588,13.4134,-0.3799,-32.9857,3.6636
