cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.6025,0.5779,0.0191,0.013,62.673,61.8176,33.908,28.0702,0.6756,0.5481,2.5067,0.6453,9.8885,10.1692
1,0.015,0.6011,0.5792,0.0323,0.0,64.5272,60.0,43.6782,30.4094,0.6941,0.5525,2.6149,0.5111,4.6054,10.0204
2,0.03,0.6005,0.5799,0.0387,0.0,65.4171,60.0,40.8046,30.4094,0.7054,0.5564,2.7808,0.4249,3.5092,9.8348
3,0.045,0.6012,0.5783,0.0316,0.0082,64.431,61.1443,42.5287,33.3333,0.7189,0.5654,3.0186,0.3779,4.5518,9.5956
4,0.06,0.6038,0.575,0.0062,0.0427,60.8733,65.9757,24.7126,38.5965,0.6974,0.5833,3.0941,0.4926,8.468,9.5662
5,0.075,0.605,0.574,0.0,0.0529,60.0,67.4038,32.1839,35.0877,0.692,0.593,3.2337,0.6162,7.8971,9.4829
6,0.09,0.605,0.5754,0.0,0.039,60.0,65.4641,30.4598,43.8596,0.6839,0.6181,3.4077,0.6167,5.883,9.3224
7,0.105,0.6032,0.5769,0.0119,0.0229,61.6666,63.204,33.908,37.4269,0.6831,0.6288,3.5068,0.5337,2.0804,9.199
8,0.12,0.6029,0.577,0.0152,0.0221,62.1269,63.0925,28.7356,29.8246,0.6726,0.6244,3.6954,0.4138,2.6348,8.9788
9,0.135,0.6048,0.5751,0.0,0.0419,60.0,65.8678,33.3333,41.5205,0.6718,0.6421,3.8433,0.4969,5.3054,8.8747
10,0.15,0.6066,0.5724,0.0,0.0694,60.0,69.7228,35.6322,32.7485,0.6754,0.6419,3.92,0.5994,8.5702,8.8455
11,0.165,0.6069,0.5716,0.0,0.078,60.0,70.9216,33.908,35.0877,0.6754,0.646,4.1128,0.7494,7.0036,8.7331
12,0.18,0.6051,0.5728,0.0,0.0655,60.0,69.1724,31.6092,32.7485,0.6711,0.6454,4.2241,0.6398,2.8852,8.5856
13,0.195,0.6037,0.5733,0.0074,0.0603,61.0386,68.448,33.3333,49.7076,0.6704,0.6763,4.3579,0.5674,0.7789,8.4337
14,0.21,0.6031,0.5717,0.0125,0.0772,61.7496,70.8142,32.7586,32.7485,0.6687,0.6728,4.5891,0.4822,2.0969,8.1882
15,0.225,0.6045,0.5681,0.0,0.1143,60.0,76.0031,34.4828,45.0292,0.6705,0.6925,4.667,0.6043,6.3613,8.1709
16,0.24,0.6053,0.5667,0.0,0.1284,60.0,77.9728,28.7356,40.9357,0.6612,0.7027,4.8129,0.7069,6.5577,8.0868
17,0.255,0.6045,0.5672,0.0,0.124,60.0,77.3626,33.908,49.1228,0.6625,0.7271,5.0211,0.7587,5.0257,7.9267
18,0.27,0.6021,0.5687,0.0232,0.108,63.253,75.1257,36.7816,43.8596,0.6692,0.7394,5.1183,0.6658,1.3839,7.7972
19,0.285,0.6013,0.5686,0.0304,0.1088,64.2602,75.2262,34.4828,46.7836,0.6709,0.756,5.2869,0.5552,1.9444,7.5964
20,0.3,0.603,0.5671,0.0139,0.1244,61.9437,77.4095,31.0345,40.3509,0.6659,0.759,5.4578,0.619,4.5374,7.4765
21,0.315,0.6046,0.5642,0.0,0.1545,60.0,81.6311,35.6322,52.6316,0.6701,0.7846,5.5423,0.7269,8.3749,7.456
22,0.33,0.605,0.5634,0.0,0.1627,60.0,82.7842,36.7816,49.7076,0.6761,0.8023,5.7428,0.893,7.3874,7.3694
23,0.345,0.6037,0.5651,0.0068,0.1449,60.9531,80.2921,30.4598,37.4269,0.6695,0.7955,5.8955,0.8093,3.9787,7.1956
24,0.36,0.6018,0.5665,0.0258,0.1307,63.6085,78.2932,34.4828,52.0468,0.6711,0.8165,6.013,0.7169,0.8037,7.047
25,0.375,0.6015,0.5652,0.0288,0.144,64.0274,80.1567,30.4598,31.5789,0.665,0.7975,6.2518,0.6048,2.6919,6.785
26,0.39,0.6031,0.5618,0.0129,0.1794,61.8035,85.1202,34.4828,45.0292,0.6671,0.8053,6.3351,0.7545,7.7838,6.7961
27,0.405,0.6041,0.5605,0.0027,0.193,60.3809,87.0225,28.1609,50.2924,0.657,0.8221,6.4843,0.8621,9.1878,6.7334
28,0.42,0.6035,0.5603,0.0089,0.1947,61.2527,87.26,38.5057,52.0468,0.6675,0.8406,6.7311,0.9737,7.9354,6.5993
29,0.435,0.6009,0.5623,0.0351,0.1741,64.9183,84.3785,26.4368,45.0292,0.6541,0.8443,6.8382,0.8702,4.0797,6.4516
30,0.45,0.5999,0.5624,0.0447,0.1736,66.2624,84.3025,34.4828,52.0468,0.6572,0.8606,7.0118,0.777,4.7442,6.2568
31,0.465,0.6011,0.5601,0.033,0.1969,64.6175,87.5721,39.0805,47.9532,0.6688,0.8679,7.2023,0.8209,7.3297,6.1333
32,0.48,0.6026,0.5565,0.0175,0.2346,62.4435,92.8376,29.8851,43.2749,0.6618,0.8657,7.2775,0.9433,11.7196,6.1523
33,0.495,0.603,0.5557,0.0143,0.2426,62.0072,93.9676,35.0575,47.9532,0.6653,0.8724,7.4724,1.1256,10.9596,6.1253
34,0.51,0.6017,0.5573,0.0272,0.226,63.8064,91.6437,28.1609,45.614,0.6554,0.8742,7.6711,1.0899,8.3623,5.9554
35,0.525,0.599,0.5592,0.0536,0.2068,67.4983,88.9519,36.2069,52.0468,0.6617,0.8877,7.7797,0.9849,4.5564,5.8044
36,0.54,0.5983,0.5579,0.0605,0.2199,68.4636,90.7871,33.908,48.538,0.663,0.8934,8.019,0.8614,6.4,5.5461
37,0.555,0.6001,0.5539,0.0425,0.2618,65.9531,96.6495,35.0575,50.2924,0.6664,0.9018,8.1045,1.0283,11.863,5.6038
38,0.57,0.6014,0.5514,0.0295,0.2874,64.1232,100.2377,34.4828,53.2164,0.6683,0.9149,8.2215,1.147,14.161,5.6103
39,0.585,0.6013,0.5501,0.0311,0.3008,64.3582,102.1175,39.0805,61.9883,0.6788,0.943,8.4917,1.3273,13.1595,5.5708
40,0.6,0.599,0.552,0.054,0.2811,67.5637,99.3599,32.1839,53.2164,0.6752,0.9522,8.623,1.2271,9.1006,5.4104
41,0.615,0.5979,0.5526,0.0648,0.2748,69.0739,98.4697,40.8046,54.9708,0.6884,0.9637,8.8021,1.1561,9.3902,5.244
42,0.63,0.5989,0.5496,0.0544,0.3061,67.6227,102.8595,35.6322,49.7076,0.6904,0.9644,9.0219,1.1729,12.1307,5.1266
43,0.645,0.6009,0.5451,0.0352,0.3531,64.9324,109.4325,28.7356,60.2339,0.6792,0.9845,9.0772,1.3174,17.1596,5.2137
44,0.66,0.6016,0.5442,0.0282,0.3619,63.9513,110.668,31.0345,58.4795,0.6734,0.9995,9.262,1.5144,16.6331,5.2798
45,0.675,0.6006,0.5458,0.0375,0.3455,65.2548,108.3633,31.0345,55.5556,0.6682,1.0,9.5088,1.551,14.809,5.1882
46,0.69,0.5975,0.5483,0.0689,0.3199,69.6467,104.7901,29.8851,54.9708,0.6612,1.0,9.634,1.449,11.1668,5.039
47,0.705,0.5968,0.5471,0.0751,0.332,70.5178,106.4828,38.5057,52.0468,0.6713,1.0,9.8691,1.336,13.2508,4.8313
48,0.72,0.5991,0.5428,0.0525,0.3766,67.3567,112.7191,31.0345,49.7076,0.6663,1.0,9.95,1.5231,18.7076,4.966
49,0.735,0.6007,0.539,0.0368,0.4158,65.1571,118.2167,31.0345,63.1579,0.6617,1.0,10.0209,1.6661,22.2407,5.0684
50,0.75,0.6011,0.5367,0.0325,0.4395,64.5555,121.5262,30.4598,61.9883,0.6565,1.0,10.2917,1.9116,21.1417,5.2001
51,0.765,0.5987,0.5378,0.057,0.4284,67.9782,119.9696,36.2069,66.0819,0.6627,1.0,10.4512,1.8375,17.3058,5.0794
52,0.78,0.5971,0.5383,0.0726,0.4234,70.1571,119.2739,36.2069,57.3099,0.6683,1.0,10.6245,1.7879,16.722,4.9816
53,0.795,0.5976,0.534,0.0676,0.4679,69.4636,125.5013,31.6092,70.7602,0.6646,1.0,10.8676,1.7921,19.5743,4.924
54,0.81,0.5994,0.5283,0.0497,0.5267,66.9558,133.7321,35.6322,63.7427,0.6689,1.0,10.895,1.9577,25.3299,5.0794
55,0.825,0.6002,0.5255,0.0418,0.5557,65.8469,137.8039,26.4368,67.8363,0.6554,1.0,11.0486,2.1559,24.866,5.243
56,0.84,0.5993,0.5255,0.0502,0.556,67.0296,137.8418,29.3103,71.9298,0.6486,1.0,11.299,2.2798,23.6424,5.3261
57,0.855,0.5962,0.5276,0.0811,0.5339,71.3598,134.7519,28.7356,68.4211,0.6413,1.0,11.4343,2.1989,20.3774,5.2296
58,0.87,0.5958,0.5264,0.0851,0.5459,71.919,136.4269,36.2069,67.2515,0.649,1.0,11.6566,2.1177,21.7923,5.1292
59,0.885,0.5982,0.5241,0.0611,0.5697,68.5574,139.7522,27.5862,65.4971,0.6395,1.0,11.7384,2.2965,26.6608,5.303
60,0.9,0.5999,0.5205,0.0451,0.6073,66.3133,145.0166,26.4368,70.1754,0.6288,1.0,11.7641,2.4442,31.0322,5.4493
61,0.915,0.6001,0.5191,0.0423,0.6224,65.9162,147.1332,32.7586,73.6842,0.631,1.0,11.9756,2.7313,29.9737,5.7314
62,0.93,0.5981,0.5197,0.063,0.6153,68.8233,146.1395,37.3563,76.6082,0.6418,1.0,12.1567,2.7068,26.5738,5.7089
63,0.945,0.5963,0.5207,0.0802,0.6052,71.2311,144.7265,31.6092,74.269,0.6407,1.0,12.314,2.6663,24.6893,5.675
64,0.96,0.5966,0.5187,0.0773,0.6259,70.8252,147.6311,32.1839,78.9474,0.6407,1.0,12.5728,2.6734,27.3708,5.7023
65,0.975,0.5985,0.519,0.059,0.623,68.2658,147.2139,35.0575,71.345,0.6462,1.0,12.5717,2.8582,33.8501,5.886
66,0.99,0.5995,0.5226,0.0491,0.5861,66.878,142.0522,28.7356,63.7427,0.6392,1.0,12.685,3.0488,33.7058,6.0874
