cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.5679,0.561,0.0879,0.278,72.3053,98.9172,37.6068,42.1652,0.7453,0.8073,1.7041,0.4588,8.0329,10.6049
1,0.015,0.5666,0.5629,0.1007,0.2586,74.1033,96.2093,35.8974,52.9915,0.7421,0.827,1.7887,0.3419,3.2283,10.5516
2,0.03,0.5679,0.5666,0.0879,0.2204,72.3032,90.8611,38.1766,52.4217,0.7435,0.8439,2.032,0.2247,4.1934,10.3471
3,0.045,0.5693,0.5695,0.0728,0.1915,70.1913,86.8079,34.188,42.735,0.7372,0.8414,2.1484,0.3537,9.0318,10.2008
4,0.06,0.5705,0.5678,0.061,0.2088,68.5427,89.2343,30.7692,56.4103,0.7251,0.8641,2.2318,0.4892,12.4801,10.0858
5,0.075,0.5691,0.5663,0.0747,0.2235,70.4628,91.2944,29.0598,49.0028,0.7109,0.8712,2.477,0.6605,10.8116,9.8062
6,0.09,0.5658,0.5664,0.1093,0.2224,75.3006,91.1372,36.4672,54.7009,0.712,0.8879,2.6136,0.546,5.8438,9.7018
7,0.105,0.564,0.5688,0.1281,0.1978,77.9302,87.6897,38.1766,47.2934,0.7162,0.8896,2.7843,0.4679,4.93,9.5572
8,0.12,0.564,0.57,0.1286,0.1859,77.9991,86.0228,37.037,42.735,0.7179,0.8828,3.0252,0.4275,7.0285,9.3362
9,0.135,0.5654,0.5699,0.1142,0.1872,75.9918,86.2053,34.188,52.4217,0.7141,0.8943,3.0937,0.5794,12.472,9.2294
10,0.15,0.5646,0.568,0.1216,0.2064,77.0272,88.8929,39.886,49.0028,0.7214,0.8985,3.2718,0.7367,12.197,9.0169
11,0.165,0.5624,0.5674,0.1448,0.2121,80.272,89.6893,38.7464,47.2934,0.7258,0.8992,3.514,0.7828,10.7523,8.7709
12,0.18,0.558,0.5683,0.191,0.2033,86.7405,88.4642,47.2934,47.2934,0.7459,0.8998,3.6321,0.6794,6.7177,8.6837
13,0.195,0.5565,0.5701,0.2067,0.185,88.9417,85.8984,46.7236,46.7236,0.7631,0.8993,3.8469,0.5512,7.7521,8.5129
14,0.21,0.5577,0.5716,0.1939,0.1693,87.1528,83.7081,56.4103,49.0028,0.7968,0.903,3.9983,0.6834,11.5952,8.3303
15,0.225,0.5577,0.5687,0.1939,0.1996,87.15,87.9461,42.1652,49.0028,0.8005,0.9063,4.0734,0.8192,16.0884,8.2212
16,0.24,0.5565,0.5649,0.2061,0.2377,88.8583,93.2719,44.4444,52.9915,0.8082,0.9166,4.3204,1.043,14.849,7.925
17,0.255,0.5546,0.5634,0.2261,0.2532,91.6488,95.4491,46.1538,47.8632,0.8183,0.9166,4.4887,0.9465,10.208,7.787
18,0.27,0.5506,0.5635,0.2677,0.2522,97.4729,95.3132,49.5726,52.4217,0.8339,0.9249,4.6552,0.8615,7.6609,7.6498
19,0.285,0.5486,0.5636,0.2884,0.2513,100.3799,95.1877,54.7009,48.433,0.8577,0.9251,4.9567,0.7853,9.8727,7.3833
20,0.3,0.5487,0.5629,0.2874,0.2582,100.2375,96.1549,52.4217,49.0028,0.875,0.9264,5.0264,0.9653,15.6137,7.2644
21,0.315,0.5477,0.5589,0.298,0.299,101.7211,101.8653,51.8519,50.7123,0.8895,0.9306,5.1987,1.1226,16.3373,7.0556
22,0.33,0.546,0.5558,0.3152,0.3309,104.1293,106.331,51.8519,57.5499,0.9026,0.9469,5.4643,1.2404,14.2566,6.7685
23,0.345,0.5432,0.5547,0.3445,0.3416,108.234,107.824,58.1197,61.5385,0.9264,0.9689,5.5976,1.1198,9.5254,6.6728
24,0.36,0.5401,0.5558,0.3776,0.3312,112.8587,106.3617,57.5499,47.8632,0.9467,0.9639,5.8504,1.0044,10.0616,6.4653
25,0.375,0.5394,0.5574,0.3843,0.3148,113.7982,104.0764,46.1538,58.1197,0.9437,0.9781,6.071,1.1117,13.2952,6.2224
26,0.39,0.5386,0.5548,0.3924,0.3416,114.9407,107.8192,55.2707,46.7236,0.9581,0.9702,6.1374,1.2766,18.4037,6.1106
27,0.405,0.5391,0.55,0.3874,0.3905,114.2427,114.6698,58.1197,57.5499,0.9766,0.9827,6.3564,1.5313,17.2318,5.8316
28,0.42,0.5399,0.547,0.3794,0.421,113.1207,118.9377,54.7009,53.5613,0.9868,0.9868,6.5657,1.4465,12.3526,5.652
29,0.435,0.5355,0.5471,0.4249,0.4198,119.4848,118.7673,55.8405,63.2479,0.9982,1.0,6.721,1.328,7.3898,5.5375
30,0.45,0.5311,0.5496,0.4708,0.3939,125.9129,115.1411,59.2593,60.9687,1.0,1.0,7.1002,1.206,9.6768,5.2179
31,0.465,0.5288,0.5514,0.4945,0.3757,129.2309,112.5928,65.5271,61.5385,1.0,1.0,7.1897,1.4117,15.6915,5.0658
32,0.48,0.5275,0.5479,0.5081,0.4113,131.1365,117.5804,66.0969,54.1311,1.0,1.0,7.3469,1.5791,17.6561,4.8652
33,0.495,0.5264,0.5439,0.5197,0.4522,132.7594,123.3087,54.7009,61.5385,1.0,1.0,7.6335,1.7631,15.108,4.5383
34,0.51,0.5244,0.5414,0.5402,0.4774,135.6217,126.8333,61.5385,68.9459,1.0,1.0,7.7759,1.6136,9.4708,4.4458
35,0.525,0.5189,0.5429,0.5983,0.4623,143.7625,124.7151,59.2593,66.6667,1.0,1.0,8.0526,1.5073,9.231,4.2202
36,0.54,0.5137,0.544,0.6524,0.4516,151.3375,123.2291,63.8177,60.9687,1.0,1.0,8.338,1.5688,12.2477,3.9317
37,0.555,0.5095,0.5424,0.696,0.4677,157.4374,125.4714,76.3533,60.9687,1.0,1.0,8.3959,1.745,17.3837,3.8164
38,0.57,0.5086,0.5375,0.7049,0.518,158.6837,132.5268,71.7949,64.9573,1.0,1.0,8.5972,2.003,16.9731,3.5458
39,0.585,0.5095,0.5324,0.6958,0.5691,157.4124,139.6716,74.0741,70.0855,1.0,1.0,8.8374,1.9582,12.7197,3.3298
