cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.6025,0.5779,0.0191,0.013,105.7,103.9,66.7,0.0,0.8864,0.0,2.4807,0.6312,9.33,10.188
1,0.015,0.5937,0.5851,0.106,0.0,131.8,100.0,66.7,0.0,0.8864,0.0,2.5421,0.471,3.47,10.075
2,0.03,0.6048,0.5791,0.0,0.0,100.0,100.0,0.0,0.0,0.802,0.0,2.6785,0.3889,3.14,9.918
3,0.045,0.6112,0.565,0.0,0.146,100.0,143.8,66.7,66.7,0.81,0.2158,2.9477,0.3481,2.23,9.652
4,0.06,0.6245,0.547,0.0,0.3329,100.0,199.9,66.7,66.7,0.8173,0.411,3.0249,0.4105,3.54,9.601
5,0.075,0.6174,0.5578,0.0,0.2208,100.0,166.2,0.0,133.3,0.7395,0.8035,3.1066,0.4909,1.01,9.554
6,0.09,0.603,0.5786,0.0136,0.0059,104.1,101.8,0.0,66.7,0.6692,0.9428,3.2874,0.4779,-0.93,9.381
7,0.105,0.5901,0.5807,0.1419,0.0,142.6,100.0,0.0,0.0,0.6055,0.8531,3.397,0.3937,-4.35,9.248
8,0.12,0.5981,0.5741,0.0625,0.0525,118.8,115.7,66.7,0.0,0.6322,0.7719,3.5774,0.253,-3.62,9.029
9,0.135,0.6131,0.5603,0.0,0.1946,100.0,158.4,66.7,66.7,0.6564,0.9142,3.7304,0.3302,-0.29,8.915
10,0.15,0.6163,0.5539,0.0,0.2609,100.0,178.3,0.0,66.7,0.5939,1.0,3.8144,0.4441,3.88,8.881
11,0.165,0.6093,0.5661,0.0,0.1349,100.0,140.5,0.0,66.7,0.5374,1.0,4.0765,0.5937,2.71,8.7
12,0.18,0.5925,0.5806,0.1184,0.0,135.5,100.0,66.7,0.0,0.5706,1.0,4.2201,0.4932,-0.83,8.528
13,0.195,0.5907,0.5788,0.1359,0.0034,140.8,101.0,66.7,0.0,0.6007,0.9493,4.345,0.4013,-2.42,8.377
14,0.21,0.6005,0.5569,0.0383,0.2303,111.5,169.1,133.3,66.7,0.7122,1.0,4.5695,0.304,0.2,8.132
15,0.225,0.6103,0.549,0.0,0.3125,100.0,193.7,0.0,66.7,0.6444,1.0,4.657,0.4658,6.42,8.12
16,0.24,0.6059,0.5673,0.0,0.1231,100.0,136.9,0.0,133.3,0.5831,1.0,4.8449,0.588,6.32,8.004
17,0.255,0.5936,0.5756,0.1069,0.0364,132.1,110.9,66.7,66.7,0.612,1.0,5.1325,0.6652,5.72,7.784
18,0.27,0.5765,0.5914,0.2768,0.0,183.0,100.0,66.7,0.0,0.6381,1.0,5.2363,0.558,2.63,7.642
19,0.285,0.5914,0.5746,0.1288,0.0474,138.6,114.2,66.7,66.7,0.6617,1.0,5.4081,0.4367,4.27,7.434
20,0.3,0.6103,0.564,0.0,0.1572,100.0,147.2,66.7,0.0,0.6831,1.0,5.5694,0.5361,8.1,7.339
21,0.315,0.6105,0.5529,0.0,0.2713,100.0,181.4,66.7,133.3,0.7024,1.0,5.6497,0.6692,12.89,7.334
22,0.33,0.6035,0.5688,0.0091,0.1072,102.7,132.2,0.0,133.3,0.6356,1.0,5.9047,0.8787,11.94,7.225
23,0.345,0.5906,0.5831,0.1368,0.0,141.0,100.0,0.0,0.0,0.5751,1.0,6.0956,0.8261,9.38,7.036
24,0.36,0.5829,0.5856,0.2137,0.0,164.1,100.0,133.3,66.7,0.6891,1.0,6.2155,0.7178,6.0,6.876
25,0.375,0.5963,0.5606,0.0805,0.1921,124.2,157.6,66.7,66.7,0.7078,1.0,6.4767,0.6182,9.05,6.603
26,0.39,0.6105,0.5438,0.0,0.366,100.0,209.8,0.0,133.3,0.6405,1.0,6.5368,0.8126,15.74,6.662
27,0.405,0.6084,0.5598,0.0,0.2007,100.0,160.2,0.0,133.3,0.5795,1.0,6.6782,0.9475,16.48,6.626
28,0.42,0.597,0.5667,0.0737,0.1289,122.1,138.7,0.0,133.3,0.5244,1.0,6.9627,1.1177,15.99,6.506
29,0.435,0.5781,0.5845,0.2608,0.0,178.3,100.0,133.3,0.0,0.6432,1.0,7.0848,1.0278,12.78,6.355
30,0.45,0.5901,0.5702,0.142,0.0923,142.6,127.7,66.7,0.0,0.6663,1.0,7.2649,0.9597,14.51,6.173
31,0.465,0.607,0.5458,0.0,0.3451,100.0,203.5,0.0,0.0,0.6029,1.0,7.4315,1.0477,17.78,6.104
32,0.48,0.6089,0.5397,0.0,0.4088,100.0,222.6,0.0,200.0,0.5455,1.0,7.4672,1.1887,22.71,6.172
33,0.495,0.6032,0.5579,0.0117,0.2198,103.5,165.9,0.0,133.3,0.4936,1.0,7.6618,1.4196,22.02,6.193
34,0.51,0.5895,0.572,0.1481,0.0736,144.4,122.1,0.0,0.0,0.4466,1.0,7.8733,1.4402,20.61,6.062
35,0.525,0.5805,0.5753,0.2368,0.0396,171.0,111.9,133.3,0.0,0.5728,1.0,7.994,1.3545,17.23,5.917
36,0.54,0.5917,0.5535,0.1266,0.2654,138.0,179.6,66.7,0.0,0.6027,1.0,8.2243,1.2879,19.96,5.713
37,0.555,0.6105,0.5335,0.0,0.4729,100.0,241.9,0.0,200.0,0.5453,1.0,8.2492,1.4869,26.71,5.848
