scene,scheme,left_hz,right_hz,diff_hz,diff_noise_hz
пусто,гибрид,11.344696998596191,21.26298713684082,-9.918290138244629,0.06709957122802734
два тонких,гибрид,11.172348022460938,21.082792282104492,-9.910444259643555,0.035443782806396484
один толстый,гибрид,11.206439018249512,21.003246307373047,-9.796808242797852,0.0635824203491211
выше горизонта,гибрид,11.41098403930664,20.978897094726562,-9.567911148071289,0.050054073333740234
ниже горизонта,гибрид,11.433712005615234,21.03571319580078,-9.602002143859863,0.061417579650878906
слева 27°,гибрид,11.285984992980957,21.144481658935547,-9.858495712280273,0.17613601684570312
справа 27°,гибрид,11.25,20.93181800842285,-9.681818008422852,0.020021438598632812
впереди,гибрид,11.465909004211426,20.99188232421875,-9.52597427368164,0.03896141052246094
пусто,старая схема,12.0,21.50973892211914,-9.509739875793457,0.13041114807128906
два тонких,старая схема,11.856060028076172,21.417207717895508,-9.561147689819336,0.016774654388427734
один толстый,старая схема,11.882575988769531,21.628246307373047,-9.745672225952148,0.10335493087768555
выше горизонта,старая схема,11.857954025268555,21.746753692626953,-9.888797760009766,0.18966436386108398
ниже горизонта,старая схема,11.958333015441895,21.740259170532227,-9.781926155090332,0.02164459228515625
слева 27°,старая схема,11.909090042114258,21.663959503173828,-9.75486946105957,0.13365793228149414
справа 27°,старая схема,11.846590995788574,21.641233444213867,-9.794642448425293,0.04356098175048828
впереди,старая схема,12.054924011230469,21.60714340209961,-9.55221939086914,0.08847427368164062
