side,cell_type,n,split_cc1,split_cc2,shuffled_cc1,shuffled_cc2
left,Mi1,788,0.99028187323864,0.9289126855141798,0.0780959929766701,0.0516584883525755
left,Mi4,766,0.9964456079887978,0.9837487737356927,0.06969380473961691,0.020755172750626834
left,Tm1,780,0.9928569718909607,0.9300417277234144,0.09108128752937797,0.010966850609657642
left,Tm9,767,0.9930538831258668,0.9670357897374294,0.06609900946166401,0.031294564524388016
left,T4a,725,0.9951929674195388,0.9780885996282679,0.1051394850547365,0.011808737200428576
left,T4c,864,0.995350423166639,0.9748907333842686,0.0634389811238338,0.006356238441069301
left,T5c,775,0.9961276607380699,0.9864023864428196,0.11500764891359393,0.016549578583141582
left,L1,802,0.9867764577667909,0.9541052651262819,0.04438673377209701,0.0006828780811289614
left,L2,900,0.9909830403390393,0.9778016860887256,0.10380181531132542,0.03635767197150576
right,Mi1,796,0.9888753009342955,0.8848502850878684,0.038880639077913975,0.004627987043124933
right,Mi4,766,0.9966632295759495,0.9711641296366129,0.07551289930217037,0.02635092674702128
right,Tm1,775,0.9920637460818279,0.9254171264520257,0.05342922589295772,0.015550303614414222
right,Tm9,755,0.9935814565361283,0.940987639852855,0.10279268426357638,0.0648451634358884
right,T4a,737,0.9943533960524125,0.9727570931944871,0.008103229035190873,0.001276367029633149
right,T4c,842,0.9944860702512409,0.9720840922896842,0.021967685158505522,0.001957053574639422
right,T5c,766,0.9960934748040672,0.9825997769485532,0.05997470069591342,0.0444860316189228
right,L1,789,0.9829822797130454,0.8285004006705722,0.04429010901407776,0.016549544605334844
right,L2,797,0.9887929039670462,0.9085882966526364,0.06607984749238387,0.0021783909726547433
