root_id,flow,super_class,cell_class,cell_sub_class,cell_type,hemibrain_type,side,nerve,top_nt
720575940631295506,afferent,ascending,AN,AN_multi,AN_multi_97,,left,CV,acetylcholine
720575940615076418,afferent,ascending,AN,AN_GNG,AN_GNG_199,,right,CV,acetylcholine
720575940616835717,afferent,ascending,AN,AN_AVLP,AN_AVLP_11,,right,CV,acetylcholine
720575940631008824,afferent,ascending,AN,AN_multi,AN_multi_3,,right,CV,glutamate
720575940622489302,afferent,ascending,AN,AN_FLA_SMP,AN_FLA_SMP_1,,right,CV,serotonin
720575940622474868,afferent,ascending,AN,AN_multi,AN_multi_124,,right,CV,serotonin
720575940631316281,afferent,ascending,AN,,,,right,CV,acetylcholine
720575940628644239,afferent,ascending,AN,AN_multi,AN_multi_124,,left,CV,serotonin
720575940628209801,afferent,ascending,AN,AN_multi,AN_multi_124,,left,CV,dopamine
720575940623758377,afferent,ascending,AN,AN_multi,AN_multi_125,,left,CV,serotonin
720575940629591793,afferent,ascending,AN,AN_multi,AN_multi_125,,left,CV,serotonin
720575940632001640,afferent,ascending,AN,AN_GNG,AN_GNG_12,,left,CV,gaba
720575940647036724,afferent,ascending,AN,AN_GNG,AN_GNG_111,,left,CV,serotonin
720575940632381970,afferent,ascending,AN,,AN19A018,,left,CV,acetylcholine
720575940632118479,afferent,ascending,AN,AN_AVLP,AN_AVLP_44,,left,CV,acetylcholine
720575940627360774,afferent,ascending,AN,AN_AVLP,AN_AVLP_13,,left,CV,acetylcholine
720575940616553300,afferent,ascending,AN,AN_AVLP_GNG,AN_AVLP_GNG_4,,left,CV,acetylcholine
720575940627490065,afferent,ascending,AN,AN_SMP,AN_SMP_1,,left,CV,serotonin
720575940617757269,afferent,ascending,AN,,,,left,CV,octopamine
720575940604705481,afferent,ascending,AN,AN_GNG,AN_GNG_204,,left,CV,
720575940624245176,afferent,ascending,AN,,,,left,CV,acetylcholine
720575940636821616,afferent,ascending,AN,AN_multi,AN_multi_105,hb706176085,left,CV,acetylcholine
720575940639264590,afferent,ascending,AN,AN_SLP_AVLP,AN_SLP_AVLP_1,,left,CV,serotonin
720575940620896525,afferent,ascending,AN,,,,left,CV,glutamate
720575940620262621,afferent,ascending,AN,AN_GNG,AN_GNG_204,,left,CV,
720575940620551046,afferent,ascending,AN,AN_GNG,AN_GNG_124,,left,CV,gaba
720575940626901521,afferent,ascending,AN,AN_GNG_SAD,AN_GNG_SAD_23,,left,CV,acetylcholine
720575940629486714,afferent,ascending,AN,AN_multi,AN_multi_11,,left,CV,gaba
720575940626180638,afferent,ascending,AN,AN_GNG_SAD,AN_GNG_SAD_6,,left,CV,gaba
720575940619985089,afferent,ascending,AN,AN_multi,AN_multi_124,,left,CV,serotonin
720575940636805958,afferent,ascending,AN,AN_multi,AN_multi_80,,left,CV,acetylcholine
720575940620116001,afferent,ascending,AN,AN_GNG,AN_GNG_186,,left,CV,acetylcholine
720575940622944915,afferent,ascending,AN,AN_GNG_IPS,AN_GNG_IPS_20,,left,CV,acetylcholine
720575940621362835,afferent,ascending,AN,AN_GNG,AN_GNG_177,,left,CV,glutamate
720575940626098694,afferent,ascending,AN,,,,left,CV,acetylcholine
720575940625947335,afferent,ascending,AN,AN_GNG,AN_GNG_200,,left,CV,gaba
720575940614189310,afferent,ascending,AN,AN_multi,AN_multi_47,,left,CV,acetylcholine
720575940627230722,afferent,ascending,AN,AN_GNG,AN_GNG_33,,left,CV,acetylcholine
720575940632556831,afferent,ascending,AN,AN_SLP_LH,AN_SLP_LH_1,hb422328492,left,CV,acetylcholine
720575940649812857,afferent,ascending,AN,AN_multi,AN_multi_18,,left,CV,acetylcholine
720575940633324724,afferent,ascending,AN,AN_GNG,AN_GNG_88,,left,CV,acetylcholine
720575940621751792,afferent,ascending,AN,AN_GNG_WED,AN_GNG_WED_1,,left,CV,acetylcholine
720575940605158572,afferent,ascending,AN,AN_GNG_PRW,AN_GNG_PRW_4,,left,CV,gaba
720575940620312797,afferent,ascending,AN,AN_GNG,AN_GNG_164,,left,CV,serotonin
