root_id,flow,super_class,cell_class,cell_sub_class,cell_type,hemibrain_type,side,nerve,top_nt
720575940624402173,efferent,descending,,,DNpe053,SMP454,left,CV,acetylcholine
720575940627055303,efferent,descending,,,DNp53,PS169,left,CV,acetylcholine
720575940631082808,efferent,descending,,,MDN,MDN,left,CV,acetylcholine
720575940623037720,efferent,descending,,,DNge104,,left,CV,gaba
720575940629543409,efferent,descending,,,DNg68,,left,CV,acetylcholine
720575940618666142,efferent,descending,,,DNg33,,left,CV,acetylcholine
720575940638109668,efferent,descending,,,DNg89,,left,CV,gaba
720575940630697078,efferent,descending,,,DNg80,,left,CV,glutamate
720575940610610841,efferent,descending,,,DNg26,,right,CV,serotonin
720575940618870881,efferent,descending,,,DNpe009,PS226,left,CV,acetylcholine
720575940608145026,efferent,descending,,,DNpe027,PS166,left,CV,acetylcholine
720575940619905916,efferent,descending,,,DNge085,,left,CV,gaba
720575940625306603,efferent,descending,,,DNge011,,left,CV,acetylcholine
720575940612014131,efferent,descending,,,DNg02_a,,left,CV,serotonin
720575940620804566,efferent,descending,,,DNge094,,left,CV,acetylcholine
720575940624877360,efferent,descending,,,DNg102,,left,CV,gaba
720575940614843275,efferent,descending,,,DNg82,,left,CV,acetylcholine
720575940611462885,efferent,descending,,,DNg92_a,,left,CV,acetylcholine
720575940614730914,efferent,descending,,,DNg75,hb1874217622,left,CV,acetylcholine
720575940626229337,efferent,descending,,,DNge015,,left,CV,acetylcholine
720575940612058543,efferent,descending,,,DNge145,,left,CV,acetylcholine
720575940632626402,efferent,descending,,,DNge111,,left,CV,acetylcholine
720575940639159797,efferent,descending,,,DNg51,,left,CV,acetylcholine
720575940611881139,efferent,descending,,,DNge068,,left,CV,glutamate
720575940622579967,efferent,descending,,,DNg29,,left,CV,acetylcholine
720575940621082111,efferent,descending,,,DNge061,,left,CV,
720575940625187940,efferent,descending,,,DNge091,,left,CV,acetylcholine
720575940621700789,efferent,descending,,,DNg36_b,,left,CV,acetylcholine
720575940633228172,efferent,descending,,,DNg48,,left,CV,acetylcholine
720575940637612974,efferent,descending,,,DNge105,,left,CV,acetylcholine
720575940618519454,efferent,descending,,,DNge025,,left,CV,acetylcholine
720575940625872688,efferent,descending,,,DNg12_a,,left,CV,acetylcholine
720575940620156283,efferent,descending,,,DNp30,DSKMP1A,left,CV,serotonin
720575940624801771,efferent,descending,,,DNpe040,CL320,left,CV,acetylcholine
720575940621947653,efferent,descending,,,DNg64,,right,CV,gaba
720575940610604078,efferent,descending,,,DNge136,,right,CV,gaba
720575940620300308,efferent,descending,,,DNg97,,right,CV,acetylcholine
720575940633228103,efferent,descending,,,DNp30,DSKMP1A,right,CV,serotonin
720575940628487153,efferent,descending,,,DNge085,,right,CV,acetylcholine
720575940614129617,efferent,descending,,,DNge019,,right,CV,acetylcholine
720575940625870640,efferent,descending,,,DNg15,,right,CV,acetylcholine
720575940623338281,efferent,descending,,,DNg98,,right,CV,gaba
720575940640325429,efferent,descending,,,DNa06,PS039,right,CV,acetylcholine
720575940632836675,efferent,descending,,,DNp41,"PS294,PS295,PS298",right,CV,acetylcholine
720575940622204186,efferent,descending,,,DNae003,PS040,right,CV,acetylcholine
720575940632512156,efferent,descending,,,DNpe038,SLP410,right,CV,acetylcholine
720575940603980256,efferent,descending,,,oviDNb,oviDNb,right,CV,acetylcholine
720575940621196037,efferent,descending,,,DNpe044,SMP479,right,CV,acetylcholine
720575940641781133,efferent,descending,,,DNg12_e,,right,CV,acetylcholine
720575940615958203,efferent,descending,,,DNg12_a,,right,CV,acetylcholine
720575940605282406,efferent,descending,,,DNg12_e,,right,CV,acetylcholine
720575940627419676,efferent,descending,,,DNge034,,right,CV,glutamate
720575940615659521,efferent,descending,,,DNge091,,right,CV,gaba
720575940614181585,efferent,descending,,,DNg07,,right,CV,acetylcholine
720575940625642302,efferent,descending,,,DNge020,,right,CV,acetylcholine
720575940612804606,efferent,descending,,,DNg02_a,,right,CV,acetylcholine
720575940637530084,efferent,descending,,,DNge001,,right,CV,acetylcholine
720575940627949589,efferent,descending,,,DNp18,DNp18,right,CV,acetylcholine
720575940623582867,efferent,descending,,,DNp46,CL206,right,CV,acetylcholine
720575940604737708,efferent,descending,,,DNa02,DNa02,right,CV,acetylcholine
720575940620380449,efferent,descending,,,DNae002,DNa04,right,CV,acetylcholine
720575940625747812,efferent,descending,,,DNp49,DNp49,right,CV,glutamate
720575940633095137,efferent,descending,,,DNp71,DNp09,right,CV,acetylcholine
720575940623222712,efferent,descending,,,DNg03,,right,CV,acetylcholine
720575940622929193,efferent,descending,,,DNg36_a,,right,CV,acetylcholine
720575940647478148,efferent,descending,,,DNg07,,right,CV,acetylcholine
720575940623899082,efferent,descending,,,DNge094,,right,CV,serotonin
720575940623137212,efferent,descending,,,DNge044,,left,CV,acetylcholine
720575940637424547,efferent,descending,,,DNg06,,right,CV,acetylcholine
720575940626295396,efferent,descending,,,DNg85,,right,CV,acetylcholine
