population,n_stim,stim_rate_hz,p9_left_hz,p9_right_hz,pop_rate_hz,n_active
drivers_both,40,0.0,0.0,0.0,0.0,0
drivers_both,40,10.0,37.0,24.0,0.011656171784274267,270
drivers_both,40,25.0,55.0,53.0,0.04631452910075808,547
drivers_both,40,50.0,82.0,90.0,0.08983763587446533,718
drivers_both,40,100.0,127.0,135.0,0.1753474851953635,1338
drivers_both,40,150.0,156.0,151.0,2.4866740239038077,9217
drivers_both,40,200.0,182.0,171.0,0.3542726072750092,1782
drivers_both,40,300.0,210.0,202.0,0.4604187854788335,1985
drivers_left,20,0.0,0.0,0.0,0.0,0
drivers_left,20,10.0,41.0,0.0,0.007667395177403184,181
drivers_left,20,25.0,71.0,0.0,0.026002784209349462,401
drivers_left,20,50.0,98.0,0.0,0.0581221734144072,578
drivers_left,20,100.0,144.0,0.0,0.11528502080944035,1131
drivers_left,20,150.0,172.0,0.0,0.15675964194779246,1070
drivers_left,20,200.0,187.0,0.0,0.22788681395566904,1475
drivers_left,20,300.0,217.0,0.0,0.2783560181478516,1557
drivers_right,20,0.0,0.0,0.0,0.0,0
drivers_right,20,10.0,0.0,25.0,0.004089758293120983,122
drivers_right,20,25.0,0.0,55.0,0.014238417761236017,185
drivers_right,20,50.0,0.0,95.0,0.04265754946299382,448
drivers_right,20,100.0,0.0,135.0,0.08388692936331046,644
drivers_right,20,150.0,0.0,161.0,0.1270493872575538,1020
drivers_right,20,200.0,0.0,180.0,0.26403825763313354,7370
drivers_right,20,300.0,0.0,206.0,0.25142997280707446,1268
p9_direct,2,0.0,0.0,0.0,0.0,0
p9_direct,2,10.0,10.0,8.0,0.00013704657419629396,3
p9_direct,2,25.0,24.0,27.0,0.0007934275348206493,22
p9_direct,2,50.0,49.0,50.0,0.0023874955820512266,69
p9_direct,2,100.0,104.0,99.0,0.006116604995708278,136
p9_direct,2,150.0,144.0,144.0,0.009052286874544681,131
p9_direct,2,200.0,204.0,197.0,0.012153867237934492,117
p9_direct,2,300.0,295.0,297.0,0.017736711892036152,95
sugar,21,0.0,0.0,0.0,0.0,0
sugar,21,10.0,0.0,0.0,0.0016301329351769704,35
sugar,21,25.0,0.0,0.0,0.005135640043566384,53
sugar,21,50.0,0.0,0.0,0.019741919661855612,230
sugar,21,100.0,0.0,0.0,0.06954031693823527,347
sugar,21,150.0,0.0,0.0,0.09857255173508175,382
sugar,21,200.0,0.0,0.0,0.12293799003166497,393
sugar,21,300.0,0.0,0.0,0.1628546080107329,433
