cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.5656,0.5538,0.0,0.182,60.0,85.4768,32.7586,33.9181,0.673,0.6629,2.9466,-0.2325,-6.0899,7.0572
1,0.015,0.5613,0.5553,0.0,0.1664,60.0,83.297,26.4368,46.1988,0.6606,0.6857,3.1188,-0.2158,-5.069,6.8846
2,0.03,0.5561,0.556,0.0024,0.1588,60.3372,82.2373,32.1839,47.3684,0.6607,0.7086,3.1601,-0.3691,-11.888,6.8499
3,0.045,0.5539,0.5612,0.0262,0.1046,63.6701,74.6494,32.7586,39.1813,0.6618,0.714,3.3126,-0.4984,-11.0682,6.7059
4,0.06,0.5514,0.5651,0.0528,0.0634,67.3955,68.8826,31.0345,40.9357,0.6595,0.7222,3.5037,-0.5213,-9.0367,6.5172
5,0.075,0.5502,0.5665,0.0659,0.0486,69.2198,66.8062,32.1839,33.9181,0.6597,0.7165,3.5968,-0.4143,-4.9928,6.4166
6,0.09,0.5475,0.5657,0.0951,0.0571,73.315,67.9904,30.4598,28.655,0.6565,0.7016,3.806,-0.3003,-5.7329,6.2013
7,0.105,0.5433,0.566,0.1398,0.0543,79.5689,67.6002,43.1034,37.4269,0.6783,0.7045,3.9285,-0.4106,-8.9436,6.0853
8,0.12,0.5386,0.5685,0.191,0.0277,86.7412,63.8778,41.3793,37.4269,0.6946,0.707,4.0017,-0.5212,-12.1902,6.0209
9,0.135,0.5362,0.5724,0.2164,0.0,90.2901,60.0,44.2529,37.4269,0.715,0.7094,4.2126,-0.6785,-10.375,5.827
10,0.15,0.5354,0.5751,0.2259,0.0,91.6198,60.0,50.5747,36.8421,0.7459,0.7104,4.3402,-0.5745,-6.0963,5.6889
11,0.165,0.5335,0.574,0.2453,0.0,94.3447,60.0,46.5517,37.4269,0.7659,0.7124,4.4932,-0.5004,-4.3731,5.5295
12,0.18,0.5298,0.5726,0.2857,0.0,99.9935,60.0,50.0,29.8246,0.7908,0.7001,4.7302,-0.4376,-5.5968,5.2879
13,0.195,0.5252,0.5727,0.3348,0.0,106.879,60.0,51.1494,30.9942,0.8155,0.6911,4.8025,-0.578,-10.6448,5.2295
14,0.21,0.522,0.5762,0.3694,0.0,111.7228,60.0,58.046,30.9942,0.8514,0.683,4.9609,-0.7048,-10.6954,5.0881
15,0.225,0.5204,0.5793,0.3875,0.0,114.2435,60.0,51.7241,26.9006,0.8715,0.668,5.1931,-0.771,-9.233,4.8683
16,0.24,0.5195,0.5799,0.3973,0.0,115.6187,60.0,58.046,34.5029,0.902,0.6686,5.3088,-0.6786,-5.5698,4.74
17,0.255,0.5163,0.5785,0.4314,0.0,120.3959,60.0,55.7471,33.9181,0.9252,0.6681,5.4971,-0.5674,-6.4936,4.5385
18,0.27,0.5125,0.5784,0.4727,0.0,126.1712,60.0,66.6667,33.3333,0.9675,0.6665,5.6534,-0.6733,-9.9845,4.3984
19,0.285,0.5071,0.5811,0.5307,0.0,134.2963,60.0,65.5172,28.655,1.0,0.6563,5.7232,-0.806,-14.6205,4.3521
20,0.3,0.5042,0.5844,0.5621,0.0,138.6917,60.0,67.8161,27.4854,1.0,0.645,5.9614,-1.0172,-13.4789,4.1647
21,0.315,0.5029,0.5852,0.5761,0.0,140.6575,60.0,66.6667,26.3158,1.0,0.6326,6.1455,-0.9569,-10.2622,3.9715
22,0.33,0.5004,0.5852,0.6029,0.0,144.41,60.0,64.3678,31.5789,1.0,0.6311,6.2763,-0.8615,-7.2949,3.822
23,0.345,0.4942,0.5856,0.6697,0.0,153.7614,60.0,68.9655,29.2398,1.0,0.6254,6.5356,-0.7716,-10.086,3.5493
24,0.36,0.4873,0.5879,0.7436,0.0,164.103,60.0,70.6897,28.0702,1.0,0.6181,6.5875,-0.9601,-16.5644,3.545
