cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.591,0.5944,0.0,0.1264,60.0,77.6953,27.0115,42.6901,0.5571,0.8197,2.7669,-0.0687,2.1592,10.0979
1,0.015,0.589,0.5956,0.0,0.1139,60.0,75.9407,34.4828,39.1813,0.5718,0.8133,3.037,0.0343,0.7564,10.0195
2,0.03,0.5851,0.5988,0.0,0.082,60.0,71.4828,31.6092,49.1228,0.5794,0.8257,3.1381,-0.0917,-3.7219,10.1557
3,0.045,0.5824,0.6009,0.0,0.0616,60.0,68.6308,31.0345,40.9357,0.5852,0.8219,3.3025,-0.1973,-3.4372,10.2801
4,0.06,0.5821,0.6007,0.0,0.0641,60.0,68.9671,32.1839,32.7485,0.5927,0.8035,3.4951,-0.2187,-1.2269,10.3275
5,0.075,0.583,0.5996,0.0,0.075,60.0,70.4947,29.8851,36.8421,0.595,0.7944,3.5811,-0.1048,3.3907,10.2278
6,0.09,0.5829,0.6001,0.0,0.0691,60.0,69.678,32.1839,35.6725,0.6015,0.784,3.7767,0.0368,2.9094,10.1204
7,0.105,0.5809,0.6025,0.0,0.0462,60.0,66.4633,28.7356,41.5205,0.6007,0.7852,3.9788,0.0037,1.0457,10.1903
8,0.12,0.5772,0.6053,0.0,0.0184,60.0,62.5772,29.8851,33.9181,0.6022,0.7725,4.0682,-0.1018,-2.3289,10.3113
9,0.135,0.5758,0.606,0.0059,0.0116,60.8281,61.6193,33.3333,38.0117,0.6103,0.7684,4.2462,-0.2499,-1.2628,10.4932
10,0.15,0.5771,0.6053,0.0,0.0179,60.0,62.5115,33.3333,30.4094,0.6176,0.7509,4.3593,-0.1264,3.1307,10.3976
11,0.165,0.5783,0.6037,0.0,0.0339,60.0,64.7518,38.5057,29.8246,0.6344,0.7339,4.4677,-0.034,6.0101,10.333
12,0.18,0.5783,0.6032,0.0,0.0392,60.0,65.4829,29.3103,37.4269,0.6316,0.7325,4.718,0.1074,4.9628,10.2592
13,0.195,0.5759,0.605,0.0045,0.021,60.6357,62.9463,32.1839,33.9181,0.6347,0.7247,4.8228,-0.0009,1.0027,10.3916
14,0.21,0.5743,0.6064,0.0213,0.0078,62.9783,61.0869,32.1839,36.2573,0.6374,0.722,4.9635,-0.0872,-0.0029,10.5135
15,0.225,0.5745,0.6053,0.0193,0.0182,62.7041,62.5537,31.6092,39.1813,0.6388,0.7249,5.1741,-0.1457,1.7991,10.6306
16,0.24,0.5763,0.6032,0.0007,0.0387,60.1041,65.418,25.8621,32.7485,0.6288,0.7158,5.2497,-0.0278,6.1092,10.5413
17,0.255,0.5772,0.6031,0.0,0.0399,60.0,65.5844,27.0115,39.7661,0.622,0.7203,5.4125,0.0907,6.0206,10.4804
18,0.27,0.5765,0.6047,0.0,0.0238,60.0,63.3283,32.1839,33.3333,0.626,0.7127,5.6162,0.0993,4.3601,10.5404
19,0.285,0.5737,0.607,0.0272,0.0019,63.8029,60.2667,36.2069,38.0117,0.6375,0.7143,5.7109,0.0092,1.0786,10.6577
20,0.3,0.5727,0.6076,0.0376,0.0,65.2646,60.0,31.0345,27.4854,0.6377,0.6966,5.8793,-0.1171,1.8086,10.8353
21,0.315,0.5745,0.6068,0.0193,0.0033,62.7005,60.4592,32.1839,33.3333,0.6402,0.6912,6.0137,-0.0184,5.0392,10.7926
22,0.33,0.576,0.605,0.0031,0.0214,60.4338,62.9917,27.5862,36.2573,0.6334,0.6917,6.0967,0.0786,8.4294,10.7339
23,0.345,0.5765,0.6043,0.0,0.0277,60.0,63.8822,27.0115,32.7485,0.6262,0.6857,6.3145,0.2323,7.1443,10.6781
24,0.36,0.5746,0.6057,0.0179,0.0146,62.5049,62.0381,31.6092,30.4094,0.6286,0.676,6.4308,0.1324,3.4031,10.8168
25,0.375,0.573,0.6067,0.0346,0.0045,64.8374,60.6262,38.5057,29.8246,0.6444,0.6662,6.5585,0.0516,1.2685,10.943
26,0.39,0.5728,0.6056,0.0374,0.0148,65.2312,62.0782,43.1034,43.2749,0.6677,0.6818,6.7809,-0.0302,2.7779,11.1113
27,0.405,0.5746,0.6033,0.018,0.0375,62.5228,65.2495,29.3103,36.8421,0.6617,0.6843,6.8564,0.094,7.1678,11.0324
28,0.42,0.5759,0.6023,0.0042,0.048,60.5823,66.726,27.5862,35.6725,0.6528,0.6843,7.0046,0.1977,7.3915,11.006
29,0.435,0.5758,0.603,0.0061,0.0413,60.8527,65.7818,28.7356,38.5965,0.6471,0.6897,7.2108,0.2482,5.8172,11.0567
30,0.45,0.5734,0.6049,0.0303,0.0219,64.2402,63.0687,33.3333,38.0117,0.651,0.6936,7.3046,0.1587,2.3524,11.1799
31,0.465,0.5726,0.6056,0.039,0.0152,65.455,62.1238,40.8046,30.4094,0.6691,0.6831,7.4684,0.049,2.7642,11.3546
32,0.48,0.5743,0.6052,0.0209,0.0195,62.9217,62.7344,31.6092,34.5029,0.6675,0.6812,7.6334,0.1149,5.2511,11.3776
33,0.495,0.5762,0.6033,0.0016,0.0379,60.2301,65.3081,33.908,42.1053,0.6705,0.6933,7.7163,0.2162,8.7955,11.3313
34,0.51,0.5768,0.6028,0.0,0.0425,60.0,65.9451,28.1609,42.1053,0.662,0.7042,7.9009,0.3766,7.8712,11.2885
35,0.525,0.5756,0.6046,0.008,0.0248,61.1249,63.4726,32.7586,30.9942,0.6633,0.6939,8.0382,0.2895,4.324,11.4347
36,0.54,0.5735,0.6061,0.0295,0.0105,64.1332,61.465,35.0575,33.3333,0.669,0.6887,8.1512,0.2058,1.3414,11.5656
