cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.5877,0.6167,0.1026,0.0,74.3644,60.0,40.8046,38.0117,0.8283,0.7522,2.6285,-0.5318,-16.1513,705.6278
1,0.015,0.5893,0.6158,0.0867,0.0,72.1372,60.0,33.908,36.8421,0.815,0.75,2.8348,-0.7404,-14.5733,705.6303
2,0.03,0.5929,0.6133,0.0511,0.0,67.1609,60.0,38.5057,39.1813,0.8119,0.7524,2.996,-0.6452,-10.2037,705.4492
3,0.045,0.5958,0.6103,0.0218,0.0,63.0572,60.0,32.7586,28.655,0.7979,0.7348,3.1329,-0.5569,-6.9783,705.2901
4,0.06,0.5963,0.6089,0.0163,0.0,62.2878,60.0,31.0345,36.8421,0.7819,0.7343,3.4161,-0.475,-8.6571,705.0325
5,0.075,0.5952,0.6095,0.0275,0.0,63.8528,60.0,31.0345,26.3158,0.7674,0.7139,3.4871,-0.6395,-13.9794,705.0993
6,0.09,0.5951,0.6097,0.0289,0.0,64.0484,60.0,35.6322,33.9181,0.7633,0.7099,3.6308,-0.7722,-14.9103,705.0924
7,0.105,0.5963,0.608,0.0168,0.0,62.3465,60.0,34.4828,33.9181,0.7572,0.7062,3.8531,-0.8874,-13.3545,705.0177
8,0.12,0.5992,0.6051,0.0,0.019,60.0,62.6653,32.1839,29.8246,0.7473,0.6952,3.9657,-0.7878,-9.0881,704.8677
9,0.135,0.6006,0.604,0.0,0.0295,60.0,64.1281,29.8851,39.1813,0.734,0.7028,4.1617,-0.7004,-9.3368,704.6677
10,0.15,0.601,0.6052,0.0,0.0178,60.0,62.4851,31.6092,38.5965,0.7252,0.7086,4.3512,-0.7664,-11.653,704.5812
11,0.165,0.5991,0.6068,0.0,0.0024,60.0,60.3332,32.7586,35.0877,0.7195,0.7072,4.4188,-0.8863,-15.5003,704.6189
12,0.18,0.5989,0.607,0.0,0.0,60.0,60.0,33.3333,33.3333,0.7154,0.7027,4.5792,-1.0734,-14.7096,704.6392
13,0.195,0.6012,0.6057,0.0,0.0126,60.0,61.7668,34.4828,32.1637,0.7139,0.6964,4.7478,-1.0176,-11.4324,704.481
14,0.21,0.6033,0.6036,0.0,0.0339,60.0,64.7449,26.4368,47.9532,0.6971,0.7204,4.8605,-0.9326,-7.594,704.3413
15,0.225,0.6038,0.6028,0.0,0.0418,60.0,65.8487,31.0345,25.1462,0.6907,0.6992,5.1189,-0.836,-8.8435,704.0909
16,0.24,0.6022,0.6044,0.0,0.0261,60.0,63.6604,28.7356,28.655,0.6805,0.6867,5.201,-0.9802,-13.2711,704.1358
17,0.255,0.6012,0.6055,0.0,0.0146,60.0,62.0491,31.0345,39.1813,0.6757,0.6951,5.3128,-1.0942,-15.1446,704.1384
18,0.27,0.6014,0.6047,0.0,0.0226,60.0,63.1594,31.6092,30.4094,0.6724,0.6862,5.5194,-1.2372,-13.387,704.0951
19,0.285,0.6035,0.6025,0.0,0.0443,60.0,66.198,33.908,36.2573,0.6739,0.6892,5.6263,-1.1356,-9.0967,703.9476
20,0.3,0.6045,0.6017,0.0,0.0525,60.0,67.3501,32.1839,41.5205,0.672,0.7018,5.804,-1.0677,-8.6074,703.7745
21,0.315,0.604,0.6027,0.0,0.0431,60.0,66.033,31.6092,41.5205,0.6691,0.7132,6.0161,-1.0866,-10.3159,703.639
22,0.33,0.6016,0.6046,0.0,0.0236,60.0,63.305,31.0345,40.3509,0.6654,0.7213,6.0845,-1.2004,-13.8672,703.6721
23,0.345,0.6009,0.6053,0.0,0.0174,60.0,62.4353,28.1609,36.2573,0.6565,0.721,6.2223,-1.36,-13.3034,703.6891
24,0.36,0.6026,0.6048,0.0,0.0222,60.0,63.1105,34.4828,34.5029,0.6606,0.7173,6.397,-1.3322,-10.45,703.5466
25,0.375,0.6041,0.6028,0.0,0.042,60.0,65.8845,28.1609,37.4269,0.6521,0.7196,6.5042,-1.2518,-6.6915,703.4142
26,0.39,0.6042,0.6021,0.0,0.0489,60.0,66.8491,24.1379,44.4444,0.6367,0.7348,6.7353,-1.1413,-7.4161,703.1733
27,0.405,0.6026,0.6039,0.0,0.031,60.0,64.3445,28.7356,42.1053,0.6316,0.7441,6.8497,-1.2622,-10.9934,703.1792
28,0.42,0.6005,0.6054,0.0,0.0162,60.0,62.2638,30.4598,31.5789,0.6304,0.7328,6.9413,-1.3739,-13.6201,703.1946
29,0.435,0.5999,0.6049,0.0,0.0211,60.0,62.9472,34.4828,30.4094,0.637,0.7203,7.1403,-1.5284,-11.6393,703.1653
30,0.45,0.6012,0.6032,0.0,0.0374,60.0,65.2385,35.0575,29.2398,0.6441,0.7068,7.2484,-1.416,-7.0177,703.0094
31,0.465,0.6022,0.6024,0.0,0.0452,60.0,66.3316,33.3333,30.9942,0.6472,0.6979,7.4174,-1.3529,-5.9122,702.8459
32,0.48,0.6019,0.6029,0.0,0.0403,60.0,65.6391,35.0575,36.2573,0.6533,0.6998,7.6481,-1.3246,-7.219,702.664
33,0.495,0.5997,0.6049,0.0,0.0208,60.0,62.9128,30.4598,30.4094,0.65,0.6905,7.7157,-1.4402,-10.9791,702.6992
34,0.51,0.5994,0.6056,0.0,0.0136,60.0,61.905,34.4828,36.2573,0.6548,0.6931,7.8518,-1.5729,-10.533,702.6985
35,0.525,0.6013,0.6053,0.0,0.0174,60.0,62.4318,29.8851,37.4269,0.6502,0.6976,8.0355,-1.5784,-8.2778,702.5738
36,0.54,0.6035,0.603,0.0,0.0394,60.0,65.5141,31.6092,35.6725,0.6494,0.6984,8.1385,-1.4973,-4.6664,702.4438
37,0.555,0.6042,0.6024,0.0,0.0452,60.0,66.3342,36.2069,36.8421,0.6575,0.7013,8.3361,-1.3815,-5.1575,702.2227
38,0.57,0.6034,0.6042,0.0,0.0279,60.0,63.9074,25.2874,33.9181,0.6438,0.6984,8.4767,-1.4798,-8.1448,702.1945
39,0.585,0.6015,0.6059,0.0,0.0106,60.0,61.4889,37.931,35.6725,0.6558,0.6992,8.5531,-1.5885,-11.4641,702.2187
40,0.6,0.6011,0.6062,0.0,0.0085,60.0,61.1945,24.7126,29.2398,0.6411,0.6877,8.7506,-1.7506,-9.8354,702.1963
41,0.615,0.6026,0.6046,0.0,0.0238,60.0,63.3268,29.8851,38.5965,0.6379,0.6949,8.8637,-1.6415,-5.5108,702.0392
42,0.63,0.6036,0.6033,0.0,0.037,60.0,65.1738,28.1609,32.7485,0.6316,0.6905,9.0073,-1.5744,-3.582,701.8908
