cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm,dark_l0,dark_l1,dark_l2,dark_l3,dark_r0,dark_r1,dark_r2,dark_r3,rate_l0,rate_l1,rate_l2,rate_l3,rate_r0,rate_r1,rate_r2,rate_r3
0,0.0,0.5651,0.5541,0.1984,0.2009,87.7815,88.1288,46.5517,39.7661,0.9563,0.7772,2.958,-0.2366,-6.1887,7.046,0.0,0.0,0.0,0.7938,0.5094,0.1783,0.1159,0.0,60.0,60.0,60.0,171.1262,131.3187,84.9676,76.2289,60.0
1,0.015,0.5609,0.5556,0.2141,0.1669,89.974,83.371,43.6782,49.1228,0.9507,0.7946,3.1451,-0.2176,-5.4091,6.8584,0.0,0.0,0.0,0.8564,0.4214,0.1426,0.1037,0.0,60.0,60.0,60.0,179.8959,118.99,79.9692,74.5247,60.0
2,0.03,0.5557,0.5565,0.2345,0.1492,92.8366,80.8893,55.1724,43.2749,0.9681,0.7994,3.1891,-0.3961,-13.5042,6.8224,0.0,0.0,0.0,0.9382,0.3382,0.1104,0.0979,0.0503,60.0,60.0,60.0,191.3464,107.355,75.4563,73.7038,67.0423
3,0.045,0.554,0.5626,0.207,0.1195,88.9801,76.7313,48.2759,35.0877,0.9704,0.7886,3.3695,-0.5508,-12.7557,6.6534,0.0,0.0,0.0,0.828,0.2979,0.1027,0.0774,0.0,60.0,60.0,60.0,175.9204,101.7059,74.3784,70.841,60.0
4,0.06,0.5521,0.5669,0.2004,0.1059,88.051,74.8275,45.977,47.9532,0.9679,0.8028,3.6235,-0.6126,-10.9353,6.4059,0.0,0.0,0.0,0.8015,0.256,0.0904,0.0772,0.0,60.0,60.0,60.0,172.2039,95.841,72.6547,70.8143,60.0
5,0.075,0.5522,0.5688,0.1945,0.1144,87.2255,76.0109,40.8046,40.3509,0.9556,0.8014,3.7335,-0.4784,-6.5058,6.2848,0.0,0.0,0.0212,0.7567,0.2709,0.1041,0.0825,0.0,60.0,60.0,62.9611,165.9409,97.9253,74.5691,71.5493,60.0
6,0.09,0.5492,0.5689,0.2104,0.1076,89.455,75.0642,49.4253,39.7661,0.9613,0.7991,3.9748,-0.3512,-8.2208,6.0355,0.0,0.0,0.0089,0.8326,0.2733,0.0946,0.0626,0.0,60.0,60.0,61.2493,176.5707,98.2555,73.2411,68.7603,60.0
7,0.105,0.5455,0.5704,0.239,0.0759,93.4602,70.631,58.046,41.5205,0.9833,0.8003,4.1018,-0.5075,-12.5031,5.92,0.0,0.0,0.0,0.956,0.2019,0.0653,0.0366,0.0,60.0,60.0,60.0,193.8408,88.2638,69.1384,65.1218,60.0
8,0.12,0.541,0.5749,0.2519,0.0575,95.2609,68.0472,44.2529,38.0117,0.9762,0.7948,4.1733,-0.657,-16.9566,5.8637,0.0,0.0075,0.0,1.0,0.1578,0.0648,0.0074,0.0,60.0,61.0436,60.0,200.0,82.0882,69.0705,61.03,60.0
9,0.135,0.5396,0.5784,0.2423,0.056,93.9255,67.8374,52.2989,39.1813,0.9856,0.792,4.4459,-0.88,-15.5564,5.6234,0.0264,0.0068,0.0839,0.8522,0.1456,0.0783,0.0,0.0,63.6914,60.9555,71.7507,179.3043,80.3909,70.9589,60.0,60.0
