cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm,dark_l0,dark_l1,dark_l2,dark_l3,dark_r0,dark_r1,dark_r2,dark_r3,rate_l0,rate_l1,rate_l2,rate_l3,rate_r0,rate_r1,rate_r2,rate_r3
0,0.0,0.59,0.5956,0.0147,0.101,62.0602,74.1387,33.3333,35.6725,0.6836,0.696,2.8265,0.3036,7.803,10.0999,0.0,0.0589,0.0,0.0,0.3503,0.0536,0.0,0.0,60.0,68.2406,60.0,60.0,109.0468,67.5078,60.0,60.0
1,0.015,0.5889,0.5968,0.0119,0.0837,61.6646,71.7242,37.931,43.2749,0.6926,0.7101,3.0157,0.316,6.5331,10.1427,0.0295,0.018,0.0,0.0,0.2951,0.0398,0.0,0.0,64.1325,62.5258,60.0,60.0,101.3195,65.5774,60.0,60.0
2,0.03,0.5858,0.599,0.0386,0.0607,65.4009,68.4964,31.6092,38.0117,0.6884,0.7131,3.1137,0.2133,1.5606,10.2701,0.1543,0.0,0.0,0.0,0.21,0.0327,0.0,0.0,81.6037,60.0,60.0,60.0,89.4059,64.5798,60.0,60.0
3,0.045,0.5841,0.6004,0.0743,0.0505,70.4028,67.0727,39.0805,31.5789,0.6992,0.7039,3.3209,0.0891,2.9055,10.4524,0.2972,0.0,0.0,0.0,0.1595,0.0426,0.0,0.0,101.6111,60.0,60.0,60.0,82.3326,65.9584,60.0,60.0
4,0.06,0.5847,0.6004,0.0847,0.0432,71.8519,66.043,36.7816,39.7661,0.7044,0.7108,3.4737,0.1795,5.6341,10.4168,0.3386,0.0,0.0,0.0,0.1395,0.0331,0.0,0.0,107.4075,60.0,60.0,60.0,79.5349,64.637,60.0,60.0
5,0.075,0.5857,0.5993,0.0898,0.0522,72.5724,67.3021,33.908,39.1813,0.7035,0.7159,3.5491,0.2963,9.5748,10.3323,0.3592,0.0,0.0,0.0,0.1676,0.041,0.0,0.0,110.2894,60.0,60.0,60.0,83.4705,65.7381,60.0,60.0
6,0.09,0.5855,0.5994,0.0917,0.0487,72.8346,66.8205,46.5517,32.7485,0.7275,0.7086,3.7631,0.4649,8.1161,10.2508,0.3667,0.0,0.0,0.0,0.1641,0.0308,0.0,0.0,111.3385,60.0,60.0,60.0,82.9743,64.3078,60.0,60.0
7,0.105,0.5831,0.6014,0.1129,0.0198,75.8021,62.779,36.7816,35.0877,0.73,0.7063,3.8926,0.3546,3.8778,10.4012,0.4515,0.0,0.0,0.0,0.0794,0.0,0.0,0.0,123.2086,60.0,60.0,60.0,71.1158,60.0,60.0,60.0
8,0.12,0.5805,0.6031,0.1468,0.0087,80.5532,61.2225,41.954,28.655,0.7424,0.6923,4.0266,0.2686,1.2827,10.5315,0.5872,0.0,0.0,0.0,0.0349,0.0,0.0,0.0,142.2128,60.0,60.0,60.0,64.8899,60.0,60.0,60.0
9,0.135,0.5792,0.6027,0.1649,0.0047,83.0878,60.6603,45.4023,36.8421,0.7604,0.6948,4.282,0.1731,2.728,10.7193,0.6597,0.0,0.0,0.0,0.0142,0.0046,0.0,0.0,152.3512,60.0,60.0,60.0,61.9948,60.6465,60.0,60.0
10,0.15,0.5805,0.6007,0.1585,0.0098,82.1879,61.3715,44.2529,34.5029,0.7744,0.6927,4.3695,0.307,7.2984,10.6323,0.6339,0.0,0.0,0.0,0.0354,0.0038,0.0,0.0,148.7515,60.0,60.0,60.0,64.9557,60.5302,60.0,60.0
11,0.165,0.5813,0.5997,0.1618,0.0208,82.6529,62.9162,44.2529,38.5965,0.7871,0.6985,4.5253,0.4157,7.5967,10.599,0.6472,0.0,0.0,0.0,0.0757,0.0076,0.0,0.0,150.6115,60.0,60.0,60.0,70.5966,61.0682,60.0,60.0
12,0.18,0.58,0.6003,0.1727,0.0136,84.1843,61.8998,35.6322,28.655,0.7817,0.6852,4.739,0.4786,5.6539,10.6356,0.691,0.0,0.0,0.0,0.0543,0.0,0.0,0.0,156.7373,60.0,60.0,60.0,67.5993,60.0,60.0,60.0
13,0.195,0.577,0.6022,0.196,0.0,87.4408,60.0,46.5517,30.9942,0.7982,0.6776,4.8351,0.3689,1.317,10.7767,0.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.7633,60.0,60.0,60.0,60.0,60.0,60.0,60.0
14,0.21,0.576,0.603,0.2158,0.0,90.2147,60.0,47.7011,25.1462,0.8153,0.6598,5.0303,0.2507,1.5323,10.9705,0.8633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.8589,60.0,60.0,60.0,60.0,60.0,60.0,60.0
15,0.225,0.5773,0.6026,0.2131,0.0,89.8367,60.0,48.8506,36.8421,0.8331,0.6654,5.2418,0.2918,3.5523,11.033,0.8525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.347,60.0,60.0,60.0,60.0,60.0,60.0,60.0
