cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm,dark_l0,dark_l1,dark_l2,dark_l3,dark_r0,dark_r1,dark_r2,dark_r3,rate_l0,rate_l1,rate_l2,rate_l3,rate_r0,rate_r1,rate_r2,rate_r3
0,0.0,0.5879,0.6164,0.109,0.0,75.2531,60.0,40.8046,36.8421,0.8283,0.7291,2.6265,-0.5317,-16.1522,705.6291,0.3233,0.1021,0.0105,0.0,0.0,0.0,0.0,0.0,105.2587,74.2897,61.4641,60.0,60.0,60.0,60.0,60.0
1,0.015,0.5895,0.6156,0.1002,0.0,74.033,60.0,35.6322,38.0117,0.8184,0.7313,2.8331,-0.7397,-14.5797,705.631,0.3131,0.0829,0.0049,0.0,0.0,0.0,0.0,0.0,103.8409,71.6088,60.6823,60.0,60.0,60.0,60.0,60.0
2,0.03,0.593,0.613,0.0637,0.0,68.9194,60.0,40.8046,33.3333,0.8193,0.7245,2.9943,-0.6463,-10.2971,705.4512,0.218,0.0369,0.0,0.0,0.0,0.0,0.0,0.0,90.5144,65.1631,60.0,60.0,60.0,60.0,60.0,60.0
3,0.045,0.5959,0.6102,0.0456,0.0044,66.3809,60.6116,35.6322,33.9181,0.8102,0.7194,3.1312,-0.5594,-7.0694,705.2931,0.1635,0.0188,0.0,0.0,0.0,0.0175,0.0,0.0,82.8885,62.6351,60.0,60.0,60.0,62.4465,60.0,60.0
4,0.06,0.5965,0.6087,0.0413,0.0097,65.7794,61.3628,28.1609,28.655,0.7875,0.7049,3.4085,-0.479,-8.8019,705.0407,0.1415,0.0236,0.0,0.0,0.0213,0.0176,0.0,0.0,79.8079,63.3098,60.0,60.0,62.9837,62.4677,60.0,60.0
5,0.075,0.5954,0.6093,0.0455,0.0002,66.3755,60.0332,36.2069,38.5965,0.7825,0.7105,3.4789,-0.6438,-14.1713,705.1081,0.1494,0.0328,0.0,0.0,0.0,0.0009,0.0,0.0,80.913,64.5892,60.0,60.0,60.0,60.1326,60.0,60.0
6,0.09,0.5953,0.6095,0.0563,0.004,67.8797,60.5613,33.908,30.4094,0.7735,0.7002,3.6224,-0.7765,-15.0952,705.1013,0.1842,0.041,0.0,0.0,0.0,0.016,0.0,0.0,85.7819,65.737,60.0,60.0,60.0,62.2453,60.0,60.0
7,0.105,0.5965,0.6078,0.0444,0.0149,66.2159,62.0913,33.908,30.4094,0.7654,0.6908,3.8455,-0.8932,-13.6556,705.0272,0.155,0.0226,0.0,0.0,0.0232,0.0366,0.0,0.0,81.704,63.1596,60.0,60.0,63.2413,65.1239,60.0,60.0
8,0.12,0.5994,0.6049,0.0158,0.0394,62.2118,65.5202,35.0575,29.2398,0.7603,0.6801,3.9593,-0.7959,-9.4582,704.8779,0.0632,0.0,0.0,0.0,0.0884,0.0537,0.0156,0.0,68.8473,60.0,60.0,60.0,72.3727,67.522,62.186,60.0
9,0.135,0.6008,0.6038,0.0089,0.0551,61.2498,67.7181,31.0345,38.5965,0.7479,0.6881,4.1535,-0.7082,-9.7147,704.679,0.0353,0.0004,0.0,0.0,0.1449,0.0591,0.0164,0.0,64.9418,60.0575,60.0,60.0,80.2894,68.28,62.3028,60.0
10,0.15,0.6012,0.605,0.0091,0.0456,61.2756,66.3889,31.0345,38.0117,0.7367,0.6942,4.3387,-0.7758,-12.113,704.5967,0.0364,0.0,0.0,0.0,0.1298,0.0454,0.0073,0.0,65.1023,60.0,60.0,60.0,78.1774,66.3536,61.0247,60.0
11,0.165,0.5992,0.6065,0.0246,0.0336,63.4395,64.7103,35.6322,30.4094,0.7354,0.6854,4.4047,-0.8958,-15.9959,704.6356,0.0895,0.0088,0.0,0.0,0.0907,0.0439,0.0,0.0,72.5325,61.2255,60.0,60.0,72.7,66.1412,60.0,60.0
12,0.18,0.5991,0.6067,0.0289,0.037,64.0481,65.1819,36.7816,35.6725,0.7365,0.6874,4.5671,-1.0847,-15.319,704.6556,0.1157,0.0,0.0,0.0,0.0866,0.0615,0.0,0.0,76.1924,60.0,60.0,60.0,72.1197,68.6081,60.0,60.0
13,0.195,0.6014,0.6054,0.0136,0.0457,61.9047,66.4012,39.0805,36.8421,0.7419,0.6913,4.7408,-1.0356,-12.1033,704.4986,0.0544,0.0,0.0,0.0,0.1167,0.0661,0.0,0.0,67.6187,60.0,60.0,60.0,76.3445,69.2605,60.0,60.0
14,0.21,0.6035,0.6033,0.0022,0.0668,60.3039,69.3467,28.1609,40.9357,0.7257,0.7026,4.8542,-0.9513,-8.3516,704.3589,0.0087,0.0,0.0,0.0,0.1855,0.0816,0.0,0.0,61.2155,60.0,60.0,60.0,85.9678,71.4192,60.0,60.0
15,0.225,0.604,0.6026,0.0,0.0712,60.0,69.9722,29.8851,37.4269,0.7144,0.7062,5.1119,-0.8575,-9.737,704.1111,0.0,0.0,0.0,0.0,0.2073,0.0776,0.0,0.0,60.0,60.0,60.0,60.0,89.0236,70.8652,60.0,60.0
16,0.24,0.6025,0.6041,0.0007,0.0498,60.0954,66.9697,29.3103,27.4854,0.703,0.6908,5.1896,-1.0067,-14.3048,704.1626,0.0027,0.0,0.0,0.0,0.147,0.0522,0.0,0.0,60.3817,60.0,60.0,60.0,80.5758,67.3032,60.0,60.0
17,0.255,0.6016,0.6053,0.0125,0.0472,61.749,66.6137,40.2299,36.2573,0.7138,0.6933,5.3024,-1.1235,-16.2676,704.1665,0.05,0.0,0.0,0.0,0.1317,0.0573,0.0,0.0,66.9961,60.0,60.0,60.0,78.4357,68.0193,60.0,60.0
18,0.27,0.6018,0.6045,0.0108,0.0506,61.5125,67.0892,35.0575,33.9181,0.7136,0.6912,5.5137,-1.2748,-14.5881,704.1258,0.0432,0.0,0.0,0.0,0.1299,0.0727,0.0,0.0,66.0499,60.0,60.0,60.0,78.1821,70.1747,60.0,60.0
19,0.285,0.6039,0.6024,0.0,0.0616,60.0,68.6223,33.908,39.7661,0.7112,0.7003,5.6264,-1.1753,-10.3102,703.9758,0.0,0.0,0.0,0.0,0.1671,0.0792,0.0,0.0,60.0,60.0,60.0,60.0,83.3982,71.0911,60.0,60.0
20,0.3,0.6049,0.6015,0.0,0.0747,60.0,70.4561,30.4598,37.4269,0.7024,0.7042,5.8072,-1.1086,-9.8829,703.8014,0.0,0.0,0.0,0.0,0.214,0.0822,0.0026,0.0,60.0,60.0,60.0,60.0,89.9602,71.5014,60.3627,60.0
21,0.315,0.6044,0.6025,0.0,0.0659,60.0,69.224,35.6322,35.0877,0.7044,0.7032,6.0195,-1.1337,-11.7624,703.6702,0.0,0.0,0.0,0.0,0.192,0.0657,0.0058,0.0,60.0,60.0,60.0,60.0,86.8819,69.2046,60.8097,60.0
22,0.33,0.602,0.6044,0.0042,0.0457,60.5929,66.3955,32.7586,32.7485,0.7006,0.698,6.0823,-1.2521,-15.4605,703.7104,0.0169,0.0,0.0,0.0,0.1278,0.0539,0.001,0.0,62.3718,60.0,60.0,60.0,77.8979,67.5449,60.1392,60.0
23,0.345,0.6013,0.605,0.0139,0.0454,61.9498,66.361,27.0115,38.5965,0.6861,0.7043,6.2216,-1.4195,-15.0164,703.7319,0.0557,0.0,0.0,0.0,0.1157,0.0661,0.0,0.0,67.7991,60.0,60.0,60.0,76.1917,69.2523,60.0,60.0
24,0.36,0.6031,0.6045,0.0038,0.0494,60.535,66.9189,32.1839,37.4269,0.683,0.7077,6.4033,-1.4013,-12.2311,703.5915,0.0153,0.0,0.0,0.0,0.1376,0.0601,0.0,0.0,62.1401,60.0,60.0,60.0,79.2579,68.4177,60.0,60.0
25,0.375,0.6047,0.6024,0.0,0.0713,60.0,69.9778,26.4368,38.0117,0.6691,0.712,6.5128,-1.3208,-8.4647,703.4573,0.0,0.0,0.0,0.0,0.2032,0.0718,0.0101,0.0,60.0,60.0,60.0,60.0,88.4475,70.0468,61.417,60.0
26,0.39,0.6048,0.6016,0.0,0.0798,60.0,71.1664,25.2874,51.462,0.6543,0.7411,6.7462,-1.2155,-9.2567,703.2185,0.0,0.0,0.0,0.0,0.2313,0.0684,0.0193,0.0,60.0,60.0,60.0,60.0,92.3796,69.5783,62.7077,60.0
27,0.405,0.6032,0.6035,0.0,0.0576,60.0,68.0667,27.0115,40.3509,0.6442,0.7466,6.856,-1.3451,-12.9676,703.2339,0.0,0.0,0.0,0.0,0.1728,0.0422,0.0156,0.0,60.0,60.0,60.0,60.0,84.186,65.9025,62.1785,60.0
28,0.42,0.6011,0.6049,0.0101,0.0474,61.4076,66.6314,22.9885,40.9357,0.6273,0.7526,6.9457,-1.4602,-15.6716,703.253,0.0402,0.0,0.0,0.0,0.1435,0.0399,0.0061,0.0,65.6304,60.0,60.0,60.0,80.086,65.5883,60.8514,60.0
29,0.435,0.6004,0.6044,0.012,0.0513,61.6811,67.1879,37.3563,30.4094,0.6398,0.7383,7.1427,-1.6232,-13.7092,703.2313,0.048,0.0,0.0,0.0,0.1357,0.0539,0.0157,0.0,66.7245,60.0,60.0,60.0,79.0044,67.549,62.1982,60.0
30,0.45,0.6017,0.6027,0.0,0.0614,60.0,68.5924,31.6092,33.9181,0.64,0.7319,7.2552,-1.5127,-9.0135,703.0736,0.0,0.0,0.0,0.0,0.1599,0.0555,0.0301,0.0,60.0,60.0,60.0,60.0,82.3874,67.7744,64.2077,60.0
31,0.465,0.6027,0.602,0.0,0.0735,60.0,70.2913,31.0345,34.5029,0.639,0.7272,7.4261,-1.4509,-7.7145,702.9097,0.0,0.0,0.0,0.0,0.2049,0.0645,0.0246,0.0,60.0,60.0,60.0,60.0,88.68,69.0358,63.4494,60.0
32,0.48,0.6022,0.6025,0.0,0.066,60.0,69.2335,34.4828,40.9357,0.6448,0.7351,7.6661,-1.428,-9.0267,702.7252,0.0,0.0,0.0,0.0,0.1854,0.0562,0.0222,0.0,60.0,60.0,60.0,60.0,85.9562,67.8724,63.1055,60.0
33,0.495,0.5999,0.6045,0.0083,0.0411,61.1655,65.7481,30.4598,35.6725,0.6423,0.7323,7.7326,-1.546,-12.6988,702.7628,0.0333,0.0,0.0,0.0,0.1093,0.044,0.011,0.0,64.6621,60.0,60.0,60.0,75.2967,66.1555,61.5401,60.0
34,0.51,0.5994,0.6053,0.0181,0.0381,62.5388,65.3281,32.1839,35.6725,0.6433,0.7298,7.8663,-1.6829,-12.1244,702.7669,0.0725,0.0,0.0,0.0,0.0909,0.0609,0.0004,0.0,70.1552,60.0,60.0,60.0,72.7296,68.5264,60.0563,60.0
35,0.525,0.6013,0.6052,0.011,0.041,61.5365,65.7452,33.908,36.2573,0.6476,0.7286,8.0493,-1.6899,-9.7212,702.6438,0.0439,0.0,0.0,0.0,0.1075,0.0566,0.0,0.0,66.1461,60.0,60.0,60.0,75.0569,67.9238,60.0,60.0
36,0.54,0.6034,0.6032,0.0,0.0599,60.0,68.384,25.8621,47.3684,0.636,0.7485,8.155,-1.6076,-5.9011,702.511,0.0,0.0,0.0,0.0,0.1676,0.0719,0.0,0.0,60.0,60.0,60.0,60.0,83.4704,70.0657,60.0,60.0
37,0.555,0.6041,0.6029,0.0,0.0674,60.0,69.4429,32.7586,42.1053,0.6387,0.7566,8.3654,-1.4945,-6.3125,702.283,0.0,0.0,0.0,0.0,0.2016,0.0682,0.0,0.0,60.0,60.0,60.0,60.0,88.2231,69.5483,60.0,60.0
38,0.57,0.6033,0.6047,0.0,0.0487,60.0,66.8209,26.4368,29.2398,0.629,0.7396,8.5133,-1.5931,-9.2325,702.2498,0.0,0.0,0.0,0.0,0.1529,0.042,0.0,0.0,60.0,60.0,60.0,60.0,81.404,65.8798,60.0,60.0
39,0.585,0.6013,0.6067,0.0131,0.0352,61.8304,64.9254,31.0345,34.5029,0.6291,0.7342,8.5864,-1.7065,-12.4274,702.2797,0.0523,0.0,0.0,0.0,0.1099,0.0308,0.0,0.0,67.3217,60.0,60.0,60.0,75.3831,64.3185,60.0,60.0
40,0.6,0.6009,0.6068,0.0161,0.0343,62.2489,64.8008,29.3103,36.8421,0.6259,0.7337,8.7794,-1.8715,-10.5358,702.2626,0.0643,0.0,0.0,0.0,0.0971,0.0401,0.0,0.0,68.9954,60.0,60.0,60.0,73.5958,65.6073,60.0,60.0
41,0.615,0.6023,0.6051,0.0017,0.0407,60.2327,65.7027,31.6092,36.2573,0.6274,0.7322,8.8934,-1.756,-5.9494,702.1002,0.0066,0.0,0.0,0.0,0.1224,0.0405,0.0,0.0,60.9308,60.0,60.0,60.0,77.1397,65.6712,60.0,60.0
42,0.63,0.6033,0.6039,0.0,0.0563,60.0,67.8769,28.7356,33.9181,0.6232,0.7264,9.0389,-1.6873,-3.9624,701.9493,0.0,0.0,0.0,0.0,0.1776,0.0474,0.0,0.0,60.0,60.0,60.0,60.0,84.8671,66.6406,60.0,60.0
43,0.645,0.6026,0.6037,0.0,0.0531,60.0,67.4337,30.4598,38.0117,0.6227,0.7288,9.2921,-1.6172,-5.025,701.7222,0.0,0.0,0.0,0.0,0.1752,0.0372,0.0,0.0,60.0,60.0,60.0,60.0,84.5212,65.2134,60.0,60.0
44,0.66,0.6,0.6054,0.007,0.0303,60.979,64.2382,33.908,36.2573,0.629,0.7278,9.3677,-1.7371,-8.9849,701.755,0.028,0.0,0.0,0.0,0.0994,0.0177,0.004,0.0,63.916,60.0,60.0,60.0,73.9095,62.4846,60.5588,60.0
45,0.675,0.5989,0.6063,0.0182,0.0269,62.5497,63.7698,34.4828,28.0702,0.6357,0.7114,9.5023,-1.8505,-8.9253,701.7421,0.0728,0.0,0.0,0.0,0.0781,0.0268,0.0028,0.0,70.1988,60.0,60.0,60.0,70.9287,63.7562,60.3941,60.0
46,0.69,0.5997,0.6054,0.014,0.0352,61.9666,64.926,31.0345,29.8246,0.6352,0.6998,9.6928,-1.893,-6.9181,701.6393,0.0562,0.0,0.0,0.0,0.0902,0.035,0.0155,0.0,67.8665,60.0,60.0,60.0,72.6331,64.9023,62.1685,60.0
47,0.705,0.6014,0.6031,0.001,0.0561,60.1383,67.8575,35.6322,38.0117,0.6436,0.7048,9.7893,-1.8031,-3.1335,701.5076,0.004,0.0,0.0,0.0,0.1411,0.0513,0.0322,0.0,60.5533,60.0,60.0,60.0,79.751,67.1777,64.5014,60.0
