seed,no_pillar,pillar_y,readout,stim,spatial,n_strips,n_read_left,n_read_right,turn_deg,path_mm,dx_mm,dy_mm,dark_left_mean,dark_right_mean,dark_left_max,dark_right_max,cmd_left_mean,cmd_right_mean,cmd_asym_mean,corr_dark_cmd,corr_dark_cmd_lag1,dist_min_mm,dist_end_mm,elapsed_s,condition,scene,input
0,False,0.0,population,visual,True,4,116,114,45.216531770638255,16.176953415924345,14.208607418987121,7.733647071989416,0.06721870705485344,0.31486268404725704,0.10547981411218643,0.75,0.7096975854680702,0.9029415480149854,-0.19324396254691492,0.6999495305990626,0.7320775498455206,1.827990830969451,10.744122048407108,40.70917700001155,A1: впереди,A1,пространственный
1,False,0.0,population,visual,True,4,116,114,-64.45334974286573,15.737798585637375,11.728314687965135,-10.494043019835159,0.300207888726145,0.03057645956752822,0.75,0.20091992616653442,0.932356461805095,0.672035809702403,0.26032065210269206,0.6468230053595904,0.6801558357953077,2.342540030577254,11.709289246391283,52.609113402999355,A1: впереди,A1,пространственный
2,False,0.0,population,visual,True,4,116,114,-27.343522027288543,17.03260915496192,13.996495781854273,-9.706074410091253,0.24505564998427873,0.08038000369328074,0.75,0.1251019835472107,0.8908066337918599,0.7468837769020675,0.1439228568897925,0.7401660009876545,0.7608568953965859,2.9928368113827313,12.198046900671972,65.65047891899303,A1: впереди,A1,пространственный
3,False,0.0,population,visual,True,4,116,114,42.028480663239634,16.377494537422237,14.103186288827542,8.326011279473624,0.08705483440309764,0.30399700058740564,0.1309148073196411,0.75,0.7135438681088436,0.8978277339231662,-0.18428386581432238,0.7564435584816472,0.7785368119440221,1.8023062537359458,11.068250654929109,95.76600842499465,A1: впереди,A1,пространственный
4,False,0.0,population,visual,True,4,116,114,-36.450652787478106,16.76887373848271,14.976628607221961,-7.542925295832903,0.30589999563089804,0.07605770897120237,1.0,0.12421578913927078,0.8967662487752183,0.7370533473647662,0.15971290141045189,0.721468436410875,0.7431918966464904,1.5100307614487678,11.316888718329126,133.80517599299492,A1: впереди,A1,пространственный
5,False,0.0,population,visual,True,4,116,114,65.3707270835639,15.32630565943723,11.44799526763088,10.19014472511547,0.03443954923655838,0.2817229739747563,0.06684271991252899,0.75,0.6537324079935923,0.9167825464485817,-0.26305013845498926,0.7539409244351108,0.7769316692685024,2.334035910698757,11.69836711038683,153.7606843359972,A1: впереди,A1,пространственный
6,False,0.0,population,visual,True,4,116,114,-3.850104520654696,17.903175033556604,17.88612841617746,0.7810803813780596,0.11702693272382021,0.1452721258427482,0.4161539077758789,0.5454010963439941,0.8418441149140911,0.8401990935221637,0.0016450213919272328,-0.11006375673086362,-0.029735665934561464,0.34292607492072574,10.825154302497255,183.44295218399202,A1: впереди,A1,пространственный
7,False,0.0,population,visual,True,4,116,114,10.796291222871133,17.672916708989785,17.619101743109056,1.3781287199901826,0.09995185551728354,0.15949601310305297,0.4673715829849243,0.5646733045578003,0.7957243638454342,0.861930947922352,-0.066206584076918,0.15063012544480836,0.18140513327191565,0.10037869529015613,10.47913178734008,195.61040530800528,A1: впереди,A1,пространственный
0,False,10.0,population,visual,True,4,116,114,-15.091470441560688,15.426995159883576,15.248867311581993,-2.337568261428416,0.07517858181789051,0.028266951660334598,0.25,0.07254967093467712,0.7610673466925028,0.6788871759005971,0.08218017079190547,0.834993465781519,0.8686878905505092,9.682793593457163,21.26155938523212,208.64308396300476,B1: сбоку слева,B1,пространственный
1,False,10.0,population,visual,True,4,116,114,2.3889341285509147,14.591884900179116,14.481175417145352,-1.7940633985287215,0.02715172204472765,0.01260001610047766,0.13108812272548676,0.20091992616653442,0.6810146073231688,0.6768139891846264,0.004200618138542354,0.5583907722747322,0.638889059031173,10.647497880771159,21.17546446959651,199.34479687199928,B1: сбоку слева,B1,пространственный
2,False,10.0,population,visual,True,4,116,114,20.162672624994315,15.222067382412366,15.119017479639178,-1.7682324069724105,0.018218382480554282,0.04511390814557672,0.17391997575759888,0.08451516181230545,0.6807621441334275,0.732148172698006,-0.051386028564578155,0.8150040960590952,0.8413073295843382,10.856798475149354,21.593463886408426,211.6112636100006,B1: сбоку слева,B1,пространственный
3,False,10.0,population,visual,True,4,116,114,-14.53751319963564,15.02797914384296,14.881099693286982,-2.0959554065468837,0.07256722450290909,0.010551191682898206,0.25,0.10099045187234879,0.740715881726231,0.6631298956528653,0.07758598607336598,0.7919493052875363,0.8313368116949248,10.099915149317539,21.27478395098992,219.49120871500054,B1: сбоку слева,B1,пространственный
4,False,10.0,population,visual,True,4,116,114,10.218639063008936,15.101932022196518,15.076470636502629,0.8765751249714101,0.016114279569592327,0.04270297430455685,0.06691224873065948,0.07077383995056152,0.6642083807947832,0.7279264068998547,-0.06371802610507149,0.050863148973872806,0.12323455580353515,10.681001802745225,20.500519620776366,227.47134875299525,B1: сбоку слева,B1,пространственный
5,False,10.0,population,visual,True,4,116,114,-7.862156103130758,15.74150350718267,15.72489243528489,-0.7229734195420962,0.07671808406244963,0.034141310220584274,0.24418875575065613,0.08478852361440659,0.7500852816129883,0.7122933914183818,0.037791890194606485,0.6721470104150455,0.7296970064334443,9.93054396352119,21.406838713687563,223.69951416400727,B1: сбоку слева,B1,пространственный
6,False,10.0,population,visual,True,4,116,114,-15.022899066774727,15.264360159818674,15.050134206240335,-2.5483625061623747,0.06829882924514095,0.02299036560335594,0.24957364797592163,0.06948661059141159,0.7566343899865651,0.6767219762590044,0.0799124137275608,0.8158968394806622,0.8475179041700638,10.21828234988683,21.89486583802998,229.93798904601135,B1: сбоку слева,B1,пространственный
7,False,10.0,population,visual,True,4,116,114,8.03020407381453,15.13662380185177,15.068979803757959,1.4294151925596315,0.0260401357212686,0.04423416908830404,0.08889666199684143,0.1746729165315628,0.6674423919900724,0.7263829026899142,-0.05894051069984162,0.38322581500988656,0.43975680974365017,10.416484198757571,19.816433404367277,229.30287972399674,B1: сбоку слева,B1,пространственный
0,False,2.0,population,visual,True,4,116,114,-8.301149610481929,18.2015486107233,18.161477163103534,1.2071118765848179,0.18500594137236476,0.12184881896246225,0.648995041847229,0.33701080083847046,0.8772063697562626,0.8375715544264345,0.039634815329828085,0.29187309050996657,0.34059159880108497,0.3811458921731805,10.689481580461278,221.26433581199672,A2: спереди-слева,A2,пространственный
