cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.6137,0.5951,0.0,0.1204,100.0,136.1056,66.6667,133.3333,0.9949,1.0,2.7906,-0.071,2.2709,705.1867
1,0.015,0.6119,0.5961,0.0,0.1097,100.0,132.9207,0.0,66.6667,0.9002,1.0,3.086,0.0424,0.3961,704.8979
2,0.03,0.6084,0.5994,0.0,0.0778,100.0,123.3537,0.0,66.6667,0.8146,1.0,3.1988,-0.115,-5.0809,704.9301
3,0.045,0.6065,0.6014,0.0,0.0577,100.0,117.2963,0.0,0.0,0.737,1.0,3.3955,-0.2433,-5.0984,704.8825
4,0.06,0.6064,0.6008,0.0,0.0638,100.0,119.1494,66.6667,0.0,0.7616,1.0,3.6385,-0.2803,-2.511,704.7376
5,0.075,0.6081,0.5991,0.0,0.0805,100.0,124.1354,0.0,133.3333,0.6891,1.0,3.728,-0.133,3.0002,704.57
6,0.09,0.608,0.5998,0.0,0.0734,100.0,122.0344,0.0,66.6667,0.6235,1.0,3.9688,0.0374,2.8668,704.2795
7,0.105,0.6066,0.6022,0.0,0.0494,100.0,114.8217,66.6667,0.0,0.6589,1.0,4.2152,0.0023,0.8159,704.1308
8,0.12,0.603,0.6055,0.0,0.017,100.0,105.1108,0.0,0.0,0.5962,1.0,4.3141,-0.1272,-3.1032,704.1532
9,0.135,0.6019,0.6059,0.0,0.0136,100.0,104.0784,66.6667,0.0,0.6341,1.0,4.5279,-0.3007,-0.9483,704.1259
10,0.15,0.6035,0.6055,0.0,0.017,100.0,105.1002,0.0,133.3333,0.5738,1.0,4.6383,-0.1335,4.4221,703.9295
11,0.165,0.6043,0.6047,0.0,0.0248,100.0,107.4536,133.3333,66.6667,0.7085,1.0,4.7536,-0.0123,8.2227,703.7622
12,0.18,0.6043,0.6047,0.0,0.0247,100.0,107.4087,0.0,66.6667,0.6411,1.0,5.0869,0.1611,7.0033,703.4045
13,0.195,0.6014,0.6074,0.0,0.0,100.0,100.0,66.6667,0.0,0.6748,1.0,5.2214,0.0507,3.3883,703.3884
14,0.21,0.5994,0.6093,0.0079,0.0,102.3599,100.0,66.6667,0.0,0.7052,1.0,5.378,-0.0384,2.9008,703.3415
15,0.225,0.5997,0.6078,0.0052,0.0,101.5594,100.0,66.6667,0.0,0.7328,1.0,5.6232,-0.0921,5.8565,703.2074
16,0.24,0.6014,0.6056,0.0,0.0157,100.0,104.7074,66.6667,0.0,0.7577,1.0,5.698,0.064,11.5069,703.0437
17,0.255,0.6021,0.6058,0.0,0.0142,100.0,104.2455,0.0,0.0,0.6856,1.0,5.8973,0.2321,11.3035,702.7841
18,0.27,0.6014,0.6076,0.0,0.0,100.0,100.0,66.6667,66.6667,0.7151,1.0,6.1721,0.2835,9.8681,702.5543
19,0.285,0.598,0.6106,0.0225,0.0,106.7384,100.0,66.6667,0.0,0.7417,1.0,6.2892,0.1688,6.1465,702.5536
20,0.3,0.5971,0.6108,0.0307,0.0,109.2009,100.0,66.6667,0.0,0.7658,1.0,6.5067,0.0293,7.7567,702.5001
21,0.315,0.5993,0.6104,0.0089,0.0,102.6584,100.0,66.6667,0.0,0.7876,1.0,6.6473,0.181,12.2548,702.2934
22,0.33,0.6009,0.608,0.0,0.0,100.0,100.0,66.6667,0.0,0.8073,1.0,6.7248,0.3249,16.9079,702.1365
23,0.345,0.6013,0.6071,0.0,0.0016,100.0,100.4839,0.0,0.0,0.7305,1.0,6.9997,0.5641,15.6535,701.7731
24,0.36,0.5994,0.6085,0.0084,0.0,102.5265,100.0,66.6667,66.6667,0.7557,1.0,7.1766,0.4755,11.3302,701.712
25,0.375,0.5975,0.6102,0.0272,0.0,108.1607,100.0,66.6667,0.0,0.7784,1.0,7.3418,0.3866,8.9771,701.6592
26,0.39,0.5976,0.6084,0.0258,0.0,107.7373,100.0,133.3333,0.0,0.8937,0.9631,7.6427,0.318,11.5849,701.4968
27,0.405,0.5998,0.6057,0.0044,0.0148,101.3176,104.4455,66.6667,0.0,0.9033,0.8714,7.7073,0.5029,17.5071,701.3198
