cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.5604,0.557,0.1452,0.2724,143.5698,181.7322,66.6667,66.6667,0.8864,1.0,2.5303,0.6608,10.1543,9.7543
1,0.015,0.5585,0.5585,0.1655,0.2572,149.6453,177.1557,66.6667,0.0,0.8864,1.0,2.68,0.5262,4.429,9.6427
2,0.03,0.5581,0.5629,0.1695,0.2121,150.8513,163.6254,66.6667,200.0,0.8864,1.0,2.8786,0.4349,3.266,9.4752
3,0.045,0.5591,0.5659,0.1596,0.1808,147.8716,154.2305,66.6667,66.6667,0.8864,1.0,3.1648,0.3777,5.4583,9.2161
4,0.06,0.5619,0.5674,0.1301,0.1656,139.0162,149.6675,133.3333,133.3333,0.9707,1.0,3.2507,0.5484,11.211,9.0863
5,0.075,0.5621,0.5663,0.128,0.1764,138.394,152.913,0.0,133.3333,0.8783,1.0,3.4525,0.7236,11.1008,8.8454
6,0.09,0.5598,0.5662,0.1522,0.1773,145.6599,153.2023,66.6667,133.3333,0.8791,1.0,3.725,0.7658,9.0246,8.5713
7,0.105,0.5556,0.5679,0.1964,0.16,158.9145,148.0061,66.6667,133.3333,0.8798,1.0,3.8492,0.6319,4.0718,8.4878
8,0.12,0.5547,0.5714,0.2057,0.1247,161.7038,137.4041,133.3333,66.6667,0.9648,1.0,4.1152,0.4695,5.197,8.281
9,0.135,0.5567,0.5744,0.1849,0.093,155.4602,127.9145,66.6667,0.0,0.9573,1.0,4.3046,0.6061,9.1677,8.0592
10,0.15,0.5576,0.5725,0.1746,0.1129,152.3767,133.8695,66.6667,66.6667,0.9506,1.0,4.3837,0.7667,14.4946,7.937
11,0.165,0.5557,0.5684,0.1949,0.1551,158.4749,146.5171,66.6667,66.6667,0.9444,1.0,4.6681,1.0123,12.7162,7.5965
12,0.18,0.5526,0.5665,0.2277,0.1746,168.3129,152.3776,133.3333,133.3333,1.0,1.0,4.8483,0.8797,7.2389,7.4594
13,0.195,0.5489,0.5681,0.2656,0.1585,179.6761,147.5597,133.3333,133.3333,1.0,1.0,5.0317,0.7675,3.7152,7.3172
14,0.21,0.5474,0.5703,0.2819,0.1358,184.5742,140.7278,66.6667,66.6667,1.0,1.0,5.396,0.6523,6.4096,7.0089
