cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.6141,0.568,0.0,0.045,100.0,113.4885,0.0,66.6667,0.0,1.0,2.8211,0.3114,8.375,9.758
1,0.015,0.613,0.5692,0.0,0.032,100.0,109.5985,66.6667,0.0,0.0901,1.0,3.033,0.3529,8.7991,9.5733
2,0.03,0.6099,0.572,0.0,0.0026,100.0,100.7718,0.0,66.6667,0.0815,1.0,3.1262,0.2844,6.0466,9.4621
3,0.045,0.6083,0.5731,0.0,0.0,100.0,100.0,66.6667,0.0,0.1638,1.0,3.2574,0.2056,9.156,9.3117
4,0.06,0.6086,0.5739,0.0,0.0,100.0,100.0,0.0,0.0,0.1482,1.0,3.2935,0.3396,13.7679,9.325
5,0.075,0.6086,0.5742,0.0,0.0,100.0,100.0,133.3333,66.6667,0.3143,1.0,3.3264,0.4689,17.7512,9.3415
6,0.09,0.608,0.5767,0.0,0.0,100.0,100.0,0.0,0.0,0.2844,1.0,3.5614,0.6706,18.9776,9.2023
7,0.105,0.6051,0.5793,0.0234,0.0,107.0153,100.0,0.0,0.0,0.2573,1.0,3.7117,0.6659,18.4715,9.0628
8,0.12,0.6026,0.5813,0.0478,0.0,114.3501,100.0,66.6667,0.0,0.3229,1.0,3.8,0.6164,18.3207,8.962
9,0.135,0.6021,0.5799,0.0525,0.0,115.753,100.0,133.3333,0.0,0.4724,1.0,3.9554,0.6025,21.2924,8.8144
10,0.15,0.6023,0.5786,0.0514,0.0,115.4252,100.0,66.6667,0.0,0.5175,0.9927,3.9639,0.7729,28.4166,8.8777
11,0.165,0.6031,0.579,0.0435,0.0,113.0447,100.0,0.0,0.0,0.4682,0.8982,4.0686,0.941,29.1893,8.8566
12,0.18,0.6021,0.5797,0.0531,0.0,115.93,100.0,66.6667,0.0,0.5138,0.8128,4.2705,1.1254,29.5495,8.7616
13,0.195,0.5989,0.5829,0.0846,0.0,125.3819,100.0,66.6667,0.0,0.5549,0.7354,4.3735,1.0764,27.0763,8.6476
14,0.21,0.5979,0.584,0.0945,0.0,128.3459,100.0,66.6667,0.0,0.5922,0.6654,4.5271,1.0416,28.7576,8.4958
15,0.225,0.5995,0.5833,0.0788,0.0,123.632,100.0,66.6667,0.0,0.6259,0.6021,4.6221,1.1653,31.6043,8.4725
16,0.24,0.601,0.5809,0.064,0.0,119.1937,100.0,66.6667,66.6667,0.6565,0.7465,4.6543,1.2877,35.2373,8.5055
17,0.255,0.6017,0.5801,0.0572,0.0,117.1667,100.0,66.6667,0.0,0.6841,0.6755,4.7455,1.5089,35.2465,8.5416
18,0.27,0.6007,0.5814,0.0668,0.0,120.0418,100.0,66.6667,0.0,0.7091,0.6112,4.9044,1.5133,31.5414,8.4093
19,0.285,0.5989,0.5827,0.0841,0.0,125.2334,100.0,0.0,0.0,0.6416,0.553,5.0227,1.4675,28.5502,8.285
20,0.3,0.5988,0.582,0.0857,0.0,125.7189,100.0,66.6667,0.0,0.6706,0.5004,5.2636,1.4745,29.2778,8.0871
21,0.315,0.6009,0.5789,0.0643,0.0,119.3014,100.0,66.6667,0.0,0.6969,0.4528,5.2949,1.6167,33.3476,8.1408
22,0.33,0.6027,0.5768,0.0473,0.0,114.204,100.0,66.6667,0.0,0.7206,0.4097,5.3645,1.7428,33.7813,8.1562
23,0.345,0.6023,0.5763,0.0509,0.0,115.2816,100.0,66.6667,66.6667,0.7421,0.5724,5.4827,1.8907,32.4137,8.1483
24,0.36,0.601,0.577,0.0642,0.0,119.2688,100.0,133.3333,66.6667,0.8517,0.7196,5.617,1.8487,27.7075,8.0158
25,0.375,0.6006,0.5773,0.068,0.0,120.3937,100.0,66.6667,66.6667,0.8607,0.8529,5.812,1.8432,27.3295,7.858
26,0.39,0.6021,0.5759,0.0533,0.0,115.9923,100.0,66.6667,66.6667,0.8689,0.9734,6.023,1.9476,29.3145,7.7591
27,0.405,0.6047,0.5719,0.027,0.0036,108.0858,101.0722,66.6667,66.6667,0.8763,1.0,6.0492,2.1052,33.5136,7.8406
28,0.42,0.6058,0.5707,0.0168,0.0168,105.0428,105.048,66.6667,66.6667,0.883,1.0,6.1491,2.3439,32.8464,7.924
29,0.435,0.6053,0.5724,0.0216,0.0,106.4865,100.0,66.6667,66.6667,0.889,1.0,6.3709,2.3915,28.902,7.7945
30,0.45,0.6028,0.5742,0.0464,0.0,113.9292,100.0,66.6667,0.0,0.8945,1.0,6.5309,2.3224,24.1186,7.6315
31,0.465,0.6019,0.5735,0.0548,0.0,116.4526,100.0,133.3333,0.0,0.9895,1.0,6.864,2.2841,25.1432,7.3689
32,0.48,0.6043,0.5703,0.0317,0.021,109.5017,106.2998,66.6667,0.0,0.9855,0.9412,6.9362,2.4946,30.8822,7.4721
33,0.495,0.6061,0.5675,0.013,0.0505,103.9072,115.1437,0.0,0.0,0.8917,0.8516,6.9926,2.672,33.9809,7.5661
34,0.51,0.6054,0.5666,0.0201,0.0591,106.0151,117.7367,133.3333,0.0,0.987,0.7706,7.1826,2.9483,31.6845,7.6544
35,0.525,0.603,0.5685,0.0442,0.0397,113.2613,111.9238,0.0,66.6667,0.8931,0.899,7.3607,2.8526,25.6678,7.4683
36,0.54,0.6023,0.5693,0.0507,0.0309,115.2127,109.2719,66.6667,0.0,0.8982,0.8134,7.6002,2.833,23.7883,7.3064
37,0.555,0.6031,0.5672,0.0431,0.0537,112.9188,116.1021,0.0,0.0,0.8127,0.736,7.8835,2.9048,26.1971,7.198
38,0.57,0.6059,0.5625,0.0151,0.1022,104.5358,130.6596,66.6667,0.0,0.8254,0.666,7.8972,3.0581,30.1544,7.3167
39,0.585,0.6066,0.5612,0.0085,0.1158,102.5649,134.7254,0.0,66.6667,0.7469,0.8043,7.9997,3.2732,29.8585,7.4401
