cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.6041,0.6011,0.0005,0.0125,60.0738,61.7501,28.1609,29.8246,0.5637,0.5825,2.8772,0.013,3.6415,705.066
1,0.015,0.606,0.5997,0.0,0.0271,60.0,63.7884,36.7816,42.1053,0.5801,0.6053,2.942,0.1308,8.081,704.9368
2,0.03,0.6065,0.5998,0.0,0.0259,60.0,63.6252,35.0575,39.1813,0.5917,0.6205,3.1077,0.2733,7.2318,704.7189
3,0.045,0.6056,0.6021,0.0,0.0024,60.0,60.3353,31.6092,27.4854,0.5956,0.6125,3.2778,0.2458,5.4831,704.6185
4,0.06,0.6032,0.6043,0.01,0.0,61.3932,60.0,40.8046,28.655,0.6167,0.6075,3.3709,0.1621,1.7735,704.6123
5,0.075,0.6022,0.6052,0.0196,0.0,62.7457,60.0,32.7586,43.2749,0.6204,0.6301,3.556,0.0393,2.6288,704.5689
6,0.09,0.6037,0.6042,0.0042,0.0,60.5938,60.0,34.4828,28.655,0.627,0.6234,3.6775,0.1429,5.6783,704.4098
7,0.105,0.605,0.6027,0.0,0.0,60.0,60.0,32.1839,25.731,0.6287,0.6119,3.7604,0.2364,8.6959,704.285
8,0.12,0.6049,0.6022,0.0,0.0015,60.0,60.2083,32.1839,29.2398,0.6302,0.608,3.9629,0.3781,7.2265,704.0418
9,0.135,0.6031,0.6036,0.0101,0.0,61.4188,60.0,32.1839,39.1813,0.6315,0.623,4.0636,0.2727,3.2856,704.0456
10,0.15,0.6019,0.6046,0.0229,0.0,63.2106,60.0,37.931,30.9942,0.6437,0.6213,4.2001,0.2032,1.7391,703.9988
11,0.165,0.6018,0.6038,0.023,0.0,63.2193,60.0,32.1839,33.9181,0.6437,0.6252,4.4122,0.1404,2.9547,703.8941
12,0.18,0.6035,0.6016,0.0062,0.0079,60.8744,61.1045,33.3333,36.8421,0.646,0.6342,4.4851,0.2515,6.9299,703.7639
13,0.195,0.6043,0.6006,0.0,0.0176,60.0,62.4651,36.7816,39.7661,0.6546,0.6477,4.6247,0.354,6.7486,703.5928
14,0.21,0.604,0.6015,0.002,0.0088,60.285,61.2317,30.4598,30.9942,0.6503,0.6437,4.8115,0.3791,5.0972,703.4435
