cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.5616,0.6167,0.1419,0.0,79.8689,60.0,45.4023,40.3509,0.8883,0.7835,2.6307,-0.5333,-16.2451,10.0134
1,0.015,0.5636,0.6159,0.1213,0.0,76.9803,60.0,41.954,38.0117,0.8819,0.7791,2.8407,-0.7446,-14.7346,9.8952
2,0.03,0.5675,0.6134,0.0808,0.0,71.3078,60.0,40.8046,32.1637,0.8739,0.7644,3.009,-0.6513,-10.2683,9.7041
3,0.045,0.5705,0.6104,0.0488,0.0,66.832,60.0,39.6552,30.4094,0.8646,0.7479,3.1512,-0.5614,-6.8639,9.5386
4,0.06,0.5707,0.6089,0.0467,0.0,66.5399,60.0,33.908,28.0702,0.8455,0.7286,3.4389,-0.4766,-8.7426,9.24
5,0.075,0.569,0.6095,0.0654,0.0,69.1538,60.0,40.2299,34.5029,0.8399,0.723,3.5085,-0.6507,-14.4157,9.243
6,0.09,0.5689,0.6097,0.0655,0.0,69.1665,60.0,38.5057,27.4854,0.8317,0.705,3.658,-0.7896,-15.3552,9.1624
7,0.105,0.5702,0.6079,0.0523,0.0,67.3268,60.0,35.0575,33.9181,0.8178,0.7005,3.8947,-0.9144,-13.9939,9.001
8,0.12,0.5734,0.6048,0.0195,0.0227,62.7233,63.1734,38.5057,29.2398,0.8117,0.6879,4.0134,-0.813,-9.713,8.8502
9,0.135,0.5745,0.6036,0.0079,0.0342,61.1087,64.7811,30.4598,35.6725,0.7911,0.6883,4.2153,-0.7248,-10.1926,8.6299
10,0.15,0.5741,0.6048,0.0114,0.0224,61.6023,63.1366,33.908,44.4444,0.779,0.705,4.4016,-0.7989,-12.7467,8.4951
11,0.165,0.5717,0.6063,0.0372,0.0077,65.2108,61.0711,41.954,36.8421,0.783,0.7059,4.4674,-0.925,-16.8779,8.4939
12,0.18,0.5714,0.6065,0.0397,0.0052,65.5532,60.7321,41.3793,24.5614,0.7855,0.6842,4.636,-1.1261,-16.3688,8.4412
13,0.195,0.5737,0.6052,0.0157,0.0186,62.197,62.6011,31.6092,35.0877,0.7696,0.6839,4.8177,-1.0839,-13.1551,8.2622
14,0.21,0.5758,0.6028,0.0,0.042,60.0,65.8764,32.1839,38.5965,0.7563,0.6901,4.9336,-0.9964,-9.4173,8.1182
15,0.225,0.5756,0.6022,0.0,0.0484,60.0,66.7802,28.1609,34.5029,0.7368,0.6882,5.195,-0.9054,-11.0018,7.846
16,0.24,0.5728,0.6038,0.0255,0.0327,63.5644,64.5726,28.7356,32.1637,0.7201,0.6821,5.2676,-1.0636,-15.7579,7.8637
17,0.255,0.5713,0.6049,0.041,0.0217,65.7466,63.0368,36.2069,36.8421,0.719,0.6853,5.3806,-1.1844,-17.7793,7.8311
