cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.605,0.5732,0.0,0.0837,60.0,71.7112,36.2069,43.8596,0.7128,0.858,3.1235,0.574,9.4678,9.569
1,0.015,0.6036,0.5757,0.0,0.0578,60.0,68.0853,33.3333,29.2398,0.7074,0.8308,3.2803,0.4623,5.2149,9.3819
2,0.03,0.6017,0.5775,0.0153,0.0392,62.1353,65.4831,35.0575,39.1813,0.7057,0.8246,3.4245,0.3649,2.2105,9.2121
3,0.045,0.6014,0.5763,0.0184,0.0513,62.5698,67.1796,40.8046,35.6725,0.715,0.8126,3.7027,0.2584,4.2177,8.9142
4,0.06,0.6034,0.5734,0.0,0.0817,60.0,71.4433,36.7816,27.4854,0.7159,0.7864,3.7816,0.4177,9.4147,8.9007
5,0.075,0.6045,0.5727,0.0,0.0887,60.0,72.4243,31.6092,30.9942,0.707,0.7693,3.9435,0.5431,10.3406,8.8012
6,0.09,0.6038,0.5735,0.0,0.0804,60.0,71.2533,28.1609,39.1813,0.6924,0.769,4.1839,0.6331,8.6564,8.6192
7,0.105,0.6011,0.5757,0.0217,0.0577,63.0377,68.0755,32.7586,33.3333,0.6879,0.7579,4.2872,0.5282,4.7552,8.4815
8,0.12,0.6003,0.5757,0.0295,0.0574,64.1244,68.0363,36.7816,44.4444,0.6914,0.7685,4.4763,0.4168,4.9841,8.2632
9,0.135,0.6019,0.5742,0.0138,0.0735,61.933,70.2959,31.6092,30.4094,0.6848,0.752,4.662,0.4813,7.6667,8.122
10,0.15,0.6035,0.5707,0.0,0.1088,60.0,75.2367,36.2069,43.8596,0.6874,0.7621,4.7388,0.5973,11.5776,8.1034
11,0.165,0.6039,0.5697,0.0,0.1196,60.0,76.7438,31.0345,48.538,0.6802,0.7799,4.9252,0.7816,11.0003,8.022
12,0.18,0.6026,0.5712,0.0061,0.1036,60.848,74.4988,31.6092,36.8421,0.6746,0.7743,5.0928,0.7145,7.6235,7.8427
13,0.195,0.6005,0.5725,0.0272,0.0909,63.8026,72.7325,33.908,46.1988,0.674,0.7866,5.2085,0.6239,4.1937,7.6979
14,0.21,0.6001,0.5712,0.0315,0.1039,64.4055,74.5436,34.4828,43.8596,0.6744,0.7934,5.4585,0.5164,5.9284,7.4267
15,0.225,0.6019,0.5679,0.0137,0.1381,61.9137,79.3371,28.1609,43.8596,0.663,0.7995,5.5378,0.6707,10.9396,7.4319
16,0.24,0.6031,0.5664,0.0019,0.154,60.2607,81.5604,29.3103,40.3509,0.6548,0.7986,5.6706,0.7844,12.692,7.3745
17,0.255,0.6026,0.566,0.0062,0.1572,60.8636,82.004,29.3103,50.8772,0.6474,0.8173,5.9087,0.9224,11.3969,7.245
18,0.27,0.6004,0.5681,0.0285,0.1358,63.9916,79.0189,38.5057,46.1988,0.6579,0.8255,6.0221,0.8231,7.4412,7.0959
19,0.285,0.5996,0.5686,0.0366,0.1304,65.1217,78.2523,31.0345,46.1988,0.6535,0.8329,6.1978,0.7441,7.6662,6.9054
20,0.3,0.6009,0.5669,0.0234,0.1485,63.2767,80.7911,39.0805,47.9532,0.6645,0.8429,6.3956,0.78,10.166,6.76
21,0.315,0.6028,0.5636,0.0042,0.1828,60.587,85.5963,38.5057,34.5029,0.6734,0.827,6.4627,0.9031,14.372,6.7746
22,0.33,0.6035,0.5631,0.0,0.188,60.0,86.3233,33.3333,50.2924,0.6718,0.8419,6.6354,1.0855,13.9527,6.7432
23,0.345,0.6026,0.5648,0.0066,0.1696,60.9301,83.7384,29.8851,40.9357,0.6638,0.838,6.8383,1.0702,11.4769,6.5734
24,0.36,0.6002,0.5666,0.0306,0.1514,64.2791,81.1996,31.0345,47.3684,0.6588,0.8464,6.9508,0.9765,7.7749,6.4271
25,0.375,0.5993,0.5657,0.039,0.1608,65.4606,82.511,40.8046,45.614,0.6725,0.8508,7.187,0.8681,9.4821,6.1747
26,0.39,0.6011,0.5622,0.0217,0.1969,63.045,87.5723,33.908,52.0468,0.672,0.8667,7.2718,1.0321,14.4787,6.214
27,0.405,0.6022,0.5596,0.0101,0.2237,61.4129,91.3194,29.8851,43.2749,0.6641,0.8648,7.3699,1.1547,17.0917,6.2209
28,0.42,0.6019,0.5585,0.0134,0.2352,61.8785,92.9226,33.908,49.7076,0.6644,0.875,7.6188,1.3493,15.9226,6.1734
29,0.435,0.5995,0.56,0.0373,0.2198,65.2175,90.7653,32.7586,45.0292,0.6625,0.8756,7.7517,1.2556,11.7655,6.0132
30,0.45,0.5983,0.5606,0.0493,0.2137,66.9072,89.9214,33.908,45.614,0.663,0.8772,7.9268,1.1957,11.6462,5.8476
31,0.465,0.5991,0.5576,0.0409,0.2447,65.7236,94.2596,36.2069,47.3684,0.6677,0.8819,8.1474,1.2057,13.9406,5.7036
32,0.48,0.6011,0.5532,0.0215,0.2899,63.0159,100.5857,29.8851,53.8012,0.6602,0.8981,8.1969,1.3478,18.8115,5.7764
33,0.495,0.6018,0.5523,0.0139,0.2994,61.948,101.9126,31.0345,59.0643,0.6555,0.9226,8.3566,1.5295,18.33,5.813
34,0.51,0.601,0.5536,0.0227,0.2853,63.1841,99.9477,25.2874,46.1988,0.6405,0.9208,8.5914,1.5827,16.6322,5.7114
35,0.525,0.5982,0.5563,0.0505,0.2581,67.0756,96.1376,36.2069,52.6316,0.6474,0.9311,8.717,1.495,13.1882,5.5662
