diff_pillar_left,diff_pillar_right
-3.174513578414916992e-02,3.690141439437866211e-02
-3.699535131454467773e-02,3.307682275772094727e-02
-1.974135637283325195e-02,5.399006605148315430e-02
-3.922152519226074219e-02,3.951847553253173828e-02
-3.024572134017944336e-02,4.161179065704345703e-02
-6.181597709655761719e-02,1.420801877975463867e-02
-6.656783819198608398e-02,9.564280509948730469e-03
-8.778691291809082031e-03,7.903063297271728516e-02
-2.503985166549682617e-02,3.443437814712524414e-02
-2.594953775405883789e-02,4.149073362350463867e-02
-5.843126773834228516e-02,1.632988452911376953e-02
-5.224931240081787109e-02,3.823584318161010742e-02
-3.994119167327880859e-02,5.908530950546264648e-02
-2.770847082138061523e-02,6.799685955047607422e-02
-4.078388214111328125e-02,3.845071792602539062e-02
-7.003927230834960938e-02,1.728338003158569336e-02
-8.549249172210693359e-02,2.406632900238037109e-02
-6.208926439285278320e-02,5.572998523712158203e-02
-3.719657659530639648e-02,9.168452024459838867e-02
-6.385427713394165039e-02,6.023234128952026367e-02
-9.334182739257812500e-02,3.280168771743774414e-02
-1.273770332336425781e-01,1.189202070236206055e-02
-1.060788631439208984e-01,4.277914762496948242e-02
-7.745844125747680664e-02,8.106303215026855469e-02
-7.301658391952514648e-02,9.707355499267578125e-02
-1.070716977119445801e-01,6.960850954055786133e-02
-1.398132741451263428e-01,3.757399320602416992e-02
-1.558464467525482178e-01,3.848242759704589844e-02
-1.305775642395019531e-01,7.165658473968505859e-02
-1.028151512145996094e-01,1.237468719482421875e-01
-1.450060606002807617e-01,8.982110023498535156e-02
-1.901881694793701172e-01,6.005978584289550781e-02
-2.307299673557281494e-01,3.346729278564453125e-02
-1.996113061904907227e-01,6.836140155792236328e-02
-1.768642961978912354e-01,1.106067299842834473e-01
-1.781472265720367432e-01,1.424073874950408936e-01
-2.345360219478607178e-01,1.110491752624511719e-01
-3.270977437496185303e-01,6.887573003768920898e-02
-3.335979282855987549e-01,6.145280599594116211e-02
-2.998861074447631836e-01,9.270548820495605469e-02
-2.513276040554046631e-01,1.531539559364318848e-01
-3.262760639190673828e-01,1.356215775012969971e-01
-4.284042716026306152e-01,1.066159307956695557e-01
-4.582443088293075562e-01,6.712102890014648438e-02
-3.406596183776855469e-01,9.625810384750366211e-02
-2.581754624843597412e-01,1.361829638481140137e-01
-2.212477922439575195e-01,1.578964591026306152e-01
-2.551758289337158203e-01,1.314181387424468994e-01
-2.390666604042053223e-01,9.840667247772216797e-02
-2.122768461704254150e-01,7.992756366729736328e-02
-1.576445698738098145e-01,1.033253371715545654e-01
-1.076855659484863281e-01,1.299339532852172852e-01
-1.183931231498718262e-01,1.144987940788269043e-01
-1.249387264251708984e-01,7.886445522308349609e-02
-9.704822301864624023e-02,5.346095561981201172e-02
-6.494349241256713867e-02,8.057022094726562500e-02
-2.584177255630493164e-02,9.645313024520874023e-02
-6.594061851501464844e-04,9.187215566635131836e-02
-3.161698579788208008e-02,5.695575475692749023e-02
-2.862673997879028320e-02,3.338479995727539062e-02
