side,cap,cell_type,cc2_vs_soma3d,n_hubs_removed
left,-1,Mi1,0.5381622341400264,0
left,-1,T4a,0.17677804361495858,0
left,-1,T4c,0.11880321496076986,0
left,-1,T5c,0.3411420286108585,0
left,3000,Mi1,0.5370189875898916,9
left,3000,T4a,0.17842994659503866,9
left,3000,T4c,0.12394216661505919,9
left,3000,T5c,0.34077960527014944,9
left,1000,Mi1,0.5281290822109044,77
left,1000,T4a,0.17964435784186958,77
left,1000,T4c,0.13140274012661482,77
left,1000,T5c,0.3368818061444796,77
left,500,Mi1,0.4892275341126446,391
left,500,T4a,0.18390616161935563,391
left,500,T4c,0.15195292179750722,391
left,500,T5c,0.3256351519230692,391
left,200,Mi1,0.45936172672240083,2629
left,200,T4a,0.18478486321889176,2629
left,200,T4c,0.16919827222141562,2629
left,200,T5c,0.31067721929864595,2629
right,-1,Mi1,0.9109034312374834,0
right,-1,T4a,0.5692583917543848,0
right,-1,T4c,0.5911963432517707,0
right,-1,T5c,0.6764575774791588,0
right,3000,Mi1,0.9085443797784656,12
right,3000,T4a,0.5648543517371307,12
right,3000,T4c,0.5870655909746926,12
right,3000,T5c,0.6720389291558164,12
right,1000,Mi1,0.911718839645511,82
right,1000,T4a,0.5573750553448794,82
right,1000,T4c,0.579089891315434,82
right,1000,T5c,0.6623043336620805,82
right,500,Mi1,0.9118323118268183,493
right,500,T4a,0.544032019157693,493
right,500,T4c,0.5623315974309834,493
right,500,T5c,0.649109435591757,493
right,200,Mi1,0.9150797260203177,2960
right,200,T4a,0.5542230552530353,2960
right,200,T4c,0.565755367723768,2960
right,200,T5c,0.6524464131339415,2960
