cell_type,side,n,map_var1,map_var2,soma_var1,soma_var2
L1,left,800,0.71902992994079,0.28097007005921,0.6486606697267031,0.2405607013895282
L1,right,789,0.9147639648717338,0.08523603512826618,0.7597677346446677,0.15356064460589902
L2,left,900,0.6727314772508391,0.32726852274916085,0.5685197477044256,0.3463136027106191
L2,right,797,0.929066479331286,0.07093352066871388,0.7585966580805575,0.1521034369171683
L3,left,703,0.7401980263126304,0.25980197368736957,0.5940750065859182,0.31518479027014884
L3,right,739,0.9371819224603571,0.06281807753964291,0.7321418594816559,0.17118587988445835
Mi1,left,788,0.8256065265389193,0.1743934734610807,0.5844104293486753,0.34898792596798983
Mi1,right,796,0.9440596845309014,0.05594031546909862,0.5584758360666556,0.37886256407432106
Mi4,left,766,0.8604029729704715,0.13959702702952842,0.5797874660410338,0.35683882438911035
Mi4,right,766,0.9582723782948133,0.041727621705186714,0.561140879345126,0.3789381826083175
Mi9,left,784,0.8571317095095128,0.14286829049048716,0.5802236220194938,0.3533167842713738
Mi9,right,769,0.9552077712962377,0.0447922287037624,0.5700633476186656,0.3687398359767438
Tm1,left,780,0.8446629668392928,0.1553370331607073,0.5653489336408993,0.3638559966564925
Tm1,right,775,0.9514841360764338,0.04851586392356616,0.5417319158700821,0.3906753859335252
Tm2,left,784,0.8493304668802736,0.1506695331197264,0.5650966407096482,0.35769736180696887
Tm2,right,767,0.9509319573455796,0.04906804265442034,0.5393886054427758,0.39602035286259707
Tm9,left,766,0.8567382547343021,0.14326174526569793,0.5711552437383682,0.32688526503435716
Tm9,right,755,0.9566197520352799,0.04338024796472012,0.5557015440589819,0.3644521620809992
T4a,left,725,0.8565163707899742,0.1434836292100258,0.6863858933535089,0.18265305444020713
T4a,right,737,0.9540755610182386,0.045924438981761365,0.7027427630612386,0.19953107237916667
T4b,left,752,0.8512126359253098,0.14878736407469018,0.6889486249470794,0.18947270522293763
T4b,right,748,0.954754846663573,0.0452451533364269,0.7093418929166114,0.19889228944819748
T4c,left,864,0.8573280168781119,0.1426719831218882,0.6553096634695124,0.19073328139249185
T4c,right,842,0.9544292709690003,0.04557072903099962,0.7052795002682166,0.20430968501352564
T4d,left,796,0.8516811770736441,0.14831882292635595,0.6698830995968605,0.18475507479093117
T4d,right,777,0.9554247982625705,0.044575201737429446,0.7100915699543413,0.19893313252851885
T5a,left,741,0.86616744541348,0.13383255458652007,0.7018183713408146,0.17789895787639842
T5a,right,743,0.9583708870748162,0.04162911292518367,0.7159909577147977,0.15486217167878943
T5b,left,753,0.8586649406698089,0.1413350593301911,0.7116788413281272,0.1643223254023228
T5b,right,760,0.9605323002309895,0.03946769976901055,0.7237775075287242,0.1470867703991154
T5c,left,775,0.8644664614813172,0.13553353851868283,0.7055720417698036,0.16962902306636965
T5c,right,766,0.9587276303463786,0.041272369653621355,0.7203033561259939,0.1439599898162733
T5d,left,740,0.8549249123110734,0.14507508768892666,0.7114811697380818,0.1622334768970804
T5d,right,727,0.9618585310465596,0.03814146895344041,0.7203229962058368,0.14504944171884881
