pair,side,nn_ratio,nn_ratio_shuffled
Mi1/Tm1,left,0.9167367091380885,1.2329325491810281
Mi1/Tm1,right,0.8301667730652975,1.0353780190933288
Mi1/T4c,left,0.8782378611194346,1.2749721612576892
Mi1/T4c,right,1.214539537851746,1.0186009657402553
T4a/T4c,left,0.6978891808231018,1.2424181902558582
T4a/T4c,right,0.7481848282858214,1.0425911119658438
T5a/T5c,left,0.6822158081524369,1.300153764673423
T5a/T5c,right,0.7161269176999348,0.9926651701661154
Mi1/L1,left,1.0773399055947306,1.398600393749522
Mi1/L1,right,1.2192506531093827,1.2302613319350768
Tm9/T5c,left,0.7486876680808018,1.1900656903705273
Tm9/T5c,right,0.9255614112259491,1.0536648155750283
