side,cell_type,n,frac_with_position,az_min_um,az_max_um,el_min_um,el_max_um,cc1_vs_soma_sheet,cc2_vs_soma_sheet,cc1_shuffled,cc2_shuffled
left,L1,802,0.9975062344139651,-84.15942868671684,96.49888509586789,-132.065684232889,123.50528106414637,0.9793757993849389,0.6950680820857926,0.059351626367121324,0.030065251411913824
left,L2,900,1.0,-85.65610149123049,70.98212275207571,-140.4319567123779,117.6377879188612,0.9806028526650317,0.8455139195165168,0.06857296715910567,6.433753880821385e-06
left,L3,703,1.0,-79.06199285353966,73.28689515516923,-126.1471874186985,86.1503343799291,0.9823336026373755,0.741348832659072,0.04436463802169354,0.01762356123021133
left,L5,791,1.0,-34.03367653040305,85.34294523144287,-51.261112214958885,121.67008926281984,0.9870615811967651,0.014561965379160467,0.07610930870729159,0.022409201919577355
left,Mi1,788,1.0,-30.90222590127342,74.38707220216712,-43.70402953644073,102.29224568607171,0.9908551655164253,0.26767608108453134,0.0635341862264007,0.03536712143287858
left,Mi4,766,1.0,-19.810508672172688,66.27621378513786,-38.96563204453867,81.01245165714742,0.9927736796092604,0.24443590234244128,0.05657916051342637,0.025954097303908637
left,Mi9,784,1.0,-20.4079095292164,66.65009149300356,-38.43488141488984,79.98049810108411,0.992289378783845,0.23677790423538425,0.12244346960354444,0.003219567492931546
left,Tm1,780,1.0,-26.00413755231986,66.227841723616,-39.80123749505137,82.4228088261061,0.9897436360014553,0.28324234141979765,0.051663416290896956,0.0108226045736834
left,Tm2,784,1.0,-23.240284792236373,62.198091236306276,-38.57485721625391,76.539058944944,0.9894774409954465,0.31826305748104605,0.08206784844003212,0.023005022001547006
left,Tm9,767,0.9986962190352021,-21.0294640015944,66.04060765070116,-38.4428246322595,80.93759932916869,0.989014744699782,0.1827709870104115,0.08743131832328876,0.02723942823235681
left,T4a,725,1.0,-23.242231177414133,67.67971546091884,-40.44411537329577,84.80703100016711,0.9846322217127901,0.01424895908258273,0.04002044325409021,0.009099530219054332
left,T4b,752,1.0,-21.332388288310305,65.10651043517977,-35.634532284221244,79.02023328461787,0.9809568094075405,0.021888916691506187,0.04838977018238376,0.016486853943641838
left,T4c,864,1.0,-24.88248610673929,69.24165829107902,-39.78354753570502,81.12431755812558,0.9801189500428187,0.059539565233133786,0.0765464114796614,0.005825951007280007
left,T4d,796,1.0,-25.014851685309637,69.38323434701765,-39.08825912542548,84.65053969680599,0.983706919326925,0.00510635505251781,0.09648097246466342,0.042598313703362894
left,T5a,741,1.0,-18.804316415021994,63.85653041237829,-37.65138173911297,76.15351521058462,0.9709030569033906,0.4049509519289511,0.0418524207264554,0.021231579904733427
left,T5b,753,1.0,-18.949189328937557,61.74019524566461,-34.72234037515612,74.24861669794488,0.9678783955343818,0.37481177019473333,0.04202806910842002,0.02466934117284705
left,T5c,775,1.0,-18.51575107612019,63.99755305465661,-36.699153034735296,75.65173857367024,0.9641081243280085,0.3399702435842435,0.151839926924602,0.03818289013360221
left,T5d,740,1.0,-19.389316182820718,63.844457493393065,-37.11061349213127,76.15021488599102,0.971008341870874,0.345515403093343,0.10404071031219152,0.04718719037524475
right,L1,789,1.0,-39.20801767342463,37.102701724540545,-113.29017015934883,97.01054888493917,0.9942755000246215,0.48098734578114255,0.04572104734477835,0.008481319820675326
right,L2,797,1.0,-34.592251174275574,32.53486918556077,-106.78450760468179,85.13611773995274,0.9945083208672882,0.5907015503278746,0.053600327873413366,0.002197391574146525
right,L3,739,1.0,-38.44664920480093,28.572609085369358,-92.51768959989809,82.56876655541875,0.9937194327895096,0.5916907113663074,0.08068907275299457,0.016228349334068904
right,L5,785,1.0,-22.91941365416596,29.73859903896982,-99.4296848044812,84.27071136429747,0.9948780445485453,0.3564356387255495,0.09072459015626087,0.015025278586407264
right,Mi1,796,1.0,-19.850508604090212,25.371501908697237,-86.495201809516,78.85886831507386,0.988418892782212,0.7648950010010896,0.040757660444668865,0.009126279029212942
right,Mi4,766,1.0,-13.199251024695915,21.726187732941547,-73.75899353147227,69.07787984435565,0.9858351363544132,0.7263589976291966,0.051473298573112135,0.001568330542221556
right,Mi9,769,1.0,-14.192632273743884,24.158735703310217,-76.67619635248325,70.7595071460507,0.9881612327641294,0.751662176075362,0.07630294708564041,0.021617317530739904
right,Tm1,775,1.0,-17.090755618678976,23.21824339589045,-78.63792063637753,73.53851426507524,0.986856560783748,0.7480834231898632,0.09026332571313028,0.006280740842108193
right,Tm2,767,1.0,-16.527014353077163,22.737695772029447,-79.99023056790594,68.91768291936928,0.9873535549481676,0.7763338485187404,0.08019758017237998,0.015678977469466285
right,Tm9,755,1.0,-14.127111849945306,23.523805569550824,-77.1076925346365,73.4946721749553,0.9875451364992595,0.7374669300508164,0.07184593185609316,0.01717655578074409
right,T4a,737,1.0,-13.213039250715969,22.059402902569015,-73.30409134603468,68.26606854700385,0.985153379581903,0.5691233580296046,0.10519190625594865,0.0006895459800724655
right,T4b,748,1.0,-13.672125800993257,20.63740855331725,-64.03728637447792,64.55567335924326,0.9860306563226168,0.5433413890569202,0.06083208503984035,0.004082099773551124
right,T4c,842,1.0,-13.3288295922603,22.271975067294562,-73.11414706956481,71.5579680913491,0.9839801699584871,0.590123571609201,0.07557127998685007,0.01148518560595056
right,T4d,777,1.0,-13.303493157899394,22.95116429136261,-71.48431866082987,68.98473901956162,0.9845075859853298,0.576407444381666,0.060909447824250604,0.023483748963199234
right,T5a,743,1.0,-11.640930876446577,20.17395992218702,-68.24595489800211,66.3554086405915,0.9844132599336687,0.31777194270151693,0.0885642335806409,0.0073774205670398526
right,T5b,760,1.0,-11.218978881451996,18.835939635997526,-64.06161739943818,62.160333541236334,0.984796063101514,0.14726973478725944,0.1037592597323617,0.04728221168344136
right,T5c,766,1.0,-11.936434677270714,19.53450149350325,-68.11417684184332,68.135064396287,0.9832392981900963,0.28645630319729526,0.05677237857396975,0.0009640178725194104
right,T5d,727,1.0,-11.848359890226854,19.66273014500805,-69.10222096140656,67.37077540041476,0.9837980564606613,0.3638245130640694,0.0981016969725606,0.020628206714342526
