pair,side,map_cc1,map_cc2,soma_gap_um
L1/Mi1,left,0.9627420181884893,0.5713433630621944,12.156954800010697
L1/Mi1,right,0.9765814883085853,0.02671387872393635,23.230442096524982
Mi1/Mi4,left,0.9942233698210892,0.9688189380124617,7.267287135007686
Mi1/Mi4,right,0.9947027220713949,0.9756908772974334,7.417025508463631
Mi1/Tm1,left,0.9944667559294224,0.9741869494008099,8.6036516607751
Mi1/Tm1,right,0.9958153102711106,0.9720974498620675,8.067650834128578
Mi1/T4a,left,0.9852921912928657,0.9136568003398537,58.06733111582146
Mi1/T4a,right,0.9740365224358184,0.9246209031876562,58.14884157008895
Mi1/T4c,left,0.9816992944262284,0.8904399336538183,56.94575373952125
Mi1/T4c,right,0.9595552524866633,0.9331199992734469,59.065796912902144
T4a/T4c,left,0.988759177086359,0.9371487813150572,3.1398369384412304
T4a/T4c,right,0.9869317680257749,0.956686991520262,3.807226812261124
Tm1/T5c,left,0.9548121268505422,0.5299978127027377,58.42588220895696
Tm1/T5c,right,0.954414227187288,0.036788525927998444,59.149031167044484
T4c/T5c,left,0.9758002710502678,0.747326873400675,8.131284329429171
T4c/T5c,right,0.9834288108303351,0.8029740812561726,6.095118624368867
L1/L2,left,0.9889461237151747,0.8944066352586382,6.111027287468575
L1/L2,right,0.9935533521790881,0.7897503830466228,5.416389941649327
L2/Mi1,left,0.9259107296849454,0.3425161992916881,18.935506734777434
L2/Mi1,right,0.9746735530424083,0.030199119627723685,23.908618027815827
