population,n_stim,stim_rate_hz,dnp09_left_hz,dnp09_right_hz,n_active
LC9 слева,87,0.0,0.0,0.0,0
LC9 слева,87,50.0,32.0,0.0,546
LC9 слева,87,100.0,61.0,0.0,705
LC9 слева,87,200.0,109.0,0.0,900
LC9 справа,92,0.0,0.0,0.0,0
LC9 справа,92,50.0,0.0,45.0,727
LC9 справа,92,100.0,0.0,90.0,950
LC9 справа,92,200.0,0.0,159.0,1153
LC31a обе стороны,35,0.0,0.0,0.0,0
LC31a обе стороны,35,50.0,63.0,47.0,750
LC31a обе стороны,35,100.0,101.0,74.0,950
LC31a обе стороны,35,200.0,144.0,135.0,955
все зрит. проекц. слева,4008,0.0,0.0,0.0,0
все зрит. проекц. слева,4008,50.0,75.0,0.0,7555
все зрит. проекц. слева,4008,100.0,145.0,0.0,8942
все зрит. проекц. слева,4008,200.0,197.0,0.0,11074
все зрит. проекц. справа,4030,0.0,0.0,0.0,0
все зрит. проекц. справа,4030,50.0,0.0,45.0,7704
все зрит. проекц. справа,4030,100.0,0.0,143.0,9475
все зрит. проекц. справа,4030,200.0,0.0,218.0,11695
