kind,side,pair,corr
within,left,g0:0-1,0.9525314060997323
within,left,g0:0-2,0.9441211561078249
within,left,g0:1-2,0.9535001064662894
within,left,g1:0-1,0.9438761737019705
within,left,g1:0-2,0.9214151301423313
within,left,g1:1-2,0.9100947532635436
within,left,g2:0-1,0.9453316437010717
within,left,g2:0-2,0.9556463636370233
within,left,g2:1-2,0.9562727254251595
within,left,g3:0-1,0.9493886003764096
within,left,g3:0-2,0.9506720407047903
within,left,g3:1-2,0.937167659647089
between,left,s0:g0-g1,-0.04502810148967191
between,left,s0:g0-g2,-0.45463471379678067
between,left,s0:g0-g3,-0.4483005542365223
between,left,s0:g1-g2,-0.37200023933391024
between,left,s0:g1-g3,-0.42889653071779643
between,left,s0:g2-g3,-0.17753010017618967
between,left,s1:g0-g1,-0.06980575092947382
between,left,s1:g0-g2,-0.4737525927257926
between,left,s1:g0-g3,-0.4696582212074638
between,left,s1:g1-g2,-0.4002966956366308
between,left,s1:g1-g3,-0.3845360524017953
between,left,s1:g2-g3,-0.10849044460263024
between,left,s2:g0-g1,-0.07832647787929789
between,left,s2:g0-g2,-0.49534731193392234
between,left,s2:g0-g3,-0.48004765575054004
between,left,s2:g1-g2,-0.3609712169912842
between,left,s2:g1-g3,-0.3991156309095201
between,left,s2:g2-g3,-0.10109511388058617
within,right,g0:0-1,0.9580955938256838
within,right,g0:0-2,0.9561554864677378
within,right,g0:1-2,0.9741883324186251
within,right,g1:0-1,0.960227663184619
within,right,g1:0-2,0.9516438122790486
within,right,g1:1-2,0.9604370414986748
within,right,g2:0-1,0.9577525384401127
within,right,g2:0-2,0.948613613714784
within,right,g2:1-2,0.9375494531568359
within,right,g3:0-1,0.950081713102406
within,right,g3:0-2,0.9500277984468716
within,right,g3:1-2,0.9573041841614577
between,right,s0:g0-g1,-0.3622168582601423
between,right,s0:g0-g2,-0.4190203879077085
between,right,s0:g0-g3,-0.3621956204767764
between,right,s0:g1-g2,-0.22420059962242328
between,right,s0:g1-g3,-0.3209236507949736
between,right,s0:g2-g3,-0.2259342634385447
between,right,s1:g0-g1,-0.40285031079856165
between,right,s1:g0-g2,-0.45195075096679815
between,right,s1:g0-g3,-0.32692789660217164
between,right,s1:g1-g2,-0.18300470870347885
between,right,s1:g1-g3,-0.26657933477140644
between,right,s1:g2-g3,-0.29636146603960706
between,right,s2:g0-g1,-0.3875842719716583
between,right,s2:g0-g2,-0.35459842804368197
between,right,s2:g0-g3,-0.3231865392443994
between,right,s2:g1-g2,-0.29344245441303346
between,right,s2:g1-g3,-0.3105297877427073
between,right,s2:g2-g3,-0.27286038943483576
